60691,58143,58345,51778,59664
04:45,04:50,04:58,05:07,05:16
05:06,05:11,05:19,05:28,05:37
-,-,05:32,05:39,05:48
-,-,05:45,05:52,06:01
05:48,05:53,06:01,06:10,06:19
-,-,06:02,06:09,06:18
06:05,06:10,06:19,06:28,06:38
06:22,06:27,06:36,06:45,06:55
06:37,06:42,06:52,07:00,07:10
06:51,06:56,07:06,07:14,07:24
07:08,07:13,07:23,07:31,07:41
07:22,07:28,07:38,07:48,07:58
07:39,07:45,07:56,08:06,08:16
07:51,07:57,08:09,08:19,08:30
08:06,08:12,08:24,08:34,08:45
08:21,08:27,08:39,08:50,09:01
08:36,08:42,08:54,09:05,09:15
08:51,08:57,09:09,09:19,09:29
09:07,09:13,09:24,09:33,09:43
09:21,09:27,09:38,09:47,09:57
09:37,09:43,09:54,10:03,10:13
09:51,09:57,10:08,10:17,10:27
10:07,10:13,10:24,10:33,10:42
10:22,10:28,10:39,10:48,10:57
10:37,10:43,10:54,11:03,11:12
10:52,10:58,11:09,11:18,11:27
11:06,11:12,11:23,11:32,11:42
11:21,11:27,11:38,11:47,11:57
11:36,11:42,11:53,12:02,12:12
11:51,11:57,12:08,12:17,12:27
12:06,12:12,12:23,12:32,12:42
12:21,12:27,12:38,12:47,12:57
12:37,12:43,12:54,13:03,13:12
12:52,12:58,13:09,13:18,13:27
13:07,13:13,13:24,13:33,13:42
13:22,13:28,13:39,13:48,13:57
13:37,13:43,13:54,14:03,14:12
13:52,13:58,14:09,14:18,14:27
14:07,14:13,14:24,14:33,14:43
14:22,14:27,14:39,14:48,14:58
14:35,14:40,14:53,15:04,15:14
14:50,14:55,15:08,15:19,15:29
15:05,15:10,15:24,15:35,15:45
15:20,15:25,15:39,15:50,16:00
15:34,15:40,15:53,16:04,16:14
15:50,15:56,16:09,16:20,16:30
16:05,16:11,16:26,16:38,16:48
16:21,16:27,16:42,16:54,17:04
16:37,16:43,16:57,17:09,17:19
16:52,16:58,17:12,17:23,17:33
17:07,17:13,17:27,17:38,17:48
17:24,17:30,17:44,17:55,18:05
17:41,17:47,18:00,18:11,18:21
17:55,18:01,18:14,18:25,18:35
18:12,18:17,18:29,18:38,18:47
18:26,18:31,18:43,18:52,19:01
18:38,18:43,18:55,-,-
18:49,18:54,19:06,19:14,19:23
19:07,19:11,19:22,19:30,19:39
19:24,19:28,19:39,19:47,19:56
19:39,19:43,19:54,20:02,20:11
20:00,20:03,20:14,20:21,20:30
20:25,20:28,20:39,20:46,20:55
20:55,20:58,21:09,21:16,21:25
21:23,21:26,21:36,21:43,21:51
21:53,21:56,22:06,22:13,22:21
22:22,22:25,22:35,22:42,22:50
22:49,22:52,23:02,23:09,23:17
23:21,23:24,23:34,23:40,23:48
23:51,23:54,00:04,00:10,00:18
00:27,00:30,00:40,00:45,00:52
00:57,01:00,01:10,01:15,01:22
02:01,02:04,-,-,-
