60278,54127
06:35,06:51
06:50,07:06
07:05,07:21
07:20,07:36
07:35,07:51
07:45,08:02
08:05,08:22
08:20,08:37
08:35,08:52
08:50,09:07
09:05,09:20
09:35,09:50
10:05,10:20
10:32,10:47
11:05,11:20
11:35,11:50
12:05,12:20
12:35,12:50
13:07,13:22
13:35,13:50
14:05,14:20
14:35,14:51
15:05,15:21
15:20,15:36
15:35,15:51
15:50,16:06
16:05,16:21
16:20,16:36
16:35,16:50
16:50,17:05
17:05,17:20
17:20,17:36
17:35,17:51
17:50,18:06
18:05,18:21
18:20,18:36
18:35,18:50
19:05,19:20
19:35,19:50
20:46,21:01
21:46,22:01
22:45,23:00
