60691,51389,51999
06:01,06:15,06:25
06:13,06:27,06:37
06:25,06:40,06:51
06:36,06:51,07:02
06:48,07:03,07:14
07:00,07:15,07:27
07:10,07:25,07:37
07:18,07:35,07:47
07:27,07:44,07:56
07:36,07:53,08:06
07:44,08:01,08:14
07:52,08:09,08:21
07:59,08:16,08:28
08:04,08:22,08:35
08:10,08:28,08:41
08:16,08:34,08:47
08:23,08:41,08:54
08:30,08:48,09:02
08:37,08:55,09:09
08:44,09:02,09:16
08:52,09:10,09:24
02:34,02:54,03:08
02:42,03:02,03:16
02:49,03:09,03:24
02:58,03:18,03:33
03:06,03:27,03:42
03:14,03:35,03:50
03:21,03:42,03:57
03:29,03:50,04:05
03:36,03:57,04:12
03:44,04:05,04:20
03:51,04:12,04:27
03:59,04:20,04:35
04:06,04:27,04:43
04:13,04:34,04:50
04:20,04:41,04:57
04:31,04:52,05:08
04:36,04:57,05:13
04:43,05:04,05:20
04:49,05:10,05:26
04:58,05:19,05:35
05:05,05:26,05:41
05:13,05:34,05:49
05:21,05:42,05:57
05:28,05:49,06:04
05:37,05:57,06:12
05:51,06:09,06:23
05:57,06:15,06:29
06:12,06:30,06:44
