53989,54182,54020,53961,60473
05:12,05:18,05:24,05:29,05:35
05:47,05:53,05:59,06:04,06:10
06:05,06:11,06:17,06:22,06:28
06:31,06:37,06:43,06:48,06:55
06:47,06:53,06:59,07:04,07:11
07:00,07:07,07:13,07:18,07:25
07:14,07:21,07:27,07:32,07:39
07:28,07:35,07:42,07:48,07:56
07:45,07:52,07:59,08:05,08:12
07:59,08:06,08:13,08:19,08:26
08:15,08:23,08:30,08:36,08:43
08:37,08:44,08:51,08:57,09:04
08:48,08:55,09:02,09:08,09:15
09:15,09:22,09:29,09:35,09:42
09:45,09:52,09:59,10:05,10:12
10:15,10:22,10:29,10:35,10:42
10:45,10:52,11:00,11:06,11:13
11:14,11:21,11:29,11:35,11:42
11:43,11:50,11:58,12:04,12:12
12:13,12:20,12:28,12:34,12:42
12:43,12:50,12:58,13:04,13:12
13:14,13:21,13:29,13:35,13:43
13:44,13:51,13:59,14:05,14:13
14:13,14:20,14:28,14:34,14:43
14:42,14:50,14:58,15:04,15:13
15:13,15:21,15:30,15:36,15:45
15:41,15:49,15:58,16:04,16:13
15:55,16:02,16:11,16:17,16:26
16:14,16:21,16:29,16:35,16:44
16:27,16:34,16:42,16:48,16:56
16:44,16:51,16:59,17:05,17:13
16:57,17:04,17:12,17:18,17:26
17:14,17:21,17:29,17:35,17:43
17:28,17:35,17:43,17:49,17:57
17:47,17:53,18:00,18:06,18:13
18:01,18:07,18:14,18:20,18:27
18:18,18:24,18:31,18:36,18:43
18:34,18:40,18:47,18:52,18:59
18:48,18:54,19:01,19:06,19:13
19:03,19:09,19:16,19:21,19:28
19:20,19:26,19:32,19:37,19:43
19:34,19:40,19:46,19:51,19:57
20:04,20:10,20:16,20:21,20:27
20:33,20:39,20:45,20:50,20:56
21:04,21:10,21:16,21:20,21:26
21:34,21:40,21:46,21:50,21:56
22:04,22:10,22:16,22:20,22:26
22:34,22:40,22:46,22:50,22:56
23:07,23:12,23:17,23:21,23:26
23:37,23:42,23:47,23:51,23:56
00:07,00:12,00:17,00:21,00:26
00:37,00:42,00:47,00:51,00:56
01:07,01:12,01:17,01:21,01:26
01:28,01:32,01:37,-,-
02:04,02:08,02:13,-,-
