60256,54343,54197,54290
05:25,05:33,05:40,05:59
05:53,06:01,06:08,06:27
06:20,06:29,06:36,06:56
06:47,06:56,07:03,07:25
07:15,07:24,07:31,07:55
07:45,07:55,08:03,08:29
08:18,08:28,08:36,09:02
08:48,08:58,09:06,09:30
09:18,09:28,09:36,09:58
09:47,09:57,10:05,10:27
10:18,10:28,10:36,10:58
10:47,10:57,11:05,11:28
11:20,11:31,11:39,12:05
11:50,12:02,12:10,12:36
12:20,12:32,12:40,13:06
12:50,13:02,13:10,13:36
13:20,13:32,13:40,14:06
13:50,14:02,14:10,14:36
14:18,14:29,14:37,15:03
14:50,15:01,15:09,15:35
15:20,15:31,15:39,16:05
15:50,16:03,16:11,16:37
16:20,16:33,16:41,17:07
16:48,17:00,17:08,17:34
17:19,17:30,17:38,18:03
17:47,17:58,18:06,18:31
18:19,18:30,18:37,19:00
18:49,18:58,19:05,19:28
19:19,19:28,19:34,19:57
19:49,19:58,20:04,20:27
20:19,20:28,20:34,20:56
20:49,20:58,21:04,21:26
21:19,21:27,21:33,21:54
21:49,21:57,22:03,22:24
