54444,54607,54197,59526,60479
05:29,05:44,05:56,-,06:08
05:51,06:06,06:18,-,06:30
06:03,06:18,06:30,-,06:42
06:11,06:26,06:38,-,06:50
06:20,06:34,06:47,-,06:59
06:28,06:42,06:55,-,07:07
06:37,06:51,07:04,-,07:16
06:45,07:01,07:15,-,07:27
06:53,07:09,07:23,-,07:35
07:01,07:18,07:32,-,07:45
07:10,07:27,07:41,-,07:54
07:19,07:36,07:51,-,08:04
07:28,07:45,08:00,-,08:13
07:37,07:54,08:10,-,08:24
07:45,08:03,08:19,-,08:33
07:54,08:12,08:28,-,08:42
08:02,08:20,08:36,-,08:50
08:11,08:29,08:45,-,08:59
08:20,08:41,08:57,-,09:10
08:30,08:51,09:07,-,09:20
08:40,09:01,09:17,-,09:30
08:50,09:10,09:26,-,09:39
09:05,09:22,09:38,-,09:50
09:19,09:36,09:52,-,10:04
09:33,09:49,10:05,-,10:17
09:48,10:04,10:20,-,10:32
10:03,10:19,10:35,-,10:48
10:18,10:34,10:50,-,11:03
10:33,10:49,11:06,-,11:19
10:48,11:04,11:21,-,11:34
11:03,11:20,11:37,-,11:50
11:18,11:35,11:52,-,12:05
11:32,11:51,12:08,-,12:22
11:46,12:05,12:22,-,12:36
12:00,12:19,12:36,-,12:50
12:15,12:34,12:51,-,13:05
12:30,12:50,13:08,-,13:22
12:45,13:05,13:23,-,13:37
13:00,13:20,13:38,-,13:52
13:14,13:34,13:52,-,14:06
13:29,13:49,14:07,-,14:21
13:43,14:03,14:21,-,14:35
13:57,14:17,14:35,-,14:49
14:10,14:30,14:48,-,15:04
14:26,14:46,15:04,-,15:20
14:42,15:02,15:21,-,15:36
14:58,15:18,15:37,-,15:52
15:11,15:31,15:50,-,16:05
15:23,15:39,15:57,-,16:11
15:35,15:51,16:09,-,16:23
15:47,16:03,16:21,-,16:35
15:59,16:15,16:33,-,16:47
16:10,16:26,16:44,-,16:58
16:19,16:35,16:53,-,17:07
16:30,16:47,17:05,-,17:19
16:40,16:57,17:15,-,17:29
16:50,17:08,17:26,-,17:40
17:00,17:17,17:34,-,17:47
17:08,17:25,17:42,-,17:55
17:17,17:34,17:50,-,18:03
17:25,17:42,17:58,-,18:11
17:34,17:51,18:07,-,18:20
17:42,17:59,18:15,-,18:28
17:51,18:08,18:23,-,18:36
18:05,18:22,18:37,-,18:50
18:19,18:36,18:51,-,19:04
18:33,18:48,19:02,-,19:15
18:48,19:03,19:17,-,19:30
19:03,19:18,19:32,-,19:45
19:18,19:33,19:47,-,20:00
19:33,19:48,20:02,-,20:15
19:48,20:03,20:17,-,20:30
20:03,20:19,20:32,-,20:43
20:18,20:34,20:47,08:56,-
20:33,20:48,21:01,09:10,-
20:49,21:04,21:17,09:26,-
21:06,21:21,21:34,09:43,-
21:24,21:39,21:52,10:01,-
21:44,21:59,22:12,10:21,-
22:04,22:19,22:31,10:39,-
22:27,22:42,22:54,11:02,-
22:49,23:04,23:16,11:24,-
23:11,23:25,23:36,11:44,-
23:38,23:52,00:03,12:11,-
00:09,00:22,00:33,12:41,-
00:41,00:53,01:04,13:12,-
