54444,54607,54197,54257,54275
-,-,06:27,06:33,-
-,-,06:35,06:41,-
-,-,06:52,06:58,-
-,-,07:07,07:13,-
-,-,07:37,07:43,-
03:35,03:55,04:08,04:16,04:21
03:57,04:17,04:30,04:38,04:43
04:07,04:27,04:40,04:48,04:53
04:17,04:37,04:50,04:58,05:03
04:36,04:56,05:09,05:17,05:22
04:53,05:14,05:27,05:35,05:40
05:14,05:35,05:48,05:55,06:00
05:39,05:59,06:11,06:18,06:23
05:53,06:12,06:25,06:32,06:37
06:09,06:27,06:39,06:45,06:50
06:30,06:48,07:00,07:06,07:11
06:54,07:12,07:24,07:30,07:35
07:19,07:37,07:49,07:55,08:00
