60577,61782,54745,60955,54765,54602,54411,60348
-,6.53,-,07:03,-,07:31,7.34,07:53
-,7.23,-,07:33,-,08:01,8.04,08:23
07:37,7.55,-,08:05,-,08:33,8.36,08:55
08:10,8.28,08:44,-,08:57,-,9.12,-
-,9.27,09:43,-,09:56,-,10.11,-
-,10.27,10:43,-,10:56,-,11.11,-
-,11.27,11:43,-,11:56,-,12.11,-
-,12.27,12:43,-,12:56,-,1.11,-
-,1.27,13:43,-,13:56,-,2.11,-
-,2.27,14:43,-,14:56,-,3.11,03:35
-,2.57,15:13,-,15:26,-,3.41,04:05
-,3.37,15:53,-,16:06,-,4.21,04:45
-,4.17,16:33,-,16:46,-,5.01,05:25
04:25,4.43,16:59,-,17:12,-,5.27,05:51
04:55,5.13,17:29,-,17:42,-,5.57,06:21
-,5.27,17:43,-,17:56,-,6.11,-
-,6.27,18:43,-,18:56,-,7.11,-
-,7.27,19:43,-,19:56,-,8.11,-
-,9.27,21:39,-,21:52,-,10.07,-
-,10.57,23:09,-,23:22,-,11.37,-
