61071,54778,54382,54441,54592
-,5.07,5.19,5.24,05:34
05:45,5.55,6.07,6.12,06:22
06:15,6.25,6.37,6.42,06:52
06:45,6.55,7.07,7.15,07:27
07:05,7.15,7.27,7.35,07:47
07:25,7.37,7.54,8.02,08:14
07:45,7.57,8.14,8.22,08:34
08:05,8.17,8.34,8.42,08:54
08:25,8.37,8.54,9.02,09:14
08:45,8.57,9.14,9.22,09:34
09:05,9.17,9.34,9.42,09:54
09:25,9.37,9.54,10.02,10:14
09:45,9.57,10.14,10.22,10:34
10:05,10.17,10.34,10.42,10:54
10:25,10.37,10.54,11.02,11:14
10:45,10.57,11.14,11.22,11:34
11:05,11.17,11.34,11.42,11:54
11:25,11.37,11.54,12.02,12:14
11:45,11.57,12.14,12.22,12:34
12:05,12.17,12.34,12.42,12:54
12:25,12.37,12.54,1.02,13:14
12:45,12.57,1.14,1.22,13:34
13:05,1.17,1.34,1.42,13:54
13:25,1.37,1.54,2.02,14:14
13:45,1.57,2.14,2.22,14:34
14:05,2.17,2.34,2.42,14:54
14:25,2.37,2.54,3.02,15:14
14:45,2.57,3.14,3.22,15:34
15:05,3.17,3.35,3.43,15:55
15:25,3.37,3.55,4.03,16:15
15:45,3.57,4.15,4.23,16:35
16:05,4.17,4.35,4.43,16:55
16:25,4.37,4.55,5.03,17:15
16:45,4.57,5.15,5.23,17:35
17:05,5.17,5.35,5.43,17:55
17:25,5.37,5.55,6.03,18:15
17:45,5.57,6.15,6.23,18:34
18:05,6.17,6.33,6.41,18:52
18:30,6.42,6.58,7.06,19:17
19:00,7.1,7.26,7.33,19:44
19:30,7.4,7.56,8.03,20:14
20:00,8.1,8.25,8.32,20:43
20:30,8.4,8.55,9.02,21:13
21:00,9.1,9.21,9.28,21:39
21:35,9.45,9.56,10.02, -
22:12,10.22,10.33,10.39, -
22:41,10.51,11.02,11.08, -
23:18,11.28,11.39,11.45, -
23:47,11.57,12.08,12.15, -
00:25,12.37,12.54,1.01, -
00:57,1.09,1.26,1.33, -
