59558,54441,54556
05:00,05:15,5.33
05:35,05:53,
06:05,06:23,
06:31,06:49,
06:52,07:10,
07:16,07:35,
07:34,07:53,
07:54,08:14,
08:18,08:38,
08:33,08:53,
08:53,09:13,
09:08,09:28,
09:28,09:48,
09:53,10:13,
10:13,10:33,
10:33,10:53,
10:53,11:13,
11:13,11:33,
11:33,11:53,
11:53,12:13,
12:13,12:33,
12:28,12:48,
12:49,13:09,
13:08,13:28,
13:28,13:48,
13:48,14:08,
14:08,14:28,
14:28,14:48,
14:43,15:03,
14:48,15:08,
15:08,15:28,
15:28,15:48,
15:48,16:08,
16:08,16:28,
16:24,16:44,
16:34,16:54,
16:54,17:14,
17:14,17:34,
17:34,17:54,
17:53,18:13,
18:13,18:33,
18:27,18:47,
18:32,18:52,
18:52,19:12,
19:12,19:32,
19:42,20:02,
20:12,20:32,
20:12,20:32,
20:41,21:00,
21:21,21:40,
22:21,22:39,
23:21,23:39,
