51671,51732,52724,51470,60256
-,-,-,5.29,05:37
-,-,-,5.34,05:42
05:21,05:31,05:39,5.48,05:56
-,-,-,5.52,06:00
-,-,-,6.01,06:09
05:42,05:52,06:00,6.09,06:17
05:55,06:04,06:12,6.21,06:29
06:08,06:18,06:26,6.36,06:44
06:24,06:33,06:42,6.52,07:01
06:36,06:45,06:54,7.04,07:13
06:49,06:59,07:08,7.18,07:27
07:03,07:14,07:24,7.34,07:45
07:17,07:28,07:38,7.49,08:00
07:32,07:43,07:53,8.05,08:16
07:48,07:59,08:09,8.21,08:31
08:05,08:16,08:26,8.36,08:46
08:21,08:32,08:42,8.52,09:02
08:35,08:46,08:56,9.06,09:15
08:51,09:02,09:12,9.22,09:31
09:06,09:16,09:26,9.36,09:46
09:21,09:31,09:41,9.51,10:01
09:36,09:46,09:56,10.06,10:15
09:49,09:59,10:09,10.19,10:28
10:05,10:15,10:25,10.35,10:44
10:21,10:31,10:41,10.51,11:00
10:36,10:46,10:56,11.06,11:15
10:51,11:01,11:11,11.21,11:30
11:06,11:16,11:26,11.36,11:45
11:21,11:31,11:41,11.51,12:00
11:36,11:46,11:56,12.06,12:15
11:51,12:01,12:11,12.21,12:30
12:06,12:16,12:26,12.36,12:46
12:21,12:31,12:41,12.51,13:01
12:36,12:46,12:56,1.06,13:16
12:51,13:01,13:11,1.21,13:31
13:06,13:16,13:26,1.36,13:46
13:21,13:31,13:41,1.51,14:01
13:35,13:46,13:56,2.06,14:16
13:49,14:00,14:10,2.2,14:30
14:04,14:15,14:25,2.35,14:45
14:19,14:30,14:40,2.5,15:00
14:34,14:45,14:55,3.05,15:14
14:49,15:00,15:10,3.2,15:29
15:04,15:15,15:26,3.36,15:45
15:19,15:30,15:41,3.51,16:00
15:34,15:46,15:57,4.07,16:16
15:50,16:02,16:13,4.23,16:32
16:05,16:17,16:28,4.38,16:47
16:19,16:31,16:42,4.53,17:02
16:36,16:48,16:59,5.1,17:19
16:53,17:05,17:16,5.26,17:35
17:09,17:21,17:31,5.41,17:50
17:24,17:36,17:46,5.56,18:05
17:38,17:50,18:00,6.1,18:19
17:53,18:05,18:15,6.24,18:33
18:11,18:23,18:33,6.42,18:50
18:26,18:38,18:48,6.57,19:05
18:42,18:52,19:01,7.1,19:18
18:57,19:07,19:16,7.25,19:33
19:13,19:23,19:32,7.41,19:49
19:28,19:38,19:47,7.56,20:04
19:44,19:54,20:02,8.11,20:19
20:15,20:25,20:33,8.42,20:50
20:42,20:52,21:00,9.09,21:17
21:12,21:22,21:30,9.39,21:47
21:40,21:50,21:58,10.07,22:15
22:09,22:19,22:27,10.36,22:44
22:40,22:50,22:58,11.07,23:15
23:11,23:20,23:28,11.36,23:44
23:43,23:52,00:00,12.08,00:16
00:13,00:22,00:30,12.38,00:46
00:57,01:06,01:13,1.2,-
