Unnamed: 0,difference
0,7.0
1,7.0
2,5.0
3,7.0
4,2.0
5,2.0
6,0.0
7,3.0
8,7.0
9,7.0
0,7.0
1,0.0
2,5.0
3,0.0
4,3.0
5,8.0
6,3.0
7,8.0
8,7.0
9,7.0
0,7.0
1,6.0
2,4.0
3,1.0
4,9.0
5,7.0
6,7.0
7,7.0
8,7.0
9,9.0
0,8.0
1,3.0
2,8.0
3,1.0
4,7.0
5,6.0
6,2.0
7,9.0
7,-14.0
8,-11.0
9,-14.0
0,-14.0
1,-4.0
2,-13.0
3,-0.0
4,-4.0
5,-9.0
6,-0.0
7,-11.0
8,-0.0
9,-0.0
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-2.0
6,-5.0
7,-0.0
8,-7.0
9,-0.0
0,-0.0
1,-9.0
2,-0.0
3,-4.0
4,-0.0
5,-9.0
6,-0.0
7,-4.0
8,-0.0
9,-3.0
0,-9.0
1,-3.0
2,-4.0
3,-0.0
4,-4.0
5,-9.0
6,-0.0
7,-4.0
8,-0.0
9,-13.0
0,-0.0
1,-4.0
2,-11.0
3,-9.0
4,-0.0
5,-8.0
