Unnamed: 0,difference
0,7.0
1,7.0
2,9.0
3,2.0
4,1.0
5,6.0
6,6.0
7,5.0
8,0.0
9,3.0
0,7.0
1,2.0
2,0.0
3,5.0
4,6.0
5,5.0
6,0.0
7,5.0
8,9.0
9,3.0
0,8.0
1,6.0
2,9.0
3,4.0
4,5.0
5,8.0
6,5.0
7,8.0
8,8.0
9,5.0
0,6.0
1,6.0
2,0.0
3,6.0
4,0.0
5,7.0
6,7.0
0,-13.0
1,-6.0
2,-13.0
3,-13.0
4,-14.0
5,-14.0
6,-0.0
7,-14.0
8,-2.0
9,-14.0
0,-3.0
1,-5.0
2,-14.0
3,-0.0
4,-14.0
5,-3.0
6,-5.0
7,-0.0
8,-0.0
9,-4.0
0,-3.0
1,-0.0
2,-0.0
3,-4.0
4,-1.0
5,-3.0
6,-9.0
7,-2.0
8,-2.0
9,-2.0
0,-0.0
1,-0.0
2,-3.0
3,-5.0
4,-14.0
5,-5.0
6,-14.0
7,-5.0
8,-14.0
9,-13.0
0,-13.0
1,-13.0
