Unnamed: 0,difference
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-8.0
6,-8.0
7,-1.0
8,-1.0
9,-1.0
0,-9.0
1,-9.0
2,-8.0
3,-7.0
4,-3.0
5,-2.0
6,-14.0
7,-11.0
8,-10.0
9,-2.0
0,-13.0
1,-8.0
2,-4.0
3,-0.0
4,-12.0
5,-11.0
6,-5.0
7,-1.0
8,-13.0
9,-11.0
0,-9.0
1,-9.0
2,-12.0
3,-9.0
4,-9.0
5,-9.0
6,-9.0
7,-8.0
8,-9.0
9,-11.0
0,-9.0
1,-8.0
2,-9.0
3,-9.0
4,-8.0
5,-9.0
6,-11.0
7,-9.0
8,-8.0
9,-9.0
0,-9.0
1,-8.0
2,-9.0
3,-11.0
4,-9.0
5,-8.0
6,-9.0
7,-9.0
8,-8.0
9,-9.0
0,-11.0
1,-9.0
2,-8.0
3,-9.0
4,-9.0
5,-8.0
6,-8.0
7,-11.0
8,-10.0
9,-10.0
0,-12.0
1,-1.0
2,-14.0
3,-0.0
4,-1.0
5,-5.0
6,-3.0
7,-4.0
8,-6.0
9,-10.0
0,-3.0
1,-11.0
2,-4.0
3,-10.0
4,-4.0
5,-11.0
6,-4.0
7,-11.0
8,-4.0
9,-12.0
0,-5.0
1,-12.0
2,-5.0
3,-2.0
4,-1.0
5,-1.0
6,-2.0
7,-1.0
8,-1.0
9,-1.0
0,-1.0
1,1.0
2,5.0
3,0.0
4,5.0
5,0.0
6,5.0
7,0.0
8,5.0
9,0.0
0,5.0
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
