Unnamed: 0,difference
0,-0.0
1,-1.0
2,-10.0
3,0.0
4,0.0
5,8.0
6,7.0
7,7.0
8,8.0
9,6.0
0,8.0
1,8.0
2,4.0
3,-2.0
4,-1.0
5,-0.0
6,-0.0
7,-10.0
8,-1.0
9,-4.0
0,-1.0
1,-12.0
2,-7.0
3,-2.0
4,-1.0
5,-13.0
6,-7.0
7,-2.0
8,-14.0
9,-13.0
0,-13.0
1,-13.0
2,-0.0
3,-13.0
4,-13.0
5,-13.0
6,-13.0
7,-12.0
8,-13.0
9,-0.0
0,-13.0
1,-13.0
2,-13.0
3,-13.0
4,-12.0
5,-13.0
6,-0.0
7,-13.0
8,-13.0
9,-13.0
0,-13.0
1,-12.0
2,-13.0
3,-0.0
4,-13.0
5,-13.0
6,-13.0
7,-13.0
8,-12.0
9,-13.0
0,-0.0
1,-13.0
2,-13.0
3,-13.0
4,-13.0
5,-12.0
6,-12.0
7,-0.0
8,-14.0
9,-0.0
0,-1.0
1,-4.0
2,-3.0
3,-4.0
4,-6.0
5,-9.0
6,-8.0
7,-7.0
8,-8.0
9,-9.0
0,-8.0
1,-7.0
2,-8.0
3,-9.0
4,-11.0
5,-6.0
6,-3.0
7,-11.0
8,-4.0
9,-11.0
0,-4.0
1,-11.0
2,-8.0
3,-5.0
4,-1.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-0.0
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,8.0
6,3.0
7,8.0
8,3.0
9,8.0
0,3.0
1,3.0
2,3.0
3,3.0
4,3.0
5,3.0
6,3.0
