Unnamed: 0,difference
0,9.0
1,8.0
2,5.0
3,2.0
4,0.0
5,5.0
6,6.0
7,7.0
8,1.0
9,8.0
0,3.0
1,6.0
2,6.0
3,1.0
4,2.0
5,2.0
6,0.0
7,1.0
8,2.0
9,1.0
0,2.0
1,2.0
2,9.0
3,8.0
4,6.0
5,0.0
6,6.0
7,0.0
8,6.0
9,0.0
0,7.0
1,1.0
2,1.0
3,9.0
4,3.0
5,3.0
6,9.0
7,4.0
8,9.0
9,4.0
0,1.0
1,7.0
2,5.0
3,6.0
4,6.0
5,0.0
6,0.0
7,0.0
1,-14.0
2,-3.0
3,-7.0
4,-2.0
5,-2.0
6,-4.0
7,-7.0
8,-14.0
9,-14.0
0,-7.0
1,-13.0
2,-13.0
3,-0.0
4,-14.0
5,-14.0
6,-14.0
7,-14.0
8,-14.0
9,-1.0
0,-2.0
1,-10.0
2,-1.0
3,-1.0
4,-14.0
5,-1.0
6,-13.0
7,-1.0
8,-4.0
9,-11.0
0,-14.0
1,-2.0
2,-11.0
3,-14.0
4,-11.0
5,-13.0
6,-9.0
7,-10.0
8,-11.0
9,-9.0
0,-9.0
1,-9.0
2,-9.0
