Unnamed: 0,difference
0,7.0
1,5.0
2,5.0
3,5.0
4,5.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
0,7.0
1,7.0
2,7.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
0,7.0
1,7.0
2,7.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
0,7.0
1,7.0
2,7.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,2.0
9,1.0
0,4.0
1,1.0
2,4.0
3,1.0
4,5.0
5,2.0
6,1.0
7,8.0
8,7.0
9,7.0
0,9.0
7,-5.0
8,-5.0
9,-5.0
0,-10.0
1,-5.0
2,-5.0
3,-5.0
4,-5.0
5,-0.0
6,-3.0
7,-5.0
8,-13.0
9,-8.0
0,-3.0
1,-5.0
2,-13.0
3,-8.0
4,-3.0
5,-5.0
6,-13.0
7,-8.0
8,-3.0
9,-4.0
0,-13.0
1,-8.0
2,-3.0
3,-4.0
4,-13.0
5,-8.0
6,-3.0
7,-4.0
8,-13.0
9,-8.0
0,-3.0
1,-4.0
2,-13.0
3,-8.0
4,-3.0
5,-4.0
6,-13.0
7,-8.0
8,-3.0
9,-4.0
0,-13.0
1,-8.0
2,-3.0
3,-4.0
4,-13.0
5,-8.0
6,-3.0
7,-5.0
8,-13.0
9,-5.0
0,-5.0
1,-5.0
2,-0.0
3,-5.0
4,-6.0
5,-5.0
6,-5.0
