Unnamed: 0,difference
0,3.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
7,-1.0
8,-7.0
9,-7.0
0,-11.0
1,-11.0
2,-10.0
3,-0.0
4,-10.0
5,-11.0
6,-5.0
7,-1.0
8,-7.0
9,-0.0
0,-0.0
1,-6.0
2,-2.0
3,-0.0
4,-0.0
5,-0.0
6,-13.0
7,-13.0
8,-13.0
9,-13.0
0,-13.0
1,-12.0
2,-12.0
3,-11.0
4,-6.0
5,-0.0
6,-11.0
7,-12.0
8,-11.0
9,-11.0
0,-11.0
1,-12.0
2,-12.0
3,-5.0
4,-12.0
5,-5.0
6,-11.0
7,-9.0
8,-9.0
9,-1.0
0,-9.0
1,-9.0
2,-9.0
3,-11.0
4,-12.0
5,-12.0
6,-7.0
7,-12.0
8,-7.0
9,-12.0
0,-14.0
1,-12.0
2,-11.0
3,-13.0
4,-6.0
5,-1.0
6,-11.0
7,-13.0
8,-6.0
9,-1.0
0,-9.0
1,-11.0
2,-10.0
3,-6.0
4,-7.0
5,-6.0
