Unnamed: 0,difference
0,0.0
1,0.0
2,0.0
3,3.0
4,5.0
5,0.0
6,5.0
7,0.0
8,5.0
9,5.0
0,0.0
1,0.0
2,0.0
3,0.0
4,5.0
5,5.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,3.0
9,5.0
0,5.0
1,5.0
2,0.0
3,5.0
4,0.0
5,3.0
6,0.0
7,0.0
8,0.0
9,0.0
0,0.0
1,5.0
2,3.0
3,0.0
4,0.0
5,5.0
6,5.0
7,0.0
8,0.0
9,0.0
0,0.0
1,5.0
5,-12.0
6,-12.0
7,-2.0
8,-5.0
9,-5.0
0,-12.0
1,-10.0
2,-12.0
3,-5.0
4,-2.0
5,-0.0
6,-0.0
7,-7.0
8,-0.0
9,-5.0
0,-0.0
1,-0.0
2,-0.0
3,-2.0
4,-0.0
5,-0.0
6,-10.0
7,-0.0
8,-0.0
9,-0.0
0,-0.0
1,-0.0
2,-1.0
3,-1.0
4,-10.0
5,-1.0
6,-1.0
7,-3.0
8,-5.0
9,-1.0
0,-0.0
1,-10.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-3.0
7,-1.0
8,-5.0
9,-2.0
0,-2.0
1,-10.0
2,-2.0
3,-5.0
4,-3.0
5,-10.0
6,-2.0
7,-10.0
8,-0.0
9,-5.0
0,-10.0
1,-5.0
2,-0.0
3,-0.0
4,-10.0
5,-2.0
6,-10.0
7,-12.0
8,-0.0
9,-10.0
0,-0.0
