Unnamed: 0,difference
0,0.0
1,0.0
5,-12.0
6,-12.0
7,-2.0
8,-1.0
9,-4.0
0,-7.0
1,-12.0
2,-2.0
3,-6.0
4,-13.0
5,-4.0
6,-10.0
7,-1.0
8,-11.0
9,-12.0
0,-12.0
1,-4.0
2,-4.0
3,-8.0
4,-6.0
5,-5.0
6,-5.0
7,-5.0
8,-5.0
9,-4.0
0,-4.0
1,-14.0
2,-3.0
3,-3.0
4,-10.0
5,-3.0
6,-10.0
7,-3.0
8,-8.0
9,-2.0
0,-8.0
1,-2.0
2,-8.0
3,-8.0
4,-7.0
5,-10.0
6,-13.0
7,-5.0
8,-5.0
9,-6.0
0,-9.0
1,-12.0
2,-6.0
3,-9.0
4,-12.0
5,-6.0
6,-9.0
7,-12.0
8,-5.0
9,-11.0
0,-6.0
1,-11.0
2,-7.0
3,-12.0
4,-6.0
5,-12.0
6,-7.0
7,-12.0
8,-6.0
9,-12.0
0,-7.0
1,-12.0
2,-12.0
3,-2.0
4,-9.0
5,-13.0
6,-13.0
7,-5.0
8,-11.0
9,-5.0
0,-14.0
1,-8.0
2,-14.0
3,-14.0
4,-1.0
5,-3.0
6,-14.0
7,-14.0
8,-9.0
9,-14.0
0,-9.0
1,-13.0
2,-13.0
3,-7.0
4,-3.0
5,-13.0
6,-8.0
7,-1.0
8,-0.0
9,-8.0
0,-1.0
1,-3.0
2,-2.0
