Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
30064,215indianriver,13722265,18:35:00,12628,215 Indian River,60278
30065,215indianriver,13722265,18:37:22,4068,215 Indian River,58492
30066,215indianriver,13722265,18:37:50,4120,215 Indian River,58459
30067,215indianriver,13722265,18:38:36,8861,215 Indian River,58457
30068,215indianriver,13722265,18:39:06,4121,215 Indian River,58456
30069,215indianriver,13722265,18:39:51,4122,215 Indian River,54080
30070,215indianriver,13722265,18:40:33,9039,215 Indian River,58331
30071,215indianriver,13722265,18:41:51,4164,215 Indian River,54120
30072,215indianriver,13722265,18:42:18,4165,215 Indian River,54121
30073,215indianriver,13722265,18:42:33,4166,215 Indian River,54122
30074,215indianriver,13722265,18:43:13,4167,215 Indian River,54123
30075,215indianriver,13722265,18:44:04,9040,215 Indian River,58332
30076,215indianriver,13722265,18:44:36,4077,215 Indian River,54036
30077,215indianriver,13722265,18:45:41,4078,215 Indian River,54037
30078,215indianriver,13722265,18:46:35,4079,215 Indian River,54038
30079,215indianriver,13722265,18:47:28,4168,215 Indian River,54124
30080,215indianriver,13722265,18:48:05,4169,215 Indian River,54125
30081,215indianriver,13722265,18:48:46,10962,215 Indian River,60720
30082,215indianriver,13722265,18:49:14,4170,215 Indian River,54126
30083,215indianriver,13722265,18:50:00,4171,215 Indian River,54127
30084,215indianriver,13722266,15:05:00,12628,215 Indian River,60278
30085,215indianriver,13722266,15:07:31,4068,215 Indian River,58492
30086,215indianriver,13722266,15:08:01,4120,215 Indian River,58459
30087,215indianriver,13722266,15:08:50,8861,215 Indian River,58457
30088,215indianriver,13722266,15:09:22,4121,215 Indian River,58456
30089,215indianriver,13722266,15:10:10,4122,215 Indian River,54080
30090,215indianriver,13722266,15:10:55,9039,215 Indian River,58331
30091,215indianriver,13722266,15:12:18,4164,215 Indian River,54120
30092,215indianriver,13722266,15:12:47,4165,215 Indian River,54121
30093,215indianriver,13722266,15:13:03,4166,215 Indian River,54122
30094,215indianriver,13722266,15:13:46,4167,215 Indian River,54123
30095,215indianriver,13722266,15:14:41,9040,215 Indian River,58332
30096,215indianriver,13722266,15:15:16,4077,215 Indian River,54036
30097,215indianriver,13722266,15:16:26,4078,215 Indian River,54037
30098,215indianriver,13722266,15:17:24,4079,215 Indian River,54038
30099,215indianriver,13722266,15:18:21,4168,215 Indian River,54124
30100,215indianriver,13722266,15:19:00,4169,215 Indian River,54125
30101,215indianriver,13722266,15:19:44,10962,215 Indian River,60720
30102,215indianriver,13722266,15:20:14,4170,215 Indian River,54126
30103,215indianriver,13722266,15:21:00,4171,215 Indian River,54127
30104,215indianriver,13722267,15:20:00,12628,215 Indian River,60278
30105,215indianriver,13722267,15:22:31,4068,215 Indian River,58492
30106,215indianriver,13722267,15:23:01,4120,215 Indian River,58459
30107,215indianriver,13722267,15:23:50,8861,215 Indian River,58457
30108,215indianriver,13722267,15:24:22,4121,215 Indian River,58456
30109,215indianriver,13722267,15:25:10,4122,215 Indian River,54080
30110,215indianriver,13722267,15:25:55,9039,215 Indian River,58331
30111,215indianriver,13722267,15:27:18,4164,215 Indian River,54120
30112,215indianriver,13722267,15:27:47,4165,215 Indian River,54121
30113,215indianriver,13722267,15:28:03,4166,215 Indian River,54122
30114,215indianriver,13722267,15:28:46,4167,215 Indian River,54123
30115,215indianriver,13722267,15:29:41,9040,215 Indian River,58332
30116,215indianriver,13722267,15:30:16,4077,215 Indian River,54036
30117,215indianriver,13722267,15:31:26,4078,215 Indian River,54037
30118,215indianriver,13722267,15:32:24,4079,215 Indian River,54038
30119,215indianriver,13722267,15:33:21,4168,215 Indian River,54124
30120,215indianriver,13722267,15:34:00,4169,215 Indian River,54125
30121,215indianriver,13722267,15:34:44,10962,215 Indian River,60720
30122,215indianriver,13722267,15:35:14,4170,215 Indian River,54126
30123,215indianriver,13722267,15:36:00,4171,215 Indian River,54127
30124,215indianriver,13722268, 6:35:00,12628,215 Indian River,60278
30125,215indianriver,13722268, 6:37:31,4068,215 Indian River,58492
30126,215indianriver,13722268, 6:38:01,4120,215 Indian River,58459
30127,215indianriver,13722268, 6:38:50,8861,215 Indian River,58457
30128,215indianriver,13722268, 6:39:22,4121,215 Indian River,58456
30129,215indianriver,13722268, 6:40:10,4122,215 Indian River,54080
30130,215indianriver,13722268, 6:40:55,9039,215 Indian River,58331
30131,215indianriver,13722268, 6:42:18,4164,215 Indian River,54120
30132,215indianriver,13722268, 6:42:47,4165,215 Indian River,54121
30133,215indianriver,13722268, 6:43:03,4166,215 Indian River,54122
30134,215indianriver,13722268, 6:43:46,4167,215 Indian River,54123
30135,215indianriver,13722268, 6:44:41,9040,215 Indian River,58332
30136,215indianriver,13722268, 6:45:16,4077,215 Indian River,54036
30137,215indianriver,13722268, 6:46:26,4078,215 Indian River,54037
30138,215indianriver,13722268, 6:47:24,4079,215 Indian River,54038
30139,215indianriver,13722268, 6:48:21,4168,215 Indian River,54124
30140,215indianriver,13722268, 6:49:00,4169,215 Indian River,54125
30141,215indianriver,13722268, 6:49:44,10962,215 Indian River,60720
30142,215indianriver,13722268, 6:50:14,4170,215 Indian River,54126
30143,215indianriver,13722268, 6:51:00,4171,215 Indian River,54127
30144,215indianriver,13722269, 8:50:00,12628,215 Indian River,60278
30145,215indianriver,13722269, 8:52:41,4068,215 Indian River,58492
30146,215indianriver,13722269, 8:53:13,4120,215 Indian River,58459
30147,215indianriver,13722269, 8:54:05,8861,215 Indian River,58457
30148,215indianriver,13722269, 8:54:39,4121,215 Indian River,58456
30149,215indianriver,13722269, 8:55:30,4122,215 Indian River,54080
30150,215indianriver,13722269, 8:56:18,9039,215 Indian River,58331
30151,215indianriver,13722269, 8:57:46,4164,215 Indian River,54120
30152,215indianriver,13722269, 8:58:17,4165,215 Indian River,54121
30153,215indianriver,13722269, 8:58:34,4166,215 Indian River,54122
30154,215indianriver,13722269, 8:59:19,4167,215 Indian River,54123
30155,215indianriver,13722269, 9:00:17,9040,215 Indian River,58332
30156,215indianriver,13722269, 9:00:54,4077,215 Indian River,54036
30157,215indianriver,13722269, 9:02:08,4078,215 Indian River,54037
30158,215indianriver,13722269, 9:03:10,4079,215 Indian River,54038
30159,215indianriver,13722269, 9:04:10,4168,215 Indian River,54124
30160,215indianriver,13722269, 9:04:52,4169,215 Indian River,54125
30161,215indianriver,13722269, 9:05:38,10962,215 Indian River,60720
30162,215indianriver,13722269, 9:06:10,4170,215 Indian River,54126
30163,215indianriver,13722269, 9:07:00,4171,215 Indian River,54127
30164,215indianriver,13722270,13:07:00,12628,215 Indian River,60278
30165,215indianriver,13722270,13:09:22,4068,215 Indian River,58492
30166,215indianriver,13722270,13:09:50,4120,215 Indian River,58459
30167,215indianriver,13722270,13:10:36,8861,215 Indian River,58457
30168,215indianriver,13722270,13:11:06,4121,215 Indian River,58456
30169,215indianriver,13722270,13:11:51,4122,215 Indian River,54080
30170,215indianriver,13722270,13:12:33,9039,215 Indian River,58331
30171,215indianriver,13722270,13:13:51,4164,215 Indian River,54120
30172,215indianriver,13722270,13:14:18,4165,215 Indian River,54121
30173,215indianriver,13722270,13:14:33,4166,215 Indian River,54122
30174,215indianriver,13722270,13:15:13,4167,215 Indian River,54123
30175,215indianriver,13722270,13:16:04,9040,215 Indian River,58332
30176,215indianriver,13722270,13:16:36,4077,215 Indian River,54036
30177,215indianriver,13722270,13:17:41,4078,215 Indian River,54037
30178,215indianriver,13722270,13:18:35,4079,215 Indian River,54038
30179,215indianriver,13722270,13:19:28,4168,215 Indian River,54124
30180,215indianriver,13722270,13:20:05,4169,215 Indian River,54125
30181,215indianriver,13722270,13:20:46,10962,215 Indian River,60720
30182,215indianriver,13722270,13:21:14,4170,215 Indian River,54126
30183,215indianriver,13722270,13:22:00,4171,215 Indian River,54127
30184,215indianriver,13722271,19:35:00,12628,215 Indian River,60278
30185,215indianriver,13722271,19:37:22,4068,215 Indian River,58492
30186,215indianriver,13722271,19:37:50,4120,215 Indian River,58459
30187,215indianriver,13722271,19:38:36,8861,215 Indian River,58457
30188,215indianriver,13722271,19:39:06,4121,215 Indian River,58456
30189,215indianriver,13722271,19:39:51,4122,215 Indian River,54080
30190,215indianriver,13722271,19:40:33,9039,215 Indian River,58331
30191,215indianriver,13722271,19:41:51,4164,215 Indian River,54120
30192,215indianriver,13722271,19:42:18,4165,215 Indian River,54121
30193,215indianriver,13722271,19:42:33,4166,215 Indian River,54122
30194,215indianriver,13722271,19:43:13,4167,215 Indian River,54123
30195,215indianriver,13722271,19:44:04,9040,215 Indian River,58332
30196,215indianriver,13722271,19:44:36,4077,215 Indian River,54036
30197,215indianriver,13722271,19:45:41,4078,215 Indian River,54037
30198,215indianriver,13722271,19:46:35,4079,215 Indian River,54038
30199,215indianriver,13722271,19:47:28,4168,215 Indian River,54124
30200,215indianriver,13722271,19:48:05,4169,215 Indian River,54125
30201,215indianriver,13722271,19:48:46,10962,215 Indian River,60720
30202,215indianriver,13722271,19:49:14,4170,215 Indian River,54126
30203,215indianriver,13722271,19:50:00,4171,215 Indian River,54127
30204,215indianriver,13722272,20:46:00,12628,215 Indian River,60278
30205,215indianriver,13722272,20:48:22,4068,215 Indian River,58492
30206,215indianriver,13722272,20:48:50,4120,215 Indian River,58459
30207,215indianriver,13722272,20:49:36,8861,215 Indian River,58457
30208,215indianriver,13722272,20:50:06,4121,215 Indian River,58456
30209,215indianriver,13722272,20:50:51,4122,215 Indian River,54080
30210,215indianriver,13722272,20:51:33,9039,215 Indian River,58331
