Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
146756,262lionsbaybruns,13723993,19:08:00,10328,262 Lions Bay- Brunswick,60887
146757,262lionsbaybruns,13723993,19:15:00,4608,262 Lions Bay- Brunswick,54556
146758,262lionsbaybruns,13723993,19:15:25,4609,262 Lions Bay- Brunswick,54557
146759,262lionsbaybruns,13723993,19:15:46,8629,262 Lions Bay- Brunswick,54558
146760,262lionsbaybruns,13723993,19:16:15,4611,262 Lions Bay- Brunswick,54559
146761,262lionsbaybruns,13723993,19:19:32,11547,262 Lions Bay- Brunswick,61527
146762,262lionsbaybruns,13723993,19:21:24,11233,262 Lions Bay- Brunswick,61316
146763,262lionsbaybruns,13723993,19:29:07,11546,262 Lions Bay- Brunswick,61528
146764,262lionsbaybruns,13723993,19:30:00,11549,262 Lions Bay- Brunswick,61530
146765,262lionsbaybruns,13723993,19:33:00,11410,262 Lions Bay- Brunswick,61445
146766,262lionsbaybruns,13723994, 6:27:00,10328,262 Lions Bay- Brunswick,60887
146767,262lionsbaybruns,13723994, 6:34:00,4608,262 Lions Bay- Brunswick,54556
146768,262lionsbaybruns,13723994, 6:34:20,4609,262 Lions Bay- Brunswick,54557
146769,262lionsbaybruns,13723994, 6:34:36,8629,262 Lions Bay- Brunswick,54558
146770,262lionsbaybruns,13723994, 6:34:59,4611,262 Lions Bay- Brunswick,54559
146771,262lionsbaybruns,13723994, 6:37:36,11547,262 Lions Bay- Brunswick,61527
146772,262lionsbaybruns,13723994, 6:39:06,11233,262 Lions Bay- Brunswick,61316
146773,262lionsbaybruns,13723994, 6:45:17,11546,262 Lions Bay- Brunswick,61528
146774,262lionsbaybruns,13723994, 6:46:00,11549,262 Lions Bay- Brunswick,61530
146775,262lionsbaybruns,13723994, 6:48:00,11410,262 Lions Bay- Brunswick,61445
146776,262lionsbaybruns,13723995,12:18:00,10328,262 Lions Bay- Brunswick,60887
146777,262lionsbaybruns,13723995,12:25:00,4608,262 Lions Bay- Brunswick,54556
146778,262lionsbaybruns,13723995,12:25:25,4609,262 Lions Bay- Brunswick,54557
146779,262lionsbaybruns,13723995,12:25:46,8629,262 Lions Bay- Brunswick,54558
146780,262lionsbaybruns,13723995,12:26:15,4611,262 Lions Bay- Brunswick,54559
146781,262lionsbaybruns,13723995,12:29:32,11547,262 Lions Bay- Brunswick,61527
146782,262lionsbaybruns,13723995,12:31:24,11233,262 Lions Bay- Brunswick,61316
146783,262lionsbaybruns,13723995,12:39:07,11546,262 Lions Bay- Brunswick,61528
146784,262lionsbaybruns,13723995,12:40:00,11549,262 Lions Bay- Brunswick,61530
146785,262lionsbaybruns,13723995,12:43:00,11410,262 Lions Bay- Brunswick,61445
146786,262lionsbaybruns,13723996,14:13:00,10328,262 Lions Bay- Brunswick,60887
146787,262lionsbaybruns,13723996,14:20:00,4608,262 Lions Bay- Brunswick,54556
146788,262lionsbaybruns,13723996,14:20:25,4609,262 Lions Bay- Brunswick,54557
146789,262lionsbaybruns,13723996,14:20:46,8629,262 Lions Bay- Brunswick,54558
146790,262lionsbaybruns,13723996,14:21:15,4611,262 Lions Bay- Brunswick,54559
146791,262lionsbaybruns,13723996,14:24:32,11547,262 Lions Bay- Brunswick,61527
146792,262lionsbaybruns,13723996,14:26:24,11233,262 Lions Bay- Brunswick,61316
146793,262lionsbaybruns,13723996,14:34:07,11546,262 Lions Bay- Brunswick,61528
146794,262lionsbaybruns,13723996,14:35:00,11549,262 Lions Bay- Brunswick,61530
146795,262lionsbaybruns,13723996,14:38:00,11410,262 Lions Bay- Brunswick,61445
146796,262lionsbaybruns,13723997,15:13:00,10328,262 Lions Bay- Brunswick,60887
146797,262lionsbaybruns,13723997,15:20:00,4608,262 Lions Bay- Brunswick,54556
146798,262lionsbaybruns,13723997,15:20:25,4609,262 Lions Bay- Brunswick,54557
146799,262lionsbaybruns,13723997,15:20:46,8629,262 Lions Bay- Brunswick,54558
146800,262lionsbaybruns,13723997,15:21:15,4611,262 Lions Bay- Brunswick,54559
146801,262lionsbaybruns,13723997,15:24:32,11547,262 Lions Bay- Brunswick,61527
146802,262lionsbaybruns,13723997,15:26:24,11233,262 Lions Bay- Brunswick,61316
146803,262lionsbaybruns,13723997,15:34:07,11546,262 Lions Bay- Brunswick,61528
146804,262lionsbaybruns,13723997,15:35:00,11549,262 Lions Bay- Brunswick,61530
146805,262lionsbaybruns,13723997,15:38:00,11410,262 Lions Bay- Brunswick,61445
146806,262lionsbaybruns,13723998,16:13:00,10328,262 Lions Bay- Brunswick,60887
146807,262lionsbaybruns,13723998,16:20:00,4608,262 Lions Bay- Brunswick,54556
146808,262lionsbaybruns,13723998,16:20:25,4609,262 Lions Bay- Brunswick,54557
146809,262lionsbaybruns,13723998,16:20:46,8629,262 Lions Bay- Brunswick,54558
146810,262lionsbaybruns,13723998,16:21:15,4611,262 Lions Bay- Brunswick,54559
146811,262lionsbaybruns,13723998,16:24:32,11547,262 Lions Bay- Brunswick,61527
146812,262lionsbaybruns,13723998,16:26:24,11233,262 Lions Bay- Brunswick,61316
146813,262lionsbaybruns,13723998,16:34:07,11546,262 Lions Bay- Brunswick,61528
146814,262lionsbaybruns,13723998,16:35:00,11549,262 Lions Bay- Brunswick,61530
146815,262lionsbaybruns,13723998,16:38:00,11410,262 Lions Bay- Brunswick,61445
146816,262lionsbaybruns,13723999,17:11:00,10328,262 Lions Bay- Brunswick,60887
146817,262lionsbaybruns,13723999,17:18:00,4608,262 Lions Bay- Brunswick,54556
146818,262lionsbaybruns,13723999,17:18:25,4609,262 Lions Bay- Brunswick,54557
146819,262lionsbaybruns,13723999,17:18:46,8629,262 Lions Bay- Brunswick,54558
146820,262lionsbaybruns,13723999,17:19:15,4611,262 Lions Bay- Brunswick,54559
146821,262lionsbaybruns,13723999,17:22:32,11547,262 Lions Bay- Brunswick,61527
146822,262lionsbaybruns,13723999,17:24:24,11233,262 Lions Bay- Brunswick,61316
146823,262lionsbaybruns,13723999,17:32:07,11546,262 Lions Bay- Brunswick,61528
146824,262lionsbaybruns,13723999,17:33:00,11549,262 Lions Bay- Brunswick,61530
146825,262lionsbaybruns,13723999,17:36:00,11410,262 Lions Bay- Brunswick,61445
146826,262lionsbaybruns,13724000,18:13:00,10328,262 Lions Bay- Brunswick,60887
146827,262lionsbaybruns,13724000,18:20:00,4608,262 Lions Bay- Brunswick,54556
146828,262lionsbaybruns,13724000,18:20:25,4609,262 Lions Bay- Brunswick,54557
146829,262lionsbaybruns,13724000,18:20:46,8629,262 Lions Bay- Brunswick,54558
146830,262lionsbaybruns,13724000,18:21:15,4611,262 Lions Bay- Brunswick,54559
146831,262lionsbaybruns,13724000,18:24:32,11547,262 Lions Bay- Brunswick,61527
146832,262lionsbaybruns,13724000,18:26:24,11233,262 Lions Bay- Brunswick,61316
146833,262lionsbaybruns,13724000,18:34:07,11546,262 Lions Bay- Brunswick,61528
146834,262lionsbaybruns,13724000,18:35:00,11549,262 Lions Bay- Brunswick,61530
146835,262lionsbaybruns,13724000,18:38:00,11410,262 Lions Bay- Brunswick,61445
146836,262lionsbaybruns,13724001, 7:18:00,10328,262 Lions Bay- Brunswick,60887
146837,262lionsbaybruns,13724001, 7:25:00,4608,262 Lions Bay- Brunswick,54556
146838,262lionsbaybruns,13724001, 7:25:25,4609,262 Lions Bay- Brunswick,54557
146839,262lionsbaybruns,13724001, 7:25:46,8629,262 Lions Bay- Brunswick,54558
146840,262lionsbaybruns,13724001, 7:26:15,4611,262 Lions Bay- Brunswick,54559
146841,262lionsbaybruns,13724001, 7:29:32,11547,262 Lions Bay- Brunswick,61527
146842,262lionsbaybruns,13724001, 7:31:24,11233,262 Lions Bay- Brunswick,61316
146843,262lionsbaybruns,13724001, 7:39:07,11546,262 Lions Bay- Brunswick,61528
146844,262lionsbaybruns,13724001, 7:40:00,11549,262 Lions Bay- Brunswick,61530
146845,262lionsbaybruns,13724001, 7:43:00,11410,262 Lions Bay- Brunswick,61445
146846,262lionsbaybruns,13724002, 8:18:00,10328,262 Lions Bay- Brunswick,60887
146847,262lionsbaybruns,13724002, 8:25:00,4608,262 Lions Bay- Brunswick,54556
146848,262lionsbaybruns,13724002, 8:25:25,4609,262 Lions Bay- Brunswick,54557
146849,262lionsbaybruns,13724002, 8:25:46,8629,262 Lions Bay- Brunswick,54558
146850,262lionsbaybruns,13724002, 8:26:15,4611,262 Lions Bay- Brunswick,54559
146851,262lionsbaybruns,13724002, 8:29:32,11547,262 Lions Bay- Brunswick,61527
146852,262lionsbaybruns,13724002, 8:31:24,11233,262 Lions Bay- Brunswick,61316
146853,262lionsbaybruns,13724002, 8:39:07,11546,262 Lions Bay- Brunswick,61528
146854,262lionsbaybruns,13724002, 8:40:00,11549,262 Lions Bay- Brunswick,61530
146855,262lionsbaybruns,13724002, 8:43:00,11410,262 Lions Bay- Brunswick,61445
146856,262lionsbaybruns,13724003, 9:18:00,10328,262 Lions Bay- Brunswick,60887
146857,262lionsbaybruns,13724003, 9:25:00,4608,262 Lions Bay- Brunswick,54556
146858,262lionsbaybruns,13724003, 9:25:25,4609,262 Lions Bay- Brunswick,54557
146859,262lionsbaybruns,13724003, 9:25:46,8629,262 Lions Bay- Brunswick,54558
146860,262lionsbaybruns,13724003, 9:26:15,4611,262 Lions Bay- Brunswick,54559
146861,262lionsbaybruns,13724003, 9:29:32,11547,262 Lions Bay- Brunswick,61527
146862,262lionsbaybruns,13724003, 9:31:24,11233,262 Lions Bay- Brunswick,61316
146863,262lionsbaybruns,13724003, 9:39:07,11546,262 Lions Bay- Brunswick,61528
146864,262lionsbaybruns,13724003, 9:40:00,11549,262 Lions Bay- Brunswick,61530
146865,262lionsbaybruns,13724003, 9:43:00,11410,262 Lions Bay- Brunswick,61445
146866,262lionsbaybruns,13724004,10:18:00,10328,262 Lions Bay- Brunswick,60887
146867,262lionsbaybruns,13724004,10:25:00,4608,262 Lions Bay- Brunswick,54556
146868,262lionsbaybruns,13724004,10:25:25,4609,262 Lions Bay- Brunswick,54557
146869,262lionsbaybruns,13724004,10:25:46,8629,262 Lions Bay- Brunswick,54558
146870,262lionsbaybruns,13724004,10:26:15,4611,262 Lions Bay- Brunswick,54559
146871,262lionsbaybruns,13724004,10:29:32,11547,262 Lions Bay- Brunswick,61527
146872,262lionsbaybruns,13724004,10:31:24,11233,262 Lions Bay- Brunswick,61316
146873,262lionsbaybruns,13724004,10:39:07,11546,262 Lions Bay- Brunswick,61528
146874,262lionsbaybruns,13724004,10:40:00,11549,262 Lions Bay- Brunswick,61530
146875,262lionsbaybruns,13724004,10:43:00,11410,262 Lions Bay- Brunswick,61445
146876,262lionsbaybruns,13724005,11:18:00,10328,262 Lions Bay- Brunswick,60887
146877,262lionsbaybruns,13724005,11:25:00,4608,262 Lions Bay- Brunswick,54556
146878,262lionsbaybruns,13724005,11:25:25,4609,262 Lions Bay- Brunswick,54557
146879,262lionsbaybruns,13724005,11:25:46,8629,262 Lions Bay- Brunswick,54558
146880,262lionsbaybruns,13724005,11:26:15,4611,262 Lions Bay- Brunswick,54559
146881,262lionsbaybruns,13724005,11:29:32,11547,262 Lions Bay- Brunswick,61527
146882,262lionsbaybruns,13724005,11:31:24,11233,262 Lions Bay- Brunswick,61316
146883,262lionsbaybruns,13724005,11:39:07,11546,262 Lions Bay- Brunswick,61528
146884,262lionsbaybruns,13724005,11:40:00,11549,262 Lions Bay- Brunswick,61530
146885,262lionsbaybruns,13724005,11:43:00,11410,262 Lions Bay- Brunswick,61445
