,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,1185,130metro,13676825,05:47,1394,130Metrotown Station,51382
2,4762,130metro,13677039,05:54,1394,130Metrotown Station,51382
3,1156,130metro,13676824,06:03,1394,130Metrotown Station,51382
4,4388,130metro,13677026,06:14,1394,130Metrotown Station,51382
7,1243,130metro,13676827,06:33,1394,130Metrotown Station,51382
10,244,130metro,13676793,06:50,1394,130Metrotown Station,51382
13,1302,130metro,13676829,07:00,1394,130Metrotown Station,51382
14,4529,130metro,13677031,07:12,1394,130Metrotown Station,51382
16,274,130metro,13676794,07:22,1394,130Metrotown Station,51382
17,1331,130metro,13676830,07:28,1394,130Metrotown Station,51382
20,8,130metro,13676785,07:45,1394,130Metrotown Station,51382
24,2710,130metro,13676877,07:59,1394,130Metrotown Station,51382
27,6882,130metro,13677181,08:14,1394,130Metrotown Station,51382
31,1449,130metro,13676834,08:29,1394,130Metrotown Station,51382
35,2302,130metro,13676863,08:44,1394,130Metrotown Station,51382
39,6795,130metro,13677178,09:01,1394,130Metrotown Station,51382
43,6940,130metro,13677183,09:14,1394,130Metrotown Station,51382
46,922,130metro,13676816,09:24,1394,130Metrotown Station,51382
47,6911,130metro,13677182,09:29,1394,130Metrotown Station,51382
50,6824,130metro,13677179,09:43,1394,130Metrotown Station,51382
53,6100,130metro,13677154,09:53,1394,130Metrotown Station,51382
55,3928,130metro,13677010,10:02,1394,130Metrotown Station,51382
58,1390,130metro,13676832,10:15,1394,130Metrotown Station,51382
60,7133,130metro,13677190,10:21,1394,130Metrotown Station,51382
62,4899,130metro,13677044,10:31,1394,130Metrotown Station,51382
64,7253,130metro,13677194,10:37,1394,130Metrotown Station,51382
65,3532,130metro,13676996,10:45,1394,130Metrotown Station,51382
67,1536,130metro,13676837,10:53,1394,130Metrotown Station,51382
68,7283,130metro,13677195,11:00,1394,130Metrotown Station,51382
71,6419,130metro,13677165,11:10,1394,130Metrotown Station,51382
72,1595,130metro,13676839,11:15,1394,130Metrotown Station,51382
74,185,130metro,13676791,11:23,1394,130Metrotown Station,51382
76,3982,130metro,13677012,11:31,1394,130Metrotown Station,51382
78,1654,130metro,13676841,11:40,1394,130Metrotown Station,51382
82,7400,130metro,13677199,11:54,1394,130Metrotown Station,51382
83,4012,130metro,13677013,12:00,1394,130Metrotown Station,51382
85,7429,130metro,13677200,12:10,1394,130Metrotown Station,51382
88,422,130metro,13676799,12:20,1394,130Metrotown Station,51382
89,4036,130metro,13677014,12:29,1394,130Metrotown Station,51382
92,7458,130metro,13677201,12:37,1394,130Metrotown Station,51382
95,451,130metro,13676800,12:48,1394,130Metrotown Station,51382
98,1831,130metro,13676847,12:57,1394,130Metrotown Station,51382
99,5031,130metro,13677049,13:03,1394,130Metrotown Station,51382
101,7488,130metro,13677202,13:12,1394,130Metrotown Station,51382
104,7517,130metro,13677203,13:20,1394,130Metrotown Station,51382
107,1891,130metro,13676849,13:29,1394,130Metrotown Station,51382
111,5061,130metro,13677050,13:42,1394,130Metrotown Station,51382
113,510,130metro,13676802,13:53,1394,130Metrotown Station,51382
122,5723,130metro,13677141,14:20,1394,130Metrotown Station,51382
125,1978,130metro,13676852,14:30,1394,130Metrotown Station,51382
128,5199,130metro,13677055,14:42,1394,130Metrotown Station,51382
135,4180,130metro,13677019,15:02,1394,130Metrotown Station,51382
136,598,130metro,13676805,15:09,1394,130Metrotown Station,51382
140,981,130metro,13676818,15:22,1394,130Metrotown Station,51382
143,2972,130metro,13676886,15:31,1394,130Metrotown Station,51382
145,5840,130metro,13677145,15:38,1394,130Metrotown Station,51382
149,6964,130metro,13677184,15:51,1394,130Metrotown Station,51382
153,864,130metro,13676814,15:59,1394,130Metrotown Station,51382
155,97,130metro,13676788,16:08,1394,130Metrotown Station,51382
156,4983,130metro,13677047,16:13,1394,130Metrotown Station,51382
162,3754,130metro,13677004,16:32,1394,130Metrotown Station,51382
168,2068,130metro,13676855,16:51,1394,130Metrotown Station,51382
170,1039,130metro,13676820,16:59,1394,130Metrotown Station,51382
175,4471,130metro,13677029,17:16,1394,130Metrotown Station,51382
177,3838,130metro,13677007,17:25,1394,130Metrotown Station,51382
179,5929,130metro,13677148,17:30,1394,130Metrotown Station,51382
182,657,130metro,13676807,17:40,1394,130Metrotown Station,51382
184,2680,130metro,13676876,17:48,1394,130Metrotown Station,51382
186,3868,130metro,13677008,17:54,1394,130Metrotown Station,51382
189,4441,130metro,13677028,18:07,1394,130Metrotown Station,51382
190,156,130metro,13676790,18:13,1394,130Metrotown Station,51382
194,6018,130metro,13677151,18:26,1394,130Metrotown Station,51382
195,4558,130metro,13677032,18:31,1394,130Metrotown Station,51382
197,7163,130metro,13677191,18:41,1394,130Metrotown Station,51382
199,2214,130metro,13676860,18:51,1394,130Metrotown Station,51382
202,686,130metro,13676808,19:04,1394,130Metrotown Station,51382
203,7193,130metro,13677192,19:11,1394,130Metrotown Station,51382
205,716,130metro,13676809,19:19,1394,130Metrotown Station,51382
207,6129,130metro,13677155,19:25,1394,130Metrotown Station,51382
208,5258,130metro,13677057,19:31,1394,130Metrotown Station,51382
210,5346,130metro,13677060,19:42,1394,130Metrotown Station,51382
212,4675,130metro,13677036,19:51,1394,130Metrotown Station,51382
214,6158,130metro,13677156,20:00,1394,130Metrotown Station,51382
217,6621,130metro,13677172,20:14,1394,130Metrotown Station,51382
218,5288,130metro,13677058,20:20,1394,130Metrotown Station,51382
219,6187,130metro,13677157,20:32,1394,130Metrotown Station,51382
223,3646,130metro,13677000,20:52,1394,130Metrotown Station,51382
224,6216,130metro,13677158,21:02,1394,130Metrotown Station,51382
226,4240,130metro,13677021,21:08,1394,130Metrotown Station,51382
228,5552,130metro,13677067,21:20,1394,130Metrotown Station,51382
229,6047,130metro,13677152,21:32,1394,130Metrotown Station,51382
232,5610,130metro,13677069,22:00,1394,130Metrotown Station,51382
234,2331,130metro,13676864,22:10,1394,130Metrotown Station,51382
235,4587,130metro,13677033,22:31,1394,130Metrotown Station,51382
237,2360,130metro,13676865,22:42,1394,130Metrotown Station,51382
238,6274,130metro,13677160,23:03,1394,130Metrotown Station,51382
240,2389,130metro,13676866,23:17,1394,130Metrotown Station,51382
241,6303,130metro,13677161,23:33,1394,130Metrotown Station,51382
