,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
3,10899,209burrard,13685170,19:55,4030,209 Burrard Station,53989
6,11822,209burrard,13685205,20:24,4030,209 Burrard Station,53989
9,11773,209burrard,13685204,20:54,4030,209 Burrard Station,53989
12,11724,209burrard,13685203,21:24,4030,209 Burrard Station,53989
15,11214,209burrard,13685179,21:55,4030,209 Burrard Station,53989
18,11166,209burrard,13685178,22:25,4030,209 Burrard Station,53989
21,10607,209burrard,13685155,22:55,4030,209 Burrard Station,53989
24,11070,209burrard,13685176,23:25,4030,209 Burrard Station,53989
27,11022,209burrard,13685175,23:56,4030,209 Burrard Station,53989
34,10910,209burrard,13685170,20:02,4043,209 Burrard Station,54002
37,11833,209burrard,13685205,20:32,4043,209 Burrard Station,54002
40,11323,209burrard,13685181,21:02,4043,209 Burrard Station,54002
43,11735,209burrard,13685203,21:32,4043,209 Burrard Station,54002
46,11225,209burrard,13685179,22:02,4043,209 Burrard Station,54002
49,11177,209burrard,13685178,22:32,4043,209 Burrard Station,54002
52,10618,209burrard,13685155,23:02,4043,209 Burrard Station,54002
55,11081,209burrard,13685176,23:32,4043,209 Burrard Station,54002
65,11894,209burrard,13685206,20:14,12956,209 Burrard Station,60689
68,11845,209burrard,13685205,20:44,12956,209 Burrard Station,60689
71,11335,209burrard,13685181,21:14,12956,209 Burrard Station,60689
74,11747,209burrard,13685203,21:44,12956,209 Burrard Station,60689
77,11237,209burrard,13685179,22:13,12956,209 Burrard Station,60689
80,11189,209burrard,13685178,22:43,12956,209 Burrard Station,60689
83,10630,209burrard,13685155,23:12,12956,209 Burrard Station,60689
86,11093,209burrard,13685176,23:43,12956,209 Burrard Station,60689
