,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,17923,210upperlynn,13685234,06:01,409,210 Upper Lynn Valley,50405
2,17027,210upperlynn,13685207,06:19,409,210 Upper Lynn Valley,50405
3,17719,210upperlynn,13685228,06:32,409,210 Upper Lynn Valley,50405
4,17265,210upperlynn,13685214,06:48,409,210 Upper Lynn Valley,50405
5,19248,210upperlynn,13685322,06:54,409,210 Upper Lynn Valley,50405
6,18433,210upperlynn,13685250,07:02,409,210 Upper Lynn Valley,50405
7,18025,210upperlynn,13685237,07:16,409,210 Upper Lynn Valley,50405
8,20132,210upperlynn,13685381,07:23,409,210 Upper Lynn Valley,50405
10,18059,210upperlynn,13685238,07:29,409,210 Upper Lynn Valley,50405
11,18399,210upperlynn,13685249,07:47,409,210 Upper Lynn Valley,50405
12,19894,210upperlynn,13685374,07:53,409,210 Upper Lynn Valley,50405
14,17685,210upperlynn,13685227,08:03,409,210 Upper Lynn Valley,50405
15,17061,210upperlynn,13685208,08:18,409,210 Upper Lynn Valley,50405
18,17299,210upperlynn,13685215,08:34,409,210 Upper Lynn Valley,50405
19,17787,210upperlynn,13685230,08:50,409,210 Upper Lynn Valley,50405
22,17197,210upperlynn,13685212,09:18,409,210 Upper Lynn Valley,50405
25,17367,210upperlynn,13685217,09:49,409,210 Upper Lynn Valley,50405
28,17231,210upperlynn,13685213,10:19,409,210 Upper Lynn Valley,50405
31,18263,210upperlynn,13685245,10:49,409,210 Upper Lynn Valley,50405
34,17435,210upperlynn,13685219,11:19,409,210 Upper Lynn Valley,50405
37,18161,210upperlynn,13685241,11:48,409,210 Upper Lynn Valley,50405
40,18467,210upperlynn,13685251,12:18,409,210 Upper Lynn Valley,50405
43,18365,210upperlynn,13685248,12:46,409,210 Upper Lynn Valley,50405
46,17469,210upperlynn,13685220,13:14,409,210 Upper Lynn Valley,50405
47,20200,210upperlynn,13685383,13:19,409,210 Upper Lynn Valley,50405
49,18195,210upperlynn,13685242,13:41,409,210 Upper Lynn Valley,50405
50,19452,210upperlynn,13685328,13:46,409,210 Upper Lynn Valley,50405
52,18669,210upperlynn,13685304,14:05,409,210 Upper Lynn Valley,50405
53,17651,210upperlynn,13685226,14:13,409,210 Upper Lynn Valley,50405
54,19928,210upperlynn,13685375,14:18,409,210 Upper Lynn Valley,50405
55,19214,210upperlynn,13685321,14:25,409,210 Upper Lynn Valley,50405
56,18635,210upperlynn,13685303,14:44,409,210 Upper Lynn Valley,50405
59,19486,210upperlynn,13685329,15:04,409,210 Upper Lynn Valley,50405
60,17095,210upperlynn,13685209,15:12,409,210 Upper Lynn Valley,50405
61,20529,210upperlynn,13685393,15:19,409,210 Upper Lynn Valley,50405
62,19520,210upperlynn,13685330,15:24,409,210 Upper Lynn Valley,50405
63,18229,210upperlynn,13685244,15:33,409,210 Upper Lynn Valley,50405
64,19554,210upperlynn,13685331,15:44,409,210 Upper Lynn Valley,50405
67,18093,210upperlynn,13685239,15:59,409,210 Upper Lynn Valley,50405
68,19588,210upperlynn,13685332,16:04,409,210 Upper Lynn Valley,50405
69,18501,210upperlynn,13685252,16:14,409,210 Upper Lynn Valley,50405
70,20166,210upperlynn,13685382,16:19,409,210 Upper Lynn Valley,50405
71,18703,210upperlynn,13685305,16:26,409,210 Upper Lynn Valley,50405
73,18601,210upperlynn,13685302,16:46,409,210 Upper Lynn Valley,50405
76,17401,210upperlynn,13685218,17:00,409,210 Upper Lynn Valley,50405
77,18771,210upperlynn,13685307,17:07,409,210 Upper Lynn Valley,50405
78,17503,210upperlynn,13685221,17:17,409,210 Upper Lynn Valley,50405
80,19055,210upperlynn,13685316,17:28,409,210 Upper Lynn Valley,50405
82,17991,210upperlynn,13685236,17:47,409,210 Upper Lynn Valley,50405
85,17821,210upperlynn,13685231,18:05,409,210 Upper Lynn Valley,50405
87,20393,210upperlynn,13685389,18:20,409,210 Upper Lynn Valley,50405
