,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,24005,212deepcove,13685670,06:57,4127,212 Deep Cove,54085
3,23852,212deepcove,13685663,07:26,4127,212 Deep Cove,54085
5,23655,212deepcove,13685654,07:58,4127,212 Deep Cove,54085
6,24705,212deepcove,13685762,08:27,4127,212 Deep Cove,54085
9,24727,212deepcove,13685763,08:55,4127,212 Deep Cove,54085
11,24749,212deepcove,13685764,09:24,4127,212 Deep Cove,54085
13,23524,212deepcove,13685648,09:31,4127,212 Deep Cove,54085
14,24771,212deepcove,13685765,09:54,4127,212 Deep Cove,54085
17,24793,212deepcove,13685766,10:23,4127,212 Deep Cove,54085
20,24815,212deepcove,13685767,10:57,4127,212 Deep Cove,54085
23,24837,212deepcove,13685768,11:29,4127,212 Deep Cove,54085
26,24859,212deepcove,13685769,11:59,4127,212 Deep Cove,54085
29,24881,212deepcove,13685770,12:29,4127,212 Deep Cove,54085
32,24027,212deepcove,13685671,13:00,4127,212 Deep Cove,54085
35,23436,212deepcove,13685644,13:30,4127,212 Deep Cove,54085
38,23568,212deepcove,13685650,14:00,4127,212 Deep Cove,54085
41,23896,212deepcove,13685665,14:30,4127,212 Deep Cove,54085
44,23590,212deepcove,13685651,15:00,4127,212 Deep Cove,54085
47,25013,212deepcove,13685776,15:30,4127,212 Deep Cove,54085
51,23808,212deepcove,13685661,15:55,4127,212 Deep Cove,54085
52,25035,212deepcove,13685777,16:00,4127,212 Deep Cove,54085
54,23918,212deepcove,13685666,16:28,4127,212 Deep Cove,54085
57,23633,212deepcove,13685653,16:58,4127,212 Deep Cove,54085
60,25101,212deepcove,13685780,17:29,4127,212 Deep Cove,54085
63,23764,212deepcove,13685659,17:59,4127,212 Deep Cove,54085
66,23721,212deepcove,13685657,18:29,4127,212 Deep Cove,54085
69,25167,212deepcove,13685783,19:00,4127,212 Deep Cove,54085
72,24599,212deepcove,13685730,19:59,4127,212 Deep Cove,54085
75,24621,212deepcove,13685731,20:56,4127,212 Deep Cove,54085
78,24642,212deepcove,13685732,21:56,4127,212 Deep Cove,54085
81,25253,212deepcove,13685787,22:55,4127,212 Deep Cove,54085
83,23743,212deepcove,13685658,23:04,4127,212 Deep Cove,54085
84,24684,212deepcove,13685734,23:56,4127,212 Deep Cove,54085
88,23995,212deepcove,13685670,06:48,12629,212 Deep Cove,60279
89,23842,212deepcove,13685663,07:17,12629,212 Deep Cove,60279
91,23645,212deepcove,13685654,07:49,12629,212 Deep Cove,60279
92,24127,212deepcove,13685709,08:17,12629,212 Deep Cove,60279
95,24717,212deepcove,13685763,08:47,12629,212 Deep Cove,60279
97,24739,212deepcove,13685764,09:16,12629,212 Deep Cove,60279
99,23514,212deepcove,13685648,09:22,12629,212 Deep Cove,60279
100,24761,212deepcove,13685765,09:46,12629,212 Deep Cove,60279
103,24783,212deepcove,13685766,10:14,12629,212 Deep Cove,60279
105,23470,212deepcove,13685646,10:21,12629,212 Deep Cove,60279
106,24805,212deepcove,13685767,10:48,12629,212 Deep Cove,60279
109,24827,212deepcove,13685768,11:20,12629,212 Deep Cove,60279
112,24849,212deepcove,13685769,11:50,12629,212 Deep Cove,60279
115,24871,212deepcove,13685770,12:20,12629,212 Deep Cove,60279
118,24893,212deepcove,13685771,12:50,12629,212 Deep Cove,60279
121,24915,212deepcove,13685772,13:20,12629,212 Deep Cove,60279
124,23558,212deepcove,13685650,13:51,12629,212 Deep Cove,60279
127,24959,212deepcove,13685774,14:20,12629,212 Deep Cove,60279
130,24981,212deepcove,13685775,14:50,12629,212 Deep Cove,60279
133,25003,212deepcove,13685776,15:20,12629,212 Deep Cove,60279
137,23798,212deepcove,13685661,15:46,12629,212 Deep Cove,60279
140,23908,212deepcove,13685666,16:19,12629,212 Deep Cove,60279
143,23623,212deepcove,13685653,16:49,12629,212 Deep Cove,60279
146,23776,212deepcove,13685660,17:20,12629,212 Deep Cove,60279
149,25113,212deepcove,13685781,17:50,12629,212 Deep Cove,60279
152,23711,212deepcove,13685657,18:20,12629,212 Deep Cove,60279
155,25157,212deepcove,13685783,18:51,12629,212 Deep Cove,60279
158,24589,212deepcove,13685730,19:50,12629,212 Deep Cove,60279
161,24611,212deepcove,13685731,20:48,12629,212 Deep Cove,60279
163,23974,212deepcove,13685669,20:56,12629,212 Deep Cove,60279
164,24632,212deepcove,13685732,21:48,12629,212 Deep Cove,60279
166,23383,212deepcove,13685642,21:56,12629,212 Deep Cove,60279
167,25243,212deepcove,13685787,22:47,12629,212 Deep Cove,60279
169,23733,212deepcove,13685658,22:56,12629,212 Deep Cove,60279
170,24674,212deepcove,13685734,23:48,12629,212 Deep Cove,60279
171,23602,212deepcove,13685652,23:56,12629,212 Deep Cove,60279
