,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,26963,214blueridge,13685817,17:15,409,214 Blueridge,50405
4,27117,214blueridge,13685824,06:31,4154,214 Blueridge,54111
5,27153,214blueridge,13685826,06:53,4154,214 Blueridge,54111
6,27621,214blueridge,13722140,06:59,4154,214 Blueridge,54111
7,27063,214blueridge,13685821,07:17,4154,214 Blueridge,54111
8,27171,214blueridge,13685827,07:46,4154,214 Blueridge,54111
9,28611,214blueridge,13722228,07:59,4154,214 Blueridge,54111
12,27657,214blueridge,13722142,08:29,4154,214 Blueridge,54111
13,26933,214blueridge,13685815,08:34,4154,214 Blueridge,54111
14,27675,214blueridge,13722143,08:59,4154,214 Blueridge,54111
17,27693,214blueridge,13722144,09:28,4154,214 Blueridge,54111
19,27099,214blueridge,13685823,09:34,4154,214 Blueridge,54111
20,27585,214blueridge,13685850,09:56,4154,214 Blueridge,54111
23,28251,214blueridge,13722208,10:28,4154,214 Blueridge,54111
26,27549,214blueridge,13685848,10:55,4154,214 Blueridge,54111
29,27531,214blueridge,13685847,11:23,4154,214 Blueridge,54111
30,27765,214blueridge,13722148,11:28,4154,214 Blueridge,54111
32,28359,214blueridge,13722214,11:58,4154,214 Blueridge,54111
35,28575,214blueridge,13722226,12:28,4154,214 Blueridge,54111
38,28539,214blueridge,13722224,12:54,4154,214 Blueridge,54111
41,27459,214blueridge,13685843,13:23,4154,214 Blueridge,54111
44,27855,214blueridge,13722153,13:57,4154,214 Blueridge,54111
47,28449,214blueridge,13722219,14:23,4154,214 Blueridge,54111
49,27423,214blueridge,13685841,14:32,4154,214 Blueridge,54111
50,28521,214blueridge,13722223,14:54,4154,214 Blueridge,54111
53,27909,214blueridge,13722156,15:27,4154,214 Blueridge,54111
55,27225,214blueridge,13685830,15:36,4154,214 Blueridge,54111
56,27927,214blueridge,13722157,15:57,4154,214 Blueridge,54111
58,26915,214blueridge,13685814,16:12,4154,214 Blueridge,54111
59,28647,214blueridge,13722230,16:26,4154,214 Blueridge,54111
61,27243,214blueridge,13685831,16:35,4154,214 Blueridge,54111
62,28413,214blueridge,13722217,16:54,4154,214 Blueridge,54111
64,27027,214blueridge,13685819,17:10,4154,214 Blueridge,54111
65,28665,214blueridge,13722231,17:18,4154,214 Blueridge,54111
66,27981,214blueridge,13722160,17:27,4154,214 Blueridge,54111
68,27081,214blueridge,13685822,17:44,4154,214 Blueridge,54111
69,27999,214blueridge,13722161,17:57,4154,214 Blueridge,54111
72,28017,214blueridge,13722162,18:27,4154,214 Blueridge,54111
74,27189,214blueridge,13685828,18:33,4154,214 Blueridge,54111
75,28035,214blueridge,13722163,18:57,4154,214 Blueridge,54111
78,28701,214blueridge,13722233,19:24,4154,214 Blueridge,54111
81,28053,214blueridge,13722164,19:52,4154,214 Blueridge,54111
82,28197,214blueridge,13722205,19:58,4154,214 Blueridge,54111
84,28719,214blueridge,13722234,20:22,4154,214 Blueridge,54111
85,28071,214blueridge,13722165,20:28,4154,214 Blueridge,54111
87,28485,214blueridge,13722221,20:52,4154,214 Blueridge,54111
90,28467,214blueridge,13722220,21:28,4154,214 Blueridge,54111
93,28305,214blueridge,13722211,21:59,4154,214 Blueridge,54111
96,28143,214blueridge,13722169,22:29,4154,214 Blueridge,54111
99,28161,214blueridge,13722170,22:59,4154,214 Blueridge,54111
104,27100,214blueridge,13685824,06:17,12629,214 Blueridge,60279
105,27136,214blueridge,13685826,06:39,12629,214 Blueridge,60279
106,27604,214blueridge,13722140,06:47,12629,214 Blueridge,60279
107,27046,214blueridge,13685821,07:02,12629,214 Blueridge,60279
108,27154,214blueridge,13685827,07:31,12629,214 Blueridge,60279
112,26916,214blueridge,13685815,08:16,12629,214 Blueridge,60279
114,27028,214blueridge,13685820,08:45,12629,214 Blueridge,60279
117,27676,214blueridge,13722144,09:16,12629,214 Blueridge,60279
120,27568,214blueridge,13685850,09:43,12629,214 Blueridge,60279
123,28234,214blueridge,13722208,10:16,12629,214 Blueridge,60279
126,27532,214blueridge,13685848,10:42,12629,214 Blueridge,60279
129,27514,214blueridge,13685847,11:10,12629,214 Blueridge,60279
130,27748,214blueridge,13722148,11:16,12629,214 Blueridge,60279
132,27496,214blueridge,13685846,11:45,12629,214 Blueridge,60279
135,28558,214blueridge,13722226,12:16,12629,214 Blueridge,60279
138,28522,214blueridge,13722224,12:42,12629,214 Blueridge,60279
141,27442,214blueridge,13685843,13:10,12629,214 Blueridge,60279
142,27820,214blueridge,13722152,13:15,12629,214 Blueridge,60279
144,27838,214blueridge,13722153,13:45,12629,214 Blueridge,60279
147,28432,214blueridge,13722219,14:11,12629,214 Blueridge,60279
150,28504,214blueridge,13722223,14:42,12629,214 Blueridge,60279
153,27892,214blueridge,13722156,15:15,12629,214 Blueridge,60279
156,27910,214blueridge,13722157,15:45,12629,214 Blueridge,60279
158,26898,214blueridge,13685814,15:56,12629,214 Blueridge,60279
159,28630,214blueridge,13722230,16:14,12629,214 Blueridge,60279
162,28396,214blueridge,13722217,16:42,12629,214 Blueridge,60279
165,28648,214blueridge,13722231,17:06,12629,214 Blueridge,60279
166,26945,214blueridge,13685816,17:13,12629,214 Blueridge,60279
168,27064,214blueridge,13685822,17:28,12629,214 Blueridge,60279
169,26974,214blueridge,13685817,17:43,12629,214 Blueridge,60279
172,28000,214blueridge,13722162,18:15,12629,214 Blueridge,60279
175,28018,214blueridge,13722163,18:45,12629,214 Blueridge,60279
178,28684,214blueridge,13722233,19:12,12629,214 Blueridge,60279
181,28036,214blueridge,13722164,19:40,12629,214 Blueridge,60279
182,28180,214blueridge,13722205,19:46,12629,214 Blueridge,60279
184,28702,214blueridge,13722234,20:10,12629,214 Blueridge,60279
185,27334,214blueridge,13685837,20:16,12629,214 Blueridge,60279
187,28468,214blueridge,13722221,20:40,12629,214 Blueridge,60279
190,28450,214blueridge,13722220,21:16,12629,214 Blueridge,60279
193,28288,214blueridge,13722211,21:47,12629,214 Blueridge,60279
196,27262,214blueridge,13685833,22:17,12629,214 Blueridge,60279
