,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,28846,214phibbs,13685863,06:31,4154,214 Phibbs Exchange,54111
3,29196,214phibbs,13722173,06:59,4154,214 Phibbs Exchange,54111
4,28804,214phibbs,13685859,07:05,4154,214 Phibbs Exchange,54111
5,29210,214phibbs,13722174,07:59,4154,214 Phibbs Exchange,54111
7,29224,214phibbs,13722175,08:29,4154,214 Phibbs Exchange,54111
8,29686,214phibbs,13722238,08:59,4154,214 Phibbs Exchange,54111
11,29252,214phibbs,13722177,09:28,4154,214 Phibbs Exchange,54111
13,28874,214phibbs,13685867,09:34,4154,214 Phibbs Exchange,54111
14,29154,214phibbs,13685887,09:56,4154,214 Phibbs Exchange,54111
17,29784,214phibbs,13722245,10:28,4154,214 Phibbs Exchange,54111
20,29126,214phibbs,13685885,10:55,4154,214 Phibbs Exchange,54111
23,29112,214phibbs,13685884,11:23,4154,214 Phibbs Exchange,54111
24,29308,214phibbs,13722181,11:28,4154,214 Phibbs Exchange,54111
26,29098,214phibbs,13685883,11:58,4154,214 Phibbs Exchange,54111
29,29812,214phibbs,13722247,12:28,4154,214 Phibbs Exchange,54111
32,30036,214phibbs,13722263,12:54,4154,214 Phibbs Exchange,54111
35,29056,214phibbs,13685880,13:23,4154,214 Phibbs Exchange,54111
38,29378,214phibbs,13722186,13:57,4154,214 Phibbs Exchange,54111
41,29840,214phibbs,13722249,14:23,4154,214 Phibbs Exchange,54111
43,29028,214phibbs,13685878,14:32,4154,214 Phibbs Exchange,54111
44,29700,214phibbs,13722239,14:54,4154,214 Phibbs Exchange,54111
47,29420,214phibbs,13722189,15:27,4154,214 Phibbs Exchange,54111
49,28888,214phibbs,13685868,15:36,4154,214 Phibbs Exchange,54111
50,29434,214phibbs,13722190,15:57,4154,214 Phibbs Exchange,54111
52,28818,214phibbs,13685861,16:12,4154,214 Phibbs Exchange,54111
53,29868,214phibbs,13722251,16:26,4154,214 Phibbs Exchange,54111
55,28748,214phibbs,13685854,16:35,4154,214 Phibbs Exchange,54111
56,29714,214phibbs,13722240,16:54,4154,214 Phibbs Exchange,54111
58,28734,214phibbs,13685852,17:10,4154,214 Phibbs Exchange,54111
59,29882,214phibbs,13722252,17:18,4154,214 Phibbs Exchange,54111
60,29476,214phibbs,13722193,17:27,4154,214 Phibbs Exchange,54111
62,28720,214phibbs,13685851,17:44,4154,214 Phibbs Exchange,54111
63,29490,214phibbs,13722194,17:57,4154,214 Phibbs Exchange,54111
66,29504,214phibbs,13722195,18:27,4154,214 Phibbs Exchange,54111
68,28790,214phibbs,13685858,18:33,4154,214 Phibbs Exchange,54111
69,29518,214phibbs,13722196,18:57,4154,214 Phibbs Exchange,54111
72,29728,214phibbs,13722241,19:24,4154,214 Phibbs Exchange,54111
75,29546,214phibbs,13722198,19:52,4154,214 Phibbs Exchange,54111
76,29924,214phibbs,13722255,19:58,4154,214 Phibbs Exchange,54111
78,29742,214phibbs,13722242,20:22,4154,214 Phibbs Exchange,54111
79,29560,214phibbs,13722199,20:28,4154,214 Phibbs Exchange,54111
81,30050,214phibbs,13722264,20:52,4154,214 Phibbs Exchange,54111
84,29588,214phibbs,13722201,21:28,4154,214 Phibbs Exchange,54111
87,29644,214phibbs,13722235,21:59,4154,214 Phibbs Exchange,54111
90,29616,214phibbs,13722203,22:29,4154,214 Phibbs Exchange,54111
93,29630,214phibbs,13722204,22:59,4154,214 Phibbs Exchange,54111
