,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,30323,215indianriver,13722277,07:06,4171,215 Indian River,54127
2,30923,215indianriver,13722351,07:18,4171,215 Indian River,54127
4,30363,215indianriver,13722279,07:36,4171,215 Indian River,54127
5,30943,215indianriver,13722352,07:48,4171,215 Indian River,54127
7,30403,215indianriver,13722281,08:02,4171,215 Indian River,54127
8,30963,215indianriver,13722353,08:18,4171,215 Indian River,54127
10,30443,215indianriver,13722283,08:37,4171,215 Indian River,54127
11,30983,215indianriver,13722354,08:50,4171,215 Indian River,54127
14,30163,215indianriver,13722269,09:07,4171,215 Indian River,54127
15,31983,215indianriver,13722433,09:19,4171,215 Indian River,54127
18,31963,215indianriver,13722432,09:49,4171,215 Indian River,54127
21,31943,215indianriver,13722431,10:19,4171,215 Indian River,54127
24,30543,215indianriver,13722288,10:47,4171,215 Indian River,54127
27,31903,215indianriver,13722429,11:19,4171,215 Indian River,54127
30,31103,215indianriver,13722360,11:48,4171,215 Indian River,54127
33,31123,215indianriver,13722361,12:18,4171,215 Indian River,54127
36,30623,215indianriver,13722292,12:50,4171,215 Indian River,54127
39,31823,215indianriver,13722425,13:20,4171,215 Indian River,54127
42,31803,215indianriver,13722424,13:50,4171,215 Indian River,54127
45,31783,215indianriver,13722423,14:20,4171,215 Indian River,54127
48,31763,215indianriver,13722422,14:51,4171,215 Indian River,54127
51,31243,215indianriver,13722367,15:21,4171,215 Indian River,54127
54,30123,215indianriver,13722267,15:36,4171,215 Indian River,54127
55,31723,215indianriver,13722420,15:50,4171,215 Indian River,54127
58,30783,215indianriver,13722300,16:06,4171,215 Indian River,54127
59,31283,215indianriver,13722369,16:18,4171,215 Indian River,54127
62,30803,215indianriver,13722301,16:36,4171,215 Indian River,54127
63,31683,215indianriver,13722418,16:46,4171,215 Indian River,54127
66,30863,215indianriver,13722304,17:05,4171,215 Indian River,54127
67,31323,215indianriver,13722371,17:18,4171,215 Indian River,54127
70,30823,215indianriver,13722302,17:36,4171,215 Indian River,54127
71,31343,215indianriver,13722372,17:48,4171,215 Indian River,54127
74,30703,215indianriver,13722296,18:06,4171,215 Indian River,54127
75,31363,215indianriver,13722373,18:18,4171,215 Indian River,54127
78,30903,215indianriver,13722306,18:36,4171,215 Indian River,54127
79,31383,215indianriver,13722374,18:48,4171,215 Indian River,54127
82,31403,215indianriver,13722375,19:18,4171,215 Indian River,54127
85,31423,215indianriver,13722376,19:48,4171,215 Indian River,54127
88,31443,215indianriver,13722377,21:00,4171,215 Indian River,54127
91,31523,215indianriver,13722410,21:55,4171,215 Indian River,54127
93,30243,215indianriver,13722273,22:01,4171,215 Indian River,54127
94,30303,215indianriver,13722276,23:00,4171,215 Indian River,54127
98,30304,215indianriver,13722277,06:50,12628,215 Indian River,60278
99,30324,215indianriver,13722278,07:05,12628,215 Indian River,60278
101,30344,215indianriver,13722279,07:20,12628,215 Indian River,60278
102,30924,215indianriver,13722352,07:35,12628,215 Indian River,60278
104,30384,215indianriver,13722281,07:45,12628,215 Indian River,60278
105,30404,215indianriver,13722282,08:05,12628,215 Indian River,60278
107,30424,215indianriver,13722283,08:20,12628,215 Indian River,60278
108,30444,215indianriver,13722284,08:35,12628,215 Indian River,60278
112,30984,215indianriver,13722355,09:05,12628,215 Indian River,60278
115,31004,215indianriver,13722356,09:35,12628,215 Indian River,60278
118,31924,215indianriver,13722431,10:05,12628,215 Indian River,60278
121,30524,215indianriver,13722288,10:32,12628,215 Indian River,60278
124,31064,215indianriver,13722359,11:05,12628,215 Indian River,60278
127,31084,215indianriver,13722360,11:35,12628,215 Indian River,60278
130,31104,215indianriver,13722361,12:05,12628,215 Indian River,60278
133,30604,215indianriver,13722292,12:35,12628,215 Indian River,60278
136,31804,215indianriver,13722425,13:05,12628,215 Indian River,60278
139,31784,215indianriver,13722424,13:35,12628,215 Indian River,60278
142,31184,215indianriver,13722365,14:05,12628,215 Indian River,60278
145,31744,215indianriver,13722422,14:35,12628,215 Indian River,60278
148,31224,215indianriver,13722367,15:05,12628,215 Indian River,60278
151,30104,215indianriver,13722267,15:20,12628,215 Indian River,60278
152,31704,215indianriver,13722420,15:35,12628,215 Indian River,60278
156,30244,215indianriver,13722274,16:05,12628,215 Indian River,60278
159,30784,215indianriver,13722301,16:20,12628,215 Indian River,60278
160,31664,215indianriver,13722418,16:31,12628,215 Indian River,60278
163,30844,215indianriver,13722304,16:50,12628,215 Indian River,60278
167,30804,215indianriver,13722302,17:20,12628,215 Indian River,60278
168,31624,215indianriver,13722416,17:35,12628,215 Indian River,60278
171,30684,215indianriver,13722296,17:50,12628,215 Indian River,60278
172,31344,215indianriver,13722373,18:05,12628,215 Indian River,60278
175,30884,215indianriver,13722306,18:20,12628,215 Indian River,60278
176,31584,215indianriver,13722414,18:35,12628,215 Indian River,60278
179,31564,215indianriver,13722413,19:05,12628,215 Indian River,60278
182,31544,215indianriver,13722412,19:35,12628,215 Indian River,60278
185,30204,215indianriver,13722272,20:46,12628,215 Indian River,60278
188,31504,215indianriver,13722410,21:40,12628,215 Indian River,60278
191,30284,215indianriver,13722276,22:45,12628,215 Indian River,60278
