,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,34673,227lynnvalley,13722461,06:35,10882,227 Lynn Valley,59526
3,34698,227lynnvalley,13722462,07:03,10882,227 Lynn Valley,59526
5,35373,227lynnvalley,13722516,07:33,10882,227 Lynn Valley,59526
7,35823,227lynnvalley,13722534,08:03,10882,227 Lynn Valley,59526
10,36048,227lynnvalley,13722569,08:33,10882,227 Lynn Valley,59526
13,36073,227lynnvalley,13722570,09:03,10882,227 Lynn Valley,59526
16,35998,227lynnvalley,13722567,09:33,10882,227 Lynn Valley,59526
19,36098,227lynnvalley,13722571,10:03,10882,227 Lynn Valley,59526
22,36123,227lynnvalley,13722572,10:33,10882,227 Lynn Valley,59526
25,36148,227lynnvalley,13722573,11:04,10882,227 Lynn Valley,59526
28,36173,227lynnvalley,13722574,11:34,10882,227 Lynn Valley,59526
31,36198,227lynnvalley,13722575,12:04,10882,227 Lynn Valley,59526
34,36223,227lynnvalley,13722576,12:34,10882,227 Lynn Valley,59526
37,36273,227lynnvalley,13722578,13:05,10882,227 Lynn Valley,59526
40,35173,227lynnvalley,13722481,13:35,10882,227 Lynn Valley,59526
43,35273,227lynnvalley,13722485,14:05,10882,227 Lynn Valley,59526
46,36348,227lynnvalley,13722581,14:35,10882,227 Lynn Valley,59526
49,35548,227lynnvalley,13722523,15:05,10882,227 Lynn Valley,59526
52,36398,227lynnvalley,13722583,15:35,10882,227 Lynn Valley,59526
55,36423,227lynnvalley,13722584,16:05,10882,227 Lynn Valley,59526
58,34748,227lynnvalley,13722464,16:35,10882,227 Lynn Valley,59526
61,36023,227lynnvalley,13722568,17:05,10882,227 Lynn Valley,59526
64,35423,227lynnvalley,13722518,17:35,10882,227 Lynn Valley,59526
67,35398,227lynnvalley,13722517,18:05,10882,227 Lynn Valley,59526
70,35848,227lynnvalley,13722535,18:35,10882,227 Lynn Valley,59526
73,36523,227lynnvalley,13722588,19:04,10882,227 Lynn Valley,59526
77,34649,227lynnvalley,13722461,06:15,12628,227 Lynn Valley,60278
79,34674,227lynnvalley,13722462,06:45,12628,227 Lynn Valley,60278
81,34699,227lynnvalley,13722463,07:15,12628,227 Lynn Valley,60278
83,35799,227lynnvalley,13722534,07:45,12628,227 Lynn Valley,60278
86,34899,227lynnvalley,13722471,08:15,12628,227 Lynn Valley,60278
89,34924,227lynnvalley,13722472,08:45,12628,227 Lynn Valley,60278
92,34949,227lynnvalley,13722473,09:15,12628,227 Lynn Valley,60278
95,36074,227lynnvalley,13722571,09:45,12628,227 Lynn Valley,60278
98,34999,227lynnvalley,13722475,10:15,12628,227 Lynn Valley,60278
101,35024,227lynnvalley,13722476,10:45,12628,227 Lynn Valley,60278
104,36149,227lynnvalley,13722574,11:15,12628,227 Lynn Valley,60278
107,36174,227lynnvalley,13722575,11:45,12628,227 Lynn Valley,60278
110,35099,227lynnvalley,13722479,12:15,12628,227 Lynn Valley,60278
113,36249,227lynnvalley,13722578,12:45,12628,227 Lynn Valley,60278
116,35149,227lynnvalley,13722481,13:15,12628,227 Lynn Valley,60278
119,35249,227lynnvalley,13722485,13:45,12628,227 Lynn Valley,60278
122,36324,227lynnvalley,13722581,14:15,12628,227 Lynn Valley,60278
125,35524,227lynnvalley,13722523,14:45,12628,227 Lynn Valley,60278
128,36374,227lynnvalley,13722583,15:15,12628,227 Lynn Valley,60278
131,36399,227lynnvalley,13722584,15:45,12628,227 Lynn Valley,60278
134,34724,227lynnvalley,13722464,16:15,12628,227 Lynn Valley,60278
137,34749,227lynnvalley,13722465,16:45,12628,227 Lynn Valley,60278
140,34774,227lynnvalley,13722466,17:13,12628,227 Lynn Valley,60278
143,34799,227lynnvalley,13722467,17:45,12628,227 Lynn Valley,60278
146,35299,227lynnvalley,13722487,18:15,12628,227 Lynn Valley,60278
149,35949,227lynnvalley,13722540,18:45,12628,227 Lynn Valley,60278
