,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,52694,230lonsdalequay,13687043,06:22,4301,230 Lonsdale Quay,54254
2,53631,230lonsdalequay,13687123,06:35,4301,230 Lonsdale Quay,54254
3,52660,230lonsdalequay,13687042,06:57,4301,230 Lonsdale Quay,54254
4,54220,230lonsdalequay,13687154,07:05,4301,230 Lonsdale Quay,54254
5,53305,230lonsdalequay,13687072,07:18,4301,230 Lonsdale Quay,54254
6,54239,230lonsdalequay,13687155,07:35,4301,230 Lonsdale Quay,54254
8,53252,230lonsdalequay,13687070,07:49,4301,230 Lonsdale Quay,54254
9,54714,230lonsdalequay,13687211,08:03,4301,230 Lonsdale Quay,54254
12,53555,230lonsdalequay,13687082,08:15,4301,230 Lonsdale Quay,54254
13,53373,230lonsdalequay,13687074,08:31,4301,230 Lonsdale Quay,54254
16,53426,230lonsdalequay,13687076,09:01,4301,230 Lonsdale Quay,54254
19,53483,230lonsdalequay,13687079,09:32,4301,230 Lonsdale Quay,54254
22,53218,230lonsdalequay,13687069,10:02,4301,230 Lonsdale Quay,54254
25,53066,230lonsdalequay,13687061,10:32,4301,230 Lonsdale Quay,54254
28,54657,230lonsdalequay,13687208,10:58,4301,230 Lonsdale Quay,54254
31,54733,230lonsdalequay,13687212,11:29,4301,230 Lonsdale Quay,54254
34,52971,230lonsdalequay,13687056,12:00,4301,230 Lonsdale Quay,54254
37,53009,230lonsdalequay,13687058,12:30,4301,230 Lonsdale Quay,54254
39,54809,230lonsdalequay,13687216,12:40,4301,230 Lonsdale Quay,54254
40,53464,230lonsdalequay,13687078,13:01,4301,230 Lonsdale Quay,54254
43,52880,230lonsdalequay,13687052,13:31,4301,230 Lonsdale Quay,54254
46,53028,230lonsdalequay,13687059,14:03,4301,230 Lonsdale Quay,54254
49,53199,230lonsdalequay,13687068,14:32,4301,230 Lonsdale Quay,54254
52,54106,230lonsdalequay,13687148,15:01,4301,230 Lonsdale Quay,54254
55,54144,230lonsdalequay,13687150,15:31,4301,230 Lonsdale Quay,54254
58,54182,230lonsdalequay,13687152,16:01,4301,230 Lonsdale Quay,54254
61,53104,230lonsdalequay,13687063,16:18,4301,230 Lonsdale Quay,54254
62,53745,230lonsdalequay,13687129,16:31,4301,230 Lonsdale Quay,54254
65,52823,230lonsdalequay,13687049,16:50,4301,230 Lonsdale Quay,54254
66,54543,230lonsdalequay,13687202,17:04,4301,230 Lonsdale Quay,54254
69,52804,230lonsdalequay,13687048,17:18,4301,230 Lonsdale Quay,54254
70,53574,230lonsdalequay,13687083,17:33,4301,230 Lonsdale Quay,54254
73,52785,230lonsdalequay,13687047,17:48,4301,230 Lonsdale Quay,54254
74,52766,230lonsdalequay,13687046,18:03,4301,230 Lonsdale Quay,54254
77,53271,230lonsdalequay,13687071,18:18,4301,230 Lonsdale Quay,54254
78,53764,230lonsdalequay,13687130,18:34,4301,230 Lonsdale Quay,54254
80,53123,230lonsdalequay,13687064,18:50,4301,230 Lonsdale Quay,54254
81,54505,230lonsdalequay,13687200,19:04,4301,230 Lonsdale Quay,54254
83,53047,230lonsdalequay,13687060,19:18,4301,230 Lonsdale Quay,54254
84,54353,230lonsdalequay,13687192,19:34,4301,230 Lonsdale Quay,54254
86,52861,230lonsdalequay,13687051,19:48,4301,230 Lonsdale Quay,54254
87,54486,230lonsdalequay,13687199,20:04,4301,230 Lonsdale Quay,54254
89,53521,230lonsdalequay,13687081,20:18,4301,230 Lonsdale Quay,54254
90,54277,230lonsdalequay,13687188,20:33,4301,230 Lonsdale Quay,54254
92,52842,230lonsdalequay,13687050,20:48,4301,230 Lonsdale Quay,54254
93,54467,230lonsdalequay,13687198,21:04,4301,230 Lonsdale Quay,54254
95,52899,230lonsdalequay,13687053,21:18,4301,230 Lonsdale Quay,54254
97,54258,230lonsdalequay,13687156,21:45,4301,230 Lonsdale Quay,54254
98,53954,230lonsdalequay,13687140,22:15,4301,230 Lonsdale Quay,54254
101,54011,230lonsdalequay,13687143,23:15,4301,230 Lonsdale Quay,54254
110,52682,230lonsdalequay,13687043,06:14,4319,230 Lonsdale Quay,54272
111,53619,230lonsdalequay,13687123,06:27,4319,230 Lonsdale Quay,54272
112,52648,230lonsdalequay,13687042,06:48,4319,230 Lonsdale Quay,54272
113,54208,230lonsdalequay,13687154,06:56,4319,230 Lonsdale Quay,54272
114,53293,230lonsdalequay,13687072,07:08,4319,230 Lonsdale Quay,54272
115,52716,230lonsdalequay,13687044,07:25,4319,230 Lonsdale Quay,54272
117,53240,230lonsdalequay,13687070,07:39,4319,230 Lonsdale Quay,54272
118,54702,230lonsdalequay,13687211,07:54,4319,230 Lonsdale Quay,54272
122,53361,230lonsdalequay,13687074,08:19,4319,230 Lonsdale Quay,54272
123,54303,230lonsdalequay,13687190,08:25,4319,230 Lonsdale Quay,54272
125,53414,230lonsdalequay,13687076,08:47,4319,230 Lonsdale Quay,54272
126,54075,230lonsdalequay,13687147,08:54,4319,230 Lonsdale Quay,54272
128,53471,230lonsdalequay,13687079,09:20,4319,230 Lonsdale Quay,54272
131,53206,230lonsdalequay,13687069,09:51,4319,230 Lonsdale Quay,54272
134,53054,230lonsdalequay,13687061,10:21,4319,230 Lonsdale Quay,54272
137,54645,230lonsdalequay,13687208,10:47,4319,230 Lonsdale Quay,54272
140,54721,230lonsdalequay,13687212,11:17,4319,230 Lonsdale Quay,54272
143,52959,230lonsdalequay,13687056,11:48,4319,230 Lonsdale Quay,54272
146,52997,230lonsdalequay,13687058,12:18,4319,230 Lonsdale Quay,54272
148,54797,230lonsdalequay,13687216,12:28,4319,230 Lonsdale Quay,54272
149,53452,230lonsdalequay,13687078,12:49,4319,230 Lonsdale Quay,54272
152,52868,230lonsdalequay,13687052,13:18,4319,230 Lonsdale Quay,54272
154,54759,230lonsdalequay,13687214,13:26,4319,230 Lonsdale Quay,54272
155,53016,230lonsdalequay,13687059,13:50,4319,230 Lonsdale Quay,54272
158,53187,230lonsdalequay,13687068,14:19,4319,230 Lonsdale Quay,54272
161,54094,230lonsdalequay,13687148,14:50,4319,230 Lonsdale Quay,54272
164,54132,230lonsdalequay,13687150,15:20,4319,230 Lonsdale Quay,54272
167,54170,230lonsdalequay,13687152,15:50,4319,230 Lonsdale Quay,54272
170,53092,230lonsdalequay,13687063,16:06,4319,230 Lonsdale Quay,54272
171,53733,230lonsdalequay,13687129,16:20,4319,230 Lonsdale Quay,54272
174,52811,230lonsdalequay,13687049,16:38,4319,230 Lonsdale Quay,54272
175,53490,230lonsdalequay,13687080,16:52,4319,230 Lonsdale Quay,54272
178,52792,230lonsdalequay,13687048,17:06,4319,230 Lonsdale Quay,54272
179,53562,230lonsdalequay,13687083,17:21,4319,230 Lonsdale Quay,54272
182,52773,230lonsdalequay,13687047,17:36,4319,230 Lonsdale Quay,54272
183,52754,230lonsdalequay,13687046,17:51,4319,230 Lonsdale Quay,54272
186,53259,230lonsdalequay,13687071,18:06,4319,230 Lonsdale Quay,54272
187,53752,230lonsdalequay,13687130,18:24,4319,230 Lonsdale Quay,54272
189,53111,230lonsdalequay,13687064,18:39,4319,230 Lonsdale Quay,54272
190,54493,230lonsdalequay,13687200,18:55,4319,230 Lonsdale Quay,54272
192,53035,230lonsdalequay,13687060,19:08,4319,230 Lonsdale Quay,54272
193,54341,230lonsdalequay,13687192,19:25,4319,230 Lonsdale Quay,54272
195,52849,230lonsdalequay,13687051,19:38,4319,230 Lonsdale Quay,54272
196,54474,230lonsdalequay,13687199,19:55,4319,230 Lonsdale Quay,54272
198,53509,230lonsdalequay,13687081,20:08,4319,230 Lonsdale Quay,54272
199,54265,230lonsdalequay,13687188,20:24,4319,230 Lonsdale Quay,54272
201,52830,230lonsdalequay,13687050,20:38,4319,230 Lonsdale Quay,54272
202,54455,230lonsdalequay,13687198,20:55,4319,230 Lonsdale Quay,54272
204,52887,230lonsdalequay,13687053,21:09,4319,230 Lonsdale Quay,54272
206,54246,230lonsdalequay,13687156,21:36,4319,230 Lonsdale Quay,54272
