,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,55514,230upperlonsdale,13687017,05:55,4243,230 Upper Lonsdale,54197
2,56285,230upperlonsdale,13687088,06:02,4243,230 Upper Lonsdale,54197
3,55561,230upperlonsdale,13687019,06:23,4243,230 Upper Lonsdale,54197
5,55903,230upperlonsdale,13687031,06:46,4243,230 Upper Lonsdale,54197
6,56230,230upperlonsdale,13687086,06:54,4243,230 Upper Lonsdale,54197
8,54892,230upperlonsdale,13686995,07:17,4243,230 Upper Lonsdale,54197
9,56874,230upperlonsdale,13687107,07:24,4243,230 Upper Lonsdale,54197
11,55265,230upperlonsdale,13687008,07:41,4243,230 Upper Lonsdale,54197
12,56261,230upperlonsdale,13687087,07:54,4243,230 Upper Lonsdale,54197
15,58083,230upperlonsdale,13687181,08:25,4243,230 Upper Lonsdale,54197
18,58200,230upperlonsdale,13687185,08:55,4243,230 Upper Lonsdale,54197
21,58052,230upperlonsdale,13687180,09:24,4243,230 Upper Lonsdale,54197
24,57587,230upperlonsdale,13687165,09:47,4243,230 Upper Lonsdale,54197
25,57246,230upperlonsdale,13687119,09:57,4243,230 Upper Lonsdale,54197
27,55048,230upperlonsdale,13687001,10:14,4243,230 Upper Lonsdale,54197
29,57122,230upperlonsdale,13687115,10:27,4243,230 Upper Lonsdale,54197
30,55203,230upperlonsdale,13687006,10:43,4243,230 Upper Lonsdale,54197
32,56378,230upperlonsdale,13687091,10:57,4243,230 Upper Lonsdale,54197
33,55577,230upperlonsdale,13687020,11:14,4243,230 Upper Lonsdale,54197
34,57990,230upperlonsdale,13687178,11:19,4243,230 Upper Lonsdale,54197
35,56316,230upperlonsdale,13687089,11:26,4243,230 Upper Lonsdale,54197
36,56044,230upperlonsdale,13687037,11:44,4243,230 Upper Lonsdale,54197
37,56199,230upperlonsdale,13687085,11:56,4243,230 Upper Lonsdale,54197
39,55312,230upperlonsdale,13687010,12:14,4243,230 Upper Lonsdale,54197
40,57959,230upperlonsdale,13687177,12:23,4243,230 Upper Lonsdale,54197
41,56347,230upperlonsdale,13687090,12:29,4243,230 Upper Lonsdale,54197
42,55017,230upperlonsdale,13687000,12:43,4243,230 Upper Lonsdale,54197
43,56409,230upperlonsdale,13687092,12:59,4243,230 Upper Lonsdale,54197
44,58169,230upperlonsdale,13687184,13:04,4243,230 Upper Lonsdale,54197
45,55079,230upperlonsdale,13687002,13:13,4243,230 Upper Lonsdale,54197
46,57277,230upperlonsdale,13687120,13:28,4243,230 Upper Lonsdale,54197
48,55343,230upperlonsdale,13687011,13:43,4243,230 Upper Lonsdale,54197
49,57463,230upperlonsdale,13687161,14:00,4243,230 Upper Lonsdale,54197
51,55732,230upperlonsdale,13687025,14:27,4243,230 Upper Lonsdale,54197
54,55234,230upperlonsdale,13687007,14:57,4243,230 Upper Lonsdale,54197
57,56626,230upperlonsdale,13687099,15:28,4243,230 Upper Lonsdale,54197
60,56137,230upperlonsdale,13687040,15:42,4243,230 Upper Lonsdale,54197
61,56998,230upperlonsdale,13687111,15:58,4243,230 Upper Lonsdale,54197
64,55701,230upperlonsdale,13687024,16:14,4243,230 Upper Lonsdale,54197
65,55872,230upperlonsdale,13687030,16:28,4243,230 Upper Lonsdale,54197
68,56106,230upperlonsdale,13687039,16:43,4243,230 Upper Lonsdale,54197
69,54939,230upperlonsdale,13686997,16:58,4243,230 Upper Lonsdale,54197
72,55763,230upperlonsdale,13687026,17:13,4243,230 Upper Lonsdale,54197
73,56075,230upperlonsdale,13687038,17:28,4243,230 Upper Lonsdale,54197
76,55374,230upperlonsdale,13687012,17:44,4243,230 Upper Lonsdale,54197
77,57153,230upperlonsdale,13687116,17:58,4243,230 Upper Lonsdale,54197
80,55670,230upperlonsdale,13687023,18:13,4243,230 Upper Lonsdale,54197
82,56781,230upperlonsdale,13687104,18:28,4243,230 Upper Lonsdale,54197
85,54970,230upperlonsdale,13686998,18:43,4243,230 Upper Lonsdale,54197
86,57060,230upperlonsdale,13687113,18:58,4243,230 Upper Lonsdale,54197
89,55110,230upperlonsdale,13687003,19:12,4243,230 Upper Lonsdale,54197
90,56502,230upperlonsdale,13687095,19:27,4243,230 Upper Lonsdale,54197
92,55281,230upperlonsdale,13687009,19:43,4243,230 Upper Lonsdale,54197
93,57091,230upperlonsdale,13687114,19:56,4243,230 Upper Lonsdale,54197
95,55639,230upperlonsdale,13687022,20:12,4243,230 Upper Lonsdale,54197
96,56564,230upperlonsdale,13687097,20:26,4243,230 Upper Lonsdale,54197
98,55141,230upperlonsdale,13687004,20:42,4243,230 Upper Lonsdale,54197
99,57649,230upperlonsdale,13687167,20:53,4243,230 Upper Lonsdale,54197
101,55608,230upperlonsdale,13687021,21:11,4243,230 Upper Lonsdale,54197
103,57494,230upperlonsdale,13687162,21:42,4243,230 Upper Lonsdale,54197
106,56905,230upperlonsdale,13687108,22:13,4243,230 Upper Lonsdale,54197
