,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,63112,236grouse,13687427,07:32,10867,236 Grouse Mountain,54134
4,66175,236grouse,13687617,08:34,10867,236 Grouse Mountain,54134
7,64315,236grouse,13687506,08:57,10867,236 Grouse Mountain,54134
8,63980,236grouse,13687455,09:02,10867,236 Grouse Mountain,54134
10,64966,236grouse,13687527,09:17,10867,236 Grouse Mountain,54134
13,65493,236grouse,13687545,09:32,10867,236 Grouse Mountain,54134
15,64935,236grouse,13687526,09:47,10867,236 Grouse Mountain,54134
17,63546,236grouse,13687441,09:55,10867,236 Grouse Mountain,54134
18,66392,236grouse,13687624,10:04,10867,236 Grouse Mountain,54134
20,66051,236grouse,13687613,10:19,10867,236 Grouse Mountain,54134
22,63577,236grouse,13687442,10:25,10867,236 Grouse Mountain,54134
23,66423,236grouse,13687625,10:34,10867,236 Grouse Mountain,54134
25,66020,236grouse,13687612,10:49,10867,236 Grouse Mountain,54134
27,63608,236grouse,13687443,10:55,10867,236 Grouse Mountain,54134
28,65245,236grouse,13687537,11:05,10867,236 Grouse Mountain,54134
30,64842,236grouse,13687523,11:17,10867,236 Grouse Mountain,54134
32,63639,236grouse,13687444,11:25,10867,236 Grouse Mountain,54134
33,65431,236grouse,13687543,11:32,10867,236 Grouse Mountain,54134
35,64811,236grouse,13687522,11:47,10867,236 Grouse Mountain,54134
37,63670,236grouse,13687445,11:56,10867,236 Grouse Mountain,54134
38,65214,236grouse,13687536,12:02,10867,236 Grouse Mountain,54134
40,64780,236grouse,13687521,12:17,10867,236 Grouse Mountain,54134
43,64346,236grouse,13687507,12:32,10867,236 Grouse Mountain,54134
45,64749,236grouse,13687520,12:47,10867,236 Grouse Mountain,54134
48,65369,236grouse,13687541,13:02,10867,236 Grouse Mountain,54134
50,64718,236grouse,13687519,13:17,10867,236 Grouse Mountain,54134
53,65152,236grouse,13687534,13:32,10867,236 Grouse Mountain,54134
55,64687,236grouse,13687518,13:47,10867,236 Grouse Mountain,54134
56,65679,236grouse,13687601,13:52,10867,236 Grouse Mountain,54134
58,65307,236grouse,13687539,14:02,10867,236 Grouse Mountain,54134
60,64656,236grouse,13687517,14:17,10867,236 Grouse Mountain,54134
63,65183,236grouse,13687535,14:32,10867,236 Grouse Mountain,54134
65,64625,236grouse,13687516,14:47,10867,236 Grouse Mountain,54134
68,65276,236grouse,13687538,15:04,10867,236 Grouse Mountain,54134
71,64594,236grouse,13687515,15:17,10867,236 Grouse Mountain,54134
74,64408,236grouse,13687509,15:32,10867,236 Grouse Mountain,54134
76,63887,236grouse,13687452,15:41,10867,236 Grouse Mountain,54134
77,64563,236grouse,13687514,15:47,10867,236 Grouse Mountain,54134
80,65586,236grouse,13687548,16:02,10867,236 Grouse Mountain,54134
82,63329,236grouse,13687434,16:12,10867,236 Grouse Mountain,54134
83,65028,236grouse,13687530,16:17,10867,236 Grouse Mountain,54134
86,65121,236grouse,13687533,16:32,10867,236 Grouse Mountain,54134
88,63918,236grouse,13687453,16:42,10867,236 Grouse Mountain,54134
89,64532,236grouse,13687513,16:47,10867,236 Grouse Mountain,54134
91,62988,236grouse,13687423,16:55,10867,236 Grouse Mountain,54134
92,65462,236grouse,13687544,17:02,10867,236 Grouse Mountain,54134
94,63422,236grouse,13687437,17:11,10867,236 Grouse Mountain,54134
95,64501,236grouse,13687512,17:17,10867,236 Grouse Mountain,54134
97,63019,236grouse,13687424,17:25,10867,236 Grouse Mountain,54134
98,64253,236grouse,13687504,17:32,10867,236 Grouse Mountain,54134
100,63949,236grouse,13687454,17:41,10867,236 Grouse Mountain,54134
101,64470,236grouse,13687511,17:47,10867,236 Grouse Mountain,54134
103,63050,236grouse,13687425,17:54,10867,236 Grouse Mountain,54134
104,65059,236grouse,13687531,18:02,10867,236 Grouse Mountain,54134
107,64439,236grouse,13687510,18:17,10867,236 Grouse Mountain,54134
110,64377,236grouse,13687508,18:32,10867,236 Grouse Mountain,54134
112,63236,236grouse,13687431,18:42,10867,236 Grouse Mountain,54134
113,63391,236grouse,13687436,19:02,10867,236 Grouse Mountain,54134
116,63298,236grouse,13687433,20:02,10867,236 Grouse Mountain,54134
119,63143,236grouse,13687428,21:02,10867,236 Grouse Mountain,54134
122,65617,236grouse,13687549,22:02,10867,236 Grouse Mountain,54134
125,63360,236grouse,13687435,23:02,10867,236 Grouse Mountain,54134
132,64252,236grouse,13687502,07:55,4337,236 Grouse Mountain,54290
134,64159,236grouse,13687460,08:22,4337,236 Grouse Mountain,54290
135,65585,236grouse,13687547,08:56,4337,236 Grouse Mountain,54290
138,64345,236grouse,13687506,09:19,4337,236 Grouse Mountain,54290
139,64010,236grouse,13687455,09:26,4337,236 Grouse Mountain,54290
141,64996,236grouse,13687527,09:40,4337,236 Grouse Mountain,54290
146,64965,236grouse,13687526,10:10,4337,236 Grouse Mountain,54290
149,66422,236grouse,13687624,10:28,4337,236 Grouse Mountain,54290
151,66081,236grouse,13687613,10:43,4337,236 Grouse Mountain,54290
154,66453,236grouse,13687625,10:58,4337,236 Grouse Mountain,54290
156,66050,236grouse,13687612,11:13,4337,236 Grouse Mountain,54290
159,66670,236grouse,13687632,11:29,4337,236 Grouse Mountain,54290
161,64872,236grouse,13687523,11:42,4337,236 Grouse Mountain,54290
163,63669,236grouse,13687444,11:50,4337,236 Grouse Mountain,54290
164,65461,236grouse,13687543,11:57,4337,236 Grouse Mountain,54290
166,64841,236grouse,13687522,12:12,4337,236 Grouse Mountain,54290
168,63700,236grouse,13687445,12:23,4337,236 Grouse Mountain,54290
169,65244,236grouse,13687536,12:28,4337,236 Grouse Mountain,54290
171,64810,236grouse,13687521,12:43,4337,236 Grouse Mountain,54290
174,64376,236grouse,13687507,12:58,4337,236 Grouse Mountain,54290
176,64779,236grouse,13687520,13:13,4337,236 Grouse Mountain,54290
179,65399,236grouse,13687541,13:28,4337,236 Grouse Mountain,54290
181,64748,236grouse,13687519,13:43,4337,236 Grouse Mountain,54290
184,65182,236grouse,13687534,13:58,4337,236 Grouse Mountain,54290
186,64717,236grouse,13687518,14:13,4337,236 Grouse Mountain,54290
187,65709,236grouse,13687601,14:18,4337,236 Grouse Mountain,54290
189,66701,236grouse,13687634,14:30,4337,236 Grouse Mountain,54290
191,65678,236grouse,13687600,14:45,4337,236 Grouse Mountain,54290
194,65895,236grouse,13687607,15:00,4337,236 Grouse Mountain,54290
196,67042,236grouse,13687645,15:15,4337,236 Grouse Mountain,54290
198,63886,236grouse,13687451,15:21,4337,236 Grouse Mountain,54290
199,65864,236grouse,13687606,15:30,4337,236 Grouse Mountain,54290
202,67011,236grouse,13687644,15:45,4337,236 Grouse Mountain,54290
204,64041,236grouse,13687456,15:51,4337,236 Grouse Mountain,54290
205,66577,236grouse,13687629,16:00,4337,236 Grouse Mountain,54290
207,63917,236grouse,13687452,16:09,4337,236 Grouse Mountain,54290
208,64593,236grouse,13687514,16:15,4337,236 Grouse Mountain,54290
210,64072,236grouse,13687457,16:22,4337,236 Grouse Mountain,54290
211,65616,236grouse,13687548,16:30,4337,236 Grouse Mountain,54290
213,63359,236grouse,13687434,16:40,4337,236 Grouse Mountain,54290
214,65058,236grouse,13687530,16:45,4337,236 Grouse Mountain,54290
216,64103,236grouse,13687458,16:52,4337,236 Grouse Mountain,54290
217,65151,236grouse,13687533,17:00,4337,236 Grouse Mountain,54290
219,63948,236grouse,13687453,17:09,4337,236 Grouse Mountain,54290
220,66918,236grouse,13687641,17:15,4337,236 Grouse Mountain,54290
222,63018,236grouse,13687423,17:22,4337,236 Grouse Mountain,54290
223,65492,236grouse,13687544,17:30,4337,236 Grouse Mountain,54290
225,63452,236grouse,13687437,17:39,4337,236 Grouse Mountain,54290
226,64531,236grouse,13687512,17:44,4337,236 Grouse Mountain,54290
228,63049,236grouse,13687424,17:53,4337,236 Grouse Mountain,54290
229,64283,236grouse,13687504,17:59,4337,236 Grouse Mountain,54290
231,63979,236grouse,13687454,18:08,4337,236 Grouse Mountain,54290
232,64500,236grouse,13687511,18:14,4337,236 Grouse Mountain,54290
234,63080,236grouse,13687425,18:20,4337,236 Grouse Mountain,54290
235,66298,236grouse,13687620,18:27,4337,236 Grouse Mountain,54290
238,66825,236grouse,13687638,18:44,4337,236 Grouse Mountain,54290
241,66236,236grouse,13687618,18:57,4337,236 Grouse Mountain,54290
243,63266,236grouse,13687431,19:07,4337,236 Grouse Mountain,54290
244,63421,236grouse,13687436,19:27,4337,236 Grouse Mountain,54290
247,63328,236grouse,13687433,20:26,4337,236 Grouse Mountain,54290
250,63173,236grouse,13687428,21:25,4337,236 Grouse Mountain,54290
253,65647,236grouse,13687549,22:24,4337,236 Grouse Mountain,54290
256,63390,236grouse,13687435,23:24,4337,236 Grouse Mountain,54290
263,63131,236grouse,13687427,07:49,4352,236 Grouse Mountain,54304
265,64148,236grouse,13687460,08:15,4352,236 Grouse Mountain,54304
266,65574,236grouse,13687547,08:50,4352,236 Grouse Mountain,54304
269,64334,236grouse,13687506,09:13,4352,236 Grouse Mountain,54304
272,64985,236grouse,13687527,09:33,4352,236 Grouse Mountain,54304
275,65512,236grouse,13687545,09:48,4352,236 Grouse Mountain,54304
277,64954,236grouse,13687526,10:03,4352,236 Grouse Mountain,54304
279,63565,236grouse,13687441,10:12,4352,236 Grouse Mountain,54304
280,66411,236grouse,13687624,10:21,4352,236 Grouse Mountain,54304
282,66070,236grouse,13687613,10:36,4352,236 Grouse Mountain,54304
285,66442,236grouse,13687625,10:51,4352,236 Grouse Mountain,54304
287,66039,236grouse,13687612,11:06,4352,236 Grouse Mountain,54304
290,66659,236grouse,13687632,11:22,4352,236 Grouse Mountain,54304
292,64861,236grouse,13687523,11:35,4352,236 Grouse Mountain,54304
294,63658,236grouse,13687444,11:43,4352,236 Grouse Mountain,54304
297,64830,236grouse,13687522,12:05,4352,236 Grouse Mountain,54304
299,63689,236grouse,13687445,12:15,4352,236 Grouse Mountain,54304
300,65233,236grouse,13687536,12:20,4352,236 Grouse Mountain,54304
302,64799,236grouse,13687521,12:35,4352,236 Grouse Mountain,54304
305,64365,236grouse,13687507,12:50,4352,236 Grouse Mountain,54304
307,64768,236grouse,13687520,13:05,4352,236 Grouse Mountain,54304
310,65388,236grouse,13687541,13:20,4352,236 Grouse Mountain,54304
312,64737,236grouse,13687519,13:35,4352,236 Grouse Mountain,54304
315,65171,236grouse,13687534,13:50,4352,236 Grouse Mountain,54304
317,64706,236grouse,13687518,14:05,4352,236 Grouse Mountain,54304
318,65698,236grouse,13687601,14:10,4352,236 Grouse Mountain,54304
320,65326,236grouse,13687539,14:22,4352,236 Grouse Mountain,54304
322,64675,236grouse,13687517,14:37,4352,236 Grouse Mountain,54304
325,65202,236grouse,13687535,14:52,4352,236 Grouse Mountain,54304
327,64644,236grouse,13687516,15:07,4352,236 Grouse Mountain,54304
329,63875,236grouse,13687451,15:13,4352,236 Grouse Mountain,54304
330,65853,236grouse,13687606,15:23,4352,236 Grouse Mountain,54304
333,64613,236grouse,13687515,15:37,4352,236 Grouse Mountain,54304
335,64030,236grouse,13687456,15:43,4352,236 Grouse Mountain,54304
338,63906,236grouse,13687452,16:01,4352,236 Grouse Mountain,54304
339,64582,236grouse,13687514,16:06,4352,236 Grouse Mountain,54304
341,64061,236grouse,13687457,16:14,4352,236 Grouse Mountain,54304
342,65605,236grouse,13687548,16:21,4352,236 Grouse Mountain,54304
347,64092,236grouse,13687458,16:44,4352,236 Grouse Mountain,54304
348,65140,236grouse,13687533,16:51,4352,236 Grouse Mountain,54304
354,65481,236grouse,13687544,17:21,4352,236 Grouse Mountain,54304
359,63038,236grouse,13687424,17:46,4352,236 Grouse Mountain,54304
362,63968,236grouse,13687454,18:01,4352,236 Grouse Mountain,54304
365,63069,236grouse,13687425,18:13,4352,236 Grouse Mountain,54304
366,66287,236grouse,13687620,18:19,4352,236 Grouse Mountain,54304
369,64458,236grouse,13687510,18:35,4352,236 Grouse Mountain,54304
371,63100,236grouse,13687426,18:41,4352,236 Grouse Mountain,54304
372,66225,236grouse,13687618,18:49,4352,236 Grouse Mountain,54304
374,63255,236grouse,13687431,19:00,4352,236 Grouse Mountain,54304
375,63410,236grouse,13687436,19:20,4352,236 Grouse Mountain,54304
378,63317,236grouse,13687433,20:19,4352,236 Grouse Mountain,54304
