,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,70521,240downtown,13687778,05:45,9543,240 Downtown,54440
2,71850,240downtown,13687812,06:00,9543,240 Downtown,54440
3,74468,240downtown,13687959,06:12,9543,240 Downtown,54440
6,73258,240downtown,13687849,06:26,9543,240 Downtown,54440
7,76269,240downtown,13688005,06:32,9543,240 Downtown,54440
8,72592,240downtown,13687832,06:38,9543,240 Downtown,54440
10,71457,240downtown,13687802,06:50,9543,240 Downtown,54440
12,77832,240downtown,13688108,07:02,9543,240 Downtown,54440
14,74429,240downtown,13687958,07:12,9543,240 Downtown,54440
16,70989,240downtown,13687790,07:20,9543,240 Downtown,54440
18,71028,240downtown,13687791,07:27,9543,240 Downtown,54440
21,77715,240downtown,13688105,07:42,9543,240 Downtown,54440
23,74390,240downtown,13687957,07:52,9543,240 Downtown,54440
25,73453,240downtown,13687854,08:02,9543,240 Downtown,54440
29,73063,240downtown,13687844,08:17,9543,240 Downtown,54440
33,73492,240downtown,13687855,08:35,9543,240 Downtown,54440
36,71340,240downtown,13687799,08:50,9543,240 Downtown,54440
39,73297,240downtown,13687850,09:02,9543,240 Downtown,54440
40,76894,240downtown,13688084,09:08,9543,240 Downtown,54440
42,71301,240downtown,13687798,09:19,9543,240 Downtown,54440
45,70950,240downtown,13687789,09:33,9543,240 Downtown,54440
46,76933,240downtown,13688085,09:39,9543,240 Downtown,54440
48,71145,240downtown,13687794,09:48,9543,240 Downtown,54440
49,77559,240downtown,13688101,09:54,9543,240 Downtown,54440
51,71928,240downtown,13687814,10:03,9543,240 Downtown,54440
52,76972,240downtown,13688086,10:09,9543,240 Downtown,54440
54,70833,240downtown,13687786,10:18,9543,240 Downtown,54440
55,77520,240downtown,13688100,10:24,9543,240 Downtown,54440
57,70638,240downtown,13687781,10:34,9543,240 Downtown,54440
58,78222,240downtown,13688118,10:39,9543,240 Downtown,54440
60,70794,240downtown,13687785,10:49,9543,240 Downtown,54440
61,74897,240downtown,13687970,10:54,9543,240 Downtown,54440
63,70677,240downtown,13687782,11:04,9543,240 Downtown,54440
64,75054,240downtown,13687974,11:09,9543,240 Downtown,54440
66,72046,240downtown,13687817,11:19,9543,240 Downtown,54440
67,75251,240downtown,13687979,11:26,9543,240 Downtown,54440
69,70911,240downtown,13687788,11:34,9543,240 Downtown,54440
70,76738,240downtown,13688017,11:41,9543,240 Downtown,54440
72,70560,240downtown,13687779,11:49,9543,240 Downtown,54440
73,74780,240downtown,13687967,11:57,9543,240 Downtown,54440
75,72241,240downtown,13687822,12:04,9543,240 Downtown,54440
76,76659,240downtown,13688015,12:12,9543,240 Downtown,54440
78,71574,240downtown,13687805,12:19,9543,240 Downtown,54440
79,74624,240downtown,13687963,12:27,9543,240 Downtown,54440
81,72202,240downtown,13687821,12:34,9543,240 Downtown,54440
82,75212,240downtown,13687978,12:42,9543,240 Downtown,54440
84,71262,240downtown,13687797,12:49,9543,240 Downtown,54440
85,75918,240downtown,13687996,12:56,9543,240 Downtown,54440
87,73180,240downtown,13687847,13:04,9543,240 Downtown,54440
89,78731,240downtown,13688131,13:14,9543,240 Downtown,54440
90,71772,240downtown,13687810,13:19,9543,240 Downtown,54440
92,78301,240downtown,13688120,13:29,9543,240 Downtown,54440
95,77129,240downtown,13688090,13:44,9543,240 Downtown,54440
98,76191,240downtown,13688003,13:57,9543,240 Downtown,54440
100,72475,240downtown,13687828,14:04,9543,240 Downtown,54440
102,78066,240downtown,13688114,14:14,9543,240 Downtown,54440
103,73102,240downtown,13687845,14:19,9543,240 Downtown,54440
105,78692,240downtown,13688130,14:29,9543,240 Downtown,54440
108,73765,240downtown,13687941,14:41,9543,240 Downtown,54440
111,76035,240downtown,13687999,14:51,9543,240 Downtown,54440
112,72397,240downtown,13687826,14:58,9543,240 Downtown,54440
115,71418,240downtown,13687801,15:10,9543,240 Downtown,54440
118,74741,240downtown,13687966,15:21,9543,240 Downtown,54440
120,78575,240downtown,13688127,15:29,9543,240 Downtown,54440
122,71106,240downtown,13687793,15:36,9543,240 Downtown,54440
123,73726,240downtown,13687940,15:41,9543,240 Downtown,54440
126,75957,240downtown,13687997,15:51,9543,240 Downtown,54440
132,75015,240downtown,13687973,16:11,9543,240 Downtown,54440
135,75093,240downtown,13687975,16:21,9543,240 Downtown,54440
137,77168,240downtown,13688091,16:29,9543,240 Downtown,54440
140,72358,240downtown,13687825,16:36,9543,240 Downtown,54440
141,73687,240downtown,13687939,16:41,9543,240 Downtown,54440
144,76308,240downtown,13688006,16:51,9543,240 Downtown,54440
146,79160,240downtown,13688142,16:59,9543,240 Downtown,54440
149,72280,240downtown,13687823,17:06,9543,240 Downtown,54440
150,74819,240downtown,13687968,17:11,9543,240 Downtown,54440
153,73999,240downtown,13687947,17:21,9543,240 Downtown,54440
155,70872,240downtown,13687787,17:28,9543,240 Downtown,54440
158,71967,240downtown,13687815,17:38,9543,240 Downtown,54440
163,73531,240downtown,13687856,17:57,9543,240 Downtown,54440
166,71223,240downtown,13687796,18:08,9543,240 Downtown,54440
171,76777,240downtown,13688081,18:27,9543,240 Downtown,54440
174,77793,240downtown,13688107,18:42,9543,240 Downtown,54440
177,77403,240downtown,13688097,18:56,9543,240 Downtown,54440
180,74038,240downtown,13687948,19:10,9543,240 Downtown,54440
183,74663,240downtown,13687964,19:22,9543,240 Downtown,54440
186,76113,240downtown,13688001,19:35,9543,240 Downtown,54440
187,78809,240downtown,13688133,19:41,9543,240 Downtown,54440
190,78144,240downtown,13688116,19:56,9543,240 Downtown,54440
193,77325,240downtown,13688095,20:11,9543,240 Downtown,54440
196,77286,240downtown,13688094,20:26,9543,240 Downtown,54440
199,78536,240downtown,13688126,20:41,9543,240 Downtown,54440
202,77247,240downtown,13688093,20:58,9543,240 Downtown,54440
205,73843,240downtown,13687943,21:14,9543,240 Downtown,54440
208,74234,240downtown,13687953,21:30,9543,240 Downtown,54440
209,77208,240downtown,13688092,21:38,9543,240 Downtown,54440
210,71733,240downtown,13687809,21:43,9543,240 Downtown,54440
211,74976,240downtown,13687972,21:50,9543,240 Downtown,54440
212,78458,240downtown,13688124,21:58,9543,240 Downtown,54440
213,71693,240downtown,13687808,22:03,9543,240 Downtown,54440
214,75605,240downtown,13687988,22:10,9543,240 Downtown,54440
215,77090,240downtown,13688089,22:18,9543,240 Downtown,54440
216,71653,240downtown,13687807,22:28,9543,240 Downtown,54440
218,78262,240downtown,13688119,22:41,9543,240 Downtown,54440
219,75173,240downtown,13687977,22:49,9543,240 Downtown,54440
220,72829,240downtown,13687838,22:58,9543,240 Downtown,54440
221,75565,240downtown,13687987,23:09,9543,240 Downtown,54440
222,72789,240downtown,13687837,23:27,9543,240 Downtown,54440
224,72007,240downtown,13687816,23:57,9543,240 Downtown,54440
229,70504,240downtown,13687778,05:36,4514,240 Downtown,54464
230,71833,240downtown,13687812,05:51,4514,240 Downtown,54464
231,74451,240downtown,13687959,06:05,4514,240 Downtown,54464
233,77893,240downtown,13688110,06:10,4514,240 Downtown,54464
234,73241,240downtown,13687849,06:17,4514,240 Downtown,54464
235,76252,240downtown,13688005,06:25,4514,240 Downtown,54464
237,77854,240downtown,13688109,06:34,4514,240 Downtown,54464
238,71440,240downtown,13687802,06:41,4514,240 Downtown,54464
240,72536,240downtown,13687830,06:53,4514,240 Downtown,54464
242,74412,240downtown,13687958,07:05,4514,240 Downtown,54464
244,70972,240downtown,13687790,07:11,4514,240 Downtown,54464
247,75667,240downtown,13687990,07:25,4514,240 Downtown,54464
249,77698,240downtown,13688105,07:34,4514,240 Downtown,54464
251,74373,240downtown,13687957,07:44,4514,240 Downtown,54464
253,73436,240downtown,13687854,07:52,4514,240 Downtown,54464
255,75313,240downtown,13687981,07:59,4514,240 Downtown,54464
257,73046,240downtown,13687844,08:07,4514,240 Downtown,54464
261,73475,240downtown,13687855,08:24,4514,240 Downtown,54464
262,74919,240downtown,13687971,08:29,4514,240 Downtown,54464
264,71323,240downtown,13687799,08:40,4514,240 Downtown,54464
267,73280,240downtown,13687850,08:53,4514,240 Downtown,54464
268,75823,240downtown,13687994,08:59,4514,240 Downtown,54464
270,71284,240downtown,13687798,09:09,4514,240 Downtown,54464
271,74177,240downtown,13687952,09:14,4514,240 Downtown,54464
273,70933,240downtown,13687789,09:23,4514,240 Downtown,54464
274,75352,240downtown,13687982,09:29,4514,240 Downtown,54464
276,71128,240downtown,13687794,09:38,4514,240 Downtown,54464
277,74138,240downtown,13687951,09:44,4514,240 Downtown,54464
279,71911,240downtown,13687814,09:53,4514,240 Downtown,54464
280,75469,240downtown,13687985,09:59,4514,240 Downtown,54464
282,70816,240downtown,13687786,10:08,4514,240 Downtown,54464
283,76330,240downtown,13688007,10:14,4514,240 Downtown,54464
285,70621,240downtown,13687781,10:23,4514,240 Downtown,54464
286,74099,240downtown,13687950,10:29,4514,240 Downtown,54464
288,70777,240downtown,13687785,10:38,4514,240 Downtown,54464
289,74880,240downtown,13687970,10:44,4514,240 Downtown,54464
291,70660,240downtown,13687782,10:53,4514,240 Downtown,54464
292,75037,240downtown,13687974,10:59,4514,240 Downtown,54464
294,72029,240downtown,13687817,11:08,4514,240 Downtown,54464
295,75234,240downtown,13687979,11:14,4514,240 Downtown,54464
297,70894,240downtown,13687788,11:23,4514,240 Downtown,54464
298,76721,240downtown,13688017,11:29,4514,240 Downtown,54464
300,70543,240downtown,13687779,11:38,4514,240 Downtown,54464
301,74763,240downtown,13687967,11:44,4514,240 Downtown,54464
303,72224,240downtown,13687822,11:53,4514,240 Downtown,54464
304,76642,240downtown,13688015,11:59,4514,240 Downtown,54464
306,71557,240downtown,13687805,12:08,4514,240 Downtown,54464
307,74607,240downtown,13687963,12:14,4514,240 Downtown,54464
309,72185,240downtown,13687821,12:23,4514,240 Downtown,54464
310,75195,240downtown,13687978,12:29,4514,240 Downtown,54464
312,71245,240downtown,13687797,12:38,4514,240 Downtown,54464
313,75901,240downtown,13687996,12:43,4514,240 Downtown,54464
315,73163,240downtown,13687847,12:53,4514,240 Downtown,54464
317,78714,240downtown,13688131,13:01,4514,240 Downtown,54464
318,75979,240downtown,13687998,13:07,4514,240 Downtown,54464
320,78284,240downtown,13688120,13:16,4514,240 Downtown,54464
323,73787,240downtown,13687942,13:31,4514,240 Downtown,54464
325,73397,240downtown,13687853,13:38,4514,240 Downtown,54464
326,76174,240downtown,13688003,13:43,4514,240 Downtown,54464
328,72458,240downtown,13687828,13:53,4514,240 Downtown,54464
330,78049,240downtown,13688114,14:01,4514,240 Downtown,54464
331,75862,240downtown,13687995,14:07,4514,240 Downtown,54464
333,78675,240downtown,13688130,14:16,4514,240 Downtown,54464
336,73748,240downtown,13687941,14:27,4514,240 Downtown,54464
339,76018,240downtown,13687999,14:37,4514,240 Downtown,54464
340,72380,240downtown,13687826,14:45,4514,240 Downtown,54464
343,76213,240downtown,13688004,14:57,4514,240 Downtown,54464
346,74724,240downtown,13687966,15:07,4514,240 Downtown,54464
348,78558,240downtown,13688127,15:16,4514,240 Downtown,54464
350,71089,240downtown,13687793,15:22,4514,240 Downtown,54464
351,73709,240downtown,13687940,15:27,4514,240 Downtown,54464
354,75940,240downtown,13687997,15:37,4514,240 Downtown,54464
356,78987,240downtown,13688138,15:46,4514,240 Downtown,54464
360,74998,240downtown,13687973,15:57,4514,240 Downtown,54464
363,75076,240downtown,13687975,16:07,4514,240 Downtown,54464
365,71596,240downtown,13687806,16:15,4514,240 Downtown,54464
368,72341,240downtown,13687825,16:22,4514,240 Downtown,54464
369,73670,240downtown,13687939,16:27,4514,240 Downtown,54464
372,76291,240downtown,13688006,16:37,4514,240 Downtown,54464
374,72302,240downtown,13687824,16:45,4514,240 Downtown,54464
377,72263,240downtown,13687823,16:52,4514,240 Downtown,54464
378,74802,240downtown,13687968,16:57,4514,240 Downtown,54464
381,73982,240downtown,13687947,17:07,4514,240 Downtown,54464
383,70855,240downtown,13687787,17:15,4514,240 Downtown,54464
386,71950,240downtown,13687815,17:25,4514,240 Downtown,54464
391,73514,240downtown,13687856,17:45,4514,240 Downtown,54464
394,71206,240downtown,13687796,17:56,4514,240 Downtown,54464
399,76760,240downtown,13688081,18:16,4514,240 Downtown,54464
402,77776,240downtown,13688107,18:31,4514,240 Downtown,54464
405,74529,240downtown,13687961,18:45,4514,240 Downtown,54464
408,74021,240downtown,13687948,18:58,4514,240 Downtown,54464
411,74646,240downtown,13687964,19:11,4514,240 Downtown,54464
412,77347,240downtown,13688096,19:16,4514,240 Downtown,54464
415,78792,240downtown,13688133,19:31,4514,240 Downtown,54464
418,78127,240downtown,13688116,19:46,4514,240 Downtown,54464
421,77308,240downtown,13688095,20:01,4514,240 Downtown,54464
424,77269,240downtown,13688094,20:16,4514,240 Downtown,54464
427,78519,240downtown,13688126,20:31,4514,240 Downtown,54464
430,77230,240downtown,13688093,20:49,4514,240 Downtown,54464
432,70699,240downtown,13687783,20:55,4514,240 Downtown,54464
433,73826,240downtown,13687943,21:05,4514,240 Downtown,54464
435,70465,240downtown,13687777,21:15,4514,240 Downtown,54464
436,74217,240downtown,13687953,21:21,4514,240 Downtown,54464
437,77191,240downtown,13688092,21:29,4514,240 Downtown,54464
