,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,88632,245capilano,13688173,06:00,12899,245 Capilano U,60254
2,88866,245capilano,13688199,06:15,12899,245 Capilano U,60254
4,88875,245capilano,13688200,06:30,12899,245 Capilano U,60254
5,88884,245capilano,13688201,06:45,12899,245 Capilano U,60254
7,89280,245capilano,13688246,07:00,12899,245 Capilano U,60254
8,89307,245capilano,13688249,07:07,12899,245 Capilano U,60254
9,88893,245capilano,13688202,07:14,12899,245 Capilano U,60254
12,88902,245capilano,13688203,07:28,12899,245 Capilano U,60254
13,89316,245capilano,13688251,07:35,12899,245 Capilano U,60254
14,90342,245capilano,13849104,07:42,12899,245 Capilano U,60254
19,88911,245capilano,13688205,07:56,12899,245 Capilano U,60254
30,89397,245capilano,13688260,08:33,12899,245 Capilano U,60254
31,88929,245capilano,13688207,08:38,12899,245 Capilano U,60254
32,89415,245capilano,13688262,08:43,12899,245 Capilano U,60254
36,88938,245capilano,13688208,08:53,12899,245 Capilano U,60254
37,89406,245capilano,13688261,08:58,12899,245 Capilano U,60254
38,88947,245capilano,13688209,09:05,12899,245 Capilano U,60254
39,89433,245capilano,13688264,09:12,12899,245 Capilano U,60254
40,90045,245capilano,13688488,09:17,12899,245 Capilano U,60254
43,89487,245capilano,13688270,09:29,12899,245 Capilano U,60254
44,88956,245capilano,13688210,09:37,12899,245 Capilano U,60254
45,88965,245capilano,13688211,09:46,12899,245 Capilano U,60254
48,89496,245capilano,13688271,09:54,12899,245 Capilano U,60254
49,88974,245capilano,13688212,10:03,12899,245 Capilano U,60254
50,89442,245capilano,13688265,10:11,12899,245 Capilano U,60254
51,90063,245capilano,13688490,10:17,12899,245 Capilano U,60254
54,89505,245capilano,13688272,10:28,12899,245 Capilano U,60254
55,88992,245capilano,13688214,10:37,12899,245 Capilano U,60254
56,89001,245capilano,13688215,10:45,12899,245 Capilano U,60254
59,89550,245capilano,13688277,10:54,12899,245 Capilano U,60254
60,89010,245capilano,13688216,11:03,12899,245 Capilano U,60254
61,89451,245capilano,13688266,11:11,12899,245 Capilano U,60254
62,90081,245capilano,13688492,11:17,12899,245 Capilano U,60254
65,89514,245capilano,13688273,11:28,12899,245 Capilano U,60254
66,89028,245capilano,13688218,11:37,12899,245 Capilano U,60254
67,89037,245capilano,13688219,11:45,12899,245 Capilano U,60254
70,89559,245capilano,13688278,11:54,12899,245 Capilano U,60254
71,89046,245capilano,13688220,12:03,12899,245 Capilano U,60254
72,89460,245capilano,13688267,12:11,12899,245 Capilano U,60254
73,90099,245capilano,13688494,12:17,12899,245 Capilano U,60254
76,89523,245capilano,13688274,12:28,12899,245 Capilano U,60254
77,89064,245capilano,13688222,12:37,12899,245 Capilano U,60254
78,89073,245capilano,13688223,12:45,12899,245 Capilano U,60254
81,89568,245capilano,13688279,12:54,12899,245 Capilano U,60254
82,89082,245capilano,13688224,13:03,12899,245 Capilano U,60254
83,89469,245capilano,13688268,13:11,12899,245 Capilano U,60254
84,90117,245capilano,13688496,13:17,12899,245 Capilano U,60254
87,89532,245capilano,13688275,13:28,12899,245 Capilano U,60254
88,89100,245capilano,13688226,13:37,12899,245 Capilano U,60254
89,89109,245capilano,13688227,13:45,12899,245 Capilano U,60254
92,89577,245capilano,13688280,13:54,12899,245 Capilano U,60254
93,89118,245capilano,13688228,14:03,12899,245 Capilano U,60254
94,89478,245capilano,13688269,14:11,12899,245 Capilano U,60254
95,90135,245capilano,13688498,14:17,12899,245 Capilano U,60254
98,89541,245capilano,13688276,14:28,12899,245 Capilano U,60254
99,89136,245capilano,13688230,14:37,12899,245 Capilano U,60254
100,89145,245capilano,13688231,14:45,12899,245 Capilano U,60254
103,89586,245capilano,13688281,14:54,12899,245 Capilano U,60254
104,89154,245capilano,13688232,15:03,12899,245 Capilano U,60254
105,89595,245capilano,13688282,15:11,12899,245 Capilano U,60254
106,90153,245capilano,13688500,15:17,12899,245 Capilano U,60254
109,89604,245capilano,13688283,15:28,12899,245 Capilano U,60254
110,89172,245capilano,13688234,15:37,12899,245 Capilano U,60254
111,89181,245capilano,13688235,15:45,12899,245 Capilano U,60254
114,89613,245capilano,13688284,15:54,12899,245 Capilano U,60254
115,89190,245capilano,13688236,16:03,12899,245 Capilano U,60254
116,89199,245capilano,13688237,16:12,12899,245 Capilano U,60254
117,90171,245capilano,13688502,16:17,12899,245 Capilano U,60254
120,89208,245capilano,13688238,16:27,12899,245 Capilano U,60254
121,89217,245capilano,13688239,16:35,12899,245 Capilano U,60254
122,89631,245capilano,13688286,16:42,12899,245 Capilano U,60254
123,90180,245capilano,13688503,16:47,12899,245 Capilano U,60254
126,89640,245capilano,13688287,16:57,12899,245 Capilano U,60254
127,89235,245capilano,13688241,17:05,12899,245 Capilano U,60254
