,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,96685,246highland,13688655,06:02,4355,246 Highland,54307
2,95559,246highland,13688570,06:16,4355,246 Highland,54307
3,97632,246highland,13688686,06:32,4355,246 Highland,54307
5,96568,246highland,13688603,06:40,4355,246 Highland,54307
6,97081,246highland,13688668,07:02,4355,246 Highland,54307
7,95535,246highland,13688569,07:08,4355,246 Highland,54307
8,95208,246highland,13688558,07:23,4355,246 Highland,54307
9,96840,246highland,13688660,07:29,4355,246 Highland,54307
10,95239,246highland,13688559,07:43,4355,246 Highland,54307
11,95270,246highland,13688560,07:54,4355,246 Highland,54307
12,97205,246highland,13688672,07:59,4355,246 Highland,54307
13,95301,246highland,13688561,08:08,4355,246 Highland,54307
14,97911,246highland,13688729,08:23,4355,246 Highland,54307
17,95394,246highland,13688564,08:42,4355,246 Highland,54307
18,96048,246highland,13688586,08:55,4355,246 Highland,54307
20,95769,246highland,13688577,09:13,4355,246 Highland,54307
21,97880,246highland,13688728,09:25,4355,246 Highland,54307
24,95425,246highland,13688565,09:58,4355,246 Highland,54307
26,98221,246highland,13688739,10:27,4355,246 Highland,54307
29,96389,246highland,13688597,10:56,4355,246 Highland,54307
32,95738,246highland,13688576,11:27,4355,246 Highland,54307
35,97515,246highland,13688682,11:56,4355,246 Highland,54307
38,97057,246highland,13688667,12:26,4355,246 Highland,54307
41,96809,246highland,13688659,12:56,4355,246 Highland,54307
44,97298,246highland,13688675,13:26,4355,246 Highland,54307
47,97577,246highland,13688684,13:56,4355,246 Highland,54307
50,95831,246highland,13688579,14:26,4355,246 Highland,54307
53,96544,246highland,13688602,14:53,4355,246 Highland,54307
56,96079,246highland,13688587,15:16,4355,246 Highland,54307
57,96902,246highland,13688662,15:25,4355,246 Highland,54307
59,95184,246highland,13688557,15:42,4355,246 Highland,54307
60,97608,246highland,13688685,15:55,4355,246 Highland,54307
63,95332,246highland,13688562,16:12,4355,246 Highland,54307
64,97422,246highland,13688679,16:25,4355,246 Highland,54307
67,96203,246highland,13688591,16:43,4355,246 Highland,54307
68,96933,246highland,13688663,16:55,4355,246 Highland,54307
72,96110,246highland,13688588,17:07,4355,246 Highland,54307
73,96327,246highland,13688595,17:15,4355,246 Highland,54307
74,97112,246highland,13688669,17:26,4355,246 Highland,54307
77,96141,246highland,13688589,17:39,4355,246 Highland,54307
78,95862,246highland,13688580,17:45,4355,246 Highland,54307
79,97143,246highland,13688670,17:56,4355,246 Highland,54307
82,95924,246highland,13688582,18:15,4355,246 Highland,54307
83,97174,246highland,13688671,18:26,4355,246 Highland,54307
86,96172,246highland,13688590,18:47,4355,246 Highland,54307
87,97694,246highland,13688722,18:57,4355,246 Highland,54307
90,97942,246highland,13688730,19:27,4355,246 Highland,54307
93,97818,246highland,13688726,20:27,4355,246 Highland,54307
96,97849,246highland,13688727,21:27,4355,246 Highland,54307
99,98066,246highland,13688734,22:27,4355,246 Highland,54307
102,97973,246highland,13688731,23:27,4355,246 Highland,54307
109,95224,246highland,13688559,07:16,4494,246 Highland,54444
110,95255,246highland,13688560,07:27,4494,246 Highland,54444
111,97190,246highland,13688672,07:38,4494,246 Highland,54444
113,95441,246highland,13688566,07:58,4494,246 Highland,54444
116,95379,246highland,13688564,08:13,4494,246 Highland,54444
117,96033,246highland,13688586,08:26,4494,246 Highland,54444
118,96701,246highland,13688656,08:38,4494,246 Highland,54444
119,95754,246highland,13688577,08:46,4494,246 Highland,54444
120,96436,246highland,13688599,09:01,4494,246 Highland,54444
122,96980,246highland,13688665,09:08,4494,246 Highland,54444
123,95410,246highland,13688565,09:32,4494,246 Highland,54444
125,97221,246highland,13688673,10:02,4494,246 Highland,54444
128,96374,246highland,13688597,10:30,4494,246 Highland,54444
131,95723,246highland,13688576,11:01,4494,246 Highland,54444
134,97500,246highland,13688682,11:31,4494,246 Highland,54444
137,97042,246highland,13688667,12:01,4494,246 Highland,54444
140,96794,246highland,13688659,12:31,4494,246 Highland,54444
143,97283,246highland,13688675,13:01,4494,246 Highland,54444
146,96281,246highland,13688594,13:29,4494,246 Highland,54444
149,95816,246highland,13688579,13:58,4494,246 Highland,54444
155,96064,246highland,13688587,14:50,4494,246 Highland,54444
156,96887,246highland,13688662,14:59,4494,246 Highland,54444
159,97593,246highland,13688685,15:29,4494,246 Highland,54444
162,95317,246highland,13688562,15:46,4494,246 Highland,54444
163,97407,246highland,13688679,15:59,4494,246 Highland,54444
166,96188,246highland,13688591,16:17,4494,246 Highland,54444
167,96918,246highland,13688663,16:29,4494,246 Highland,54444
171,96095,246highland,13688588,16:41,4494,246 Highland,54444
172,96312,246highland,13688595,16:49,4494,246 Highland,54444
173,97097,246highland,13688669,17:01,4494,246 Highland,54444
176,96126,246highland,13688589,17:13,4494,246 Highland,54444
177,95847,246highland,13688580,17:19,4494,246 Highland,54444
178,97128,246highland,13688670,17:31,4494,246 Highland,54444
181,95909,246highland,13688582,17:49,4494,246 Highland,54444
182,97159,246highland,13688671,18:02,4494,246 Highland,54444
185,96157,246highland,13688590,18:21,4494,246 Highland,54444
186,96949,246highland,13688664,18:35,4494,246 Highland,54444
189,97927,246highland,13688730,19:04,4494,246 Highland,54444
192,97803,246highland,13688726,20:06,4494,246 Highland,54444
195,97834,246highland,13688727,21:06,4494,246 Highland,54444
198,98051,246highland,13688734,22:06,4494,246 Highland,54444
201,97958,246highland,13688731,23:06,4494,246 Highland,54444
208,96700,246highland,13688655,06:09,4551,246 Highland,54499
209,95574,246highland,13688570,06:23,4551,246 Highland,54499
210,97647,246highland,13688686,06:39,4551,246 Highland,54499
212,96583,246highland,13688603,06:47,4551,246 Highland,54499
213,97096,246highland,13688668,07:09,4551,246 Highland,54499
214,95550,246highland,13688569,07:17,4551,246 Highland,54499
215,95223,246highland,13688558,07:32,4551,246 Highland,54499
217,95254,246highland,13688559,07:51,4551,246 Highland,54499
218,95285,246highland,13688560,08:02,4551,246 Highland,54499
220,95316,246highland,13688561,08:16,4551,246 Highland,54499
221,95471,246highland,13688566,08:33,4551,246 Highland,54499
224,95409,246highland,13688564,08:50,4551,246 Highland,54499
