,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,99944,249delbrook,13688828,05:57,989,249 Delbrook,50980
3,99918,249delbrook,13688827,06:19,989,249 Delbrook,50980
4,100958,249delbrook,13688915,06:32,989,249 Delbrook,50980
6,99866,249delbrook,13688825,06:47,989,249 Delbrook,50980
7,99840,249delbrook,13688824,07:02,989,249 Delbrook,50980
10,99814,249delbrook,13688823,07:11,989,249 Delbrook,50980
11,99788,249delbrook,13688822,07:21,989,249 Delbrook,50980
12,100906,249delbrook,13688913,07:32,989,249 Delbrook,50980
14,99736,249delbrook,13688820,07:51,989,249 Delbrook,50980
15,100880,249delbrook,13688912,08:02,989,249 Delbrook,50980
18,99684,249delbrook,13688818,08:21,989,249 Delbrook,50980
19,100854,249delbrook,13688911,08:32,989,249 Delbrook,50980
20,99658,249delbrook,13688817,08:52,989,249 Delbrook,50980
21,100828,249delbrook,13688910,09:02,989,249 Delbrook,50980
23,99632,249delbrook,13688816,09:23,989,249 Delbrook,50980
24,100802,249delbrook,13688909,09:32,989,249 Delbrook,50980
26,99606,249delbrook,13688815,09:52,989,249 Delbrook,50980
27,100776,249delbrook,13688908,10:02,989,249 Delbrook,50980
30,100750,249delbrook,13688907,10:32,989,249 Delbrook,50980
32,99554,249delbrook,13688813,10:41,989,249 Delbrook,50980
33,101556,249delbrook,13688971,11:02,989,249 Delbrook,50980
35,99528,249delbrook,13688812,11:11,989,249 Delbrook,50980
36,101530,249delbrook,13688970,11:32,989,249 Delbrook,50980
38,99502,249delbrook,13688811,11:37,989,249 Delbrook,50980
39,100672,249delbrook,13688904,12:02,989,249 Delbrook,50980
41,99476,249delbrook,13688810,12:07,989,249 Delbrook,50980
42,100646,249delbrook,13688903,12:32,989,249 Delbrook,50980
45,100620,249delbrook,13688902,13:02,989,249 Delbrook,50980
48,101426,249delbrook,13688966,13:32,989,249 Delbrook,50980
51,101400,249delbrook,13688965,14:02,989,249 Delbrook,50980
54,99346,249delbrook,13688805,14:32,989,249 Delbrook,50980
57,100048,249delbrook,13688832,14:48,989,249 Delbrook,50980
58,100516,249delbrook,13688898,15:02,989,249 Delbrook,50980
61,100490,249delbrook,13688897,15:32,989,249 Delbrook,50980
65,99294,249delbrook,13688803,15:51,989,249 Delbrook,50980
66,100464,249delbrook,13688896,16:02,989,249 Delbrook,50980
70,99268,249delbrook,13688802,16:21,989,249 Delbrook,50980
71,100438,249delbrook,13688895,16:32,989,249 Delbrook,50980
74,99216,249delbrook,13688800,16:51,989,249 Delbrook,50980
75,100412,249delbrook,13688894,17:02,989,249 Delbrook,50980
78,99164,249delbrook,13688798,17:21,989,249 Delbrook,50980
79,100386,249delbrook,13688893,17:32,989,249 Delbrook,50980
82,99112,249delbrook,13688796,17:52,989,249 Delbrook,50980
83,100360,249delbrook,13688892,18:02,989,249 Delbrook,50980
86,99060,249delbrook,13688794,18:19,989,249 Delbrook,50980
87,100334,249delbrook,13688891,18:32,989,249 Delbrook,50980
90,100308,249delbrook,13688890,19:02,989,249 Delbrook,50980
93,100282,249delbrook,13688889,20:02,989,249 Delbrook,50980
96,100256,249delbrook,13688888,21:03,989,249 Delbrook,50980
99,100230,249delbrook,13688887,22:03,989,249 Delbrook,50980
102,100204,249delbrook,13688886,23:03,989,249 Delbrook,50980
113,99959,249delbrook,13688828,06:09,4569,249 Delbrook,54517
115,99933,249delbrook,13688827,06:31,4569,249 Delbrook,54517
116,100973,249delbrook,13688915,06:43,4569,249 Delbrook,54517
118,99881,249delbrook,13688825,07:00,4569,249 Delbrook,54517
119,100947,249delbrook,13688914,07:13,4569,249 Delbrook,54517
