,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,115694,250vancouver,13924510,06:11,4461,250 Vancouver,54411
5,115646,250vancouver,13924508,06:22,4461,250 Vancouver,54411
6,118150,250vancouver,13924561,06:29,4461,250 Vancouver,54411
7,116174,250vancouver,13924518,06:37,4461,250 Vancouver,54411
11,115022,250vancouver,13924488,06:49,4461,250 Vancouver,54411
12,114998,250vancouver,13924487,06:56,4461,250 Vancouver,54411
13,108322,250vancouver,13860982,07:06,4461,250 Vancouver,54411
16,114974,250vancouver,13924486,07:17,4461,250 Vancouver,54411
17,118342,250vancouver,13924569,07:29,4461,250 Vancouver,54411
18,113150,250vancouver,13861345,07:34,4461,250 Vancouver,54411
21,118366,250vancouver,13924570,07:43,4461,250 Vancouver,54411
22,118246,250vancouver,13924565,07:48,4461,250 Vancouver,54411
24,114950,250vancouver,13924485,08:01,4461,250 Vancouver,54411
28,117074,250vancouver,13924542,08:17,4461,250 Vancouver,54411
30,118697,250vancouver,13924589,08:25,4461,250 Vancouver,54411
32,114002,250vancouver,13861361,08:34,4461,250 Vancouver,54411
41,110618,250vancouver,13861029,08:53,4461,250 Vancouver,54411
43,107842,250vancouver,13860965,08:59,4461,250 Vancouver,54411
49,111890,250vancouver,13861321,09:21,4461,250 Vancouver,54411
51,108502,250vancouver,13860988,09:29,4461,250 Vancouver,54411
52,114878,250vancouver,13924482,09:34,4461,250 Vancouver,54411
59,107818,250vancouver,13860964,09:56,4461,250 Vancouver,54411
62,114146,250vancouver,13861364,10:05,4461,250 Vancouver,54411
66,114854,250vancouver,13924481,10:15,4461,250 Vancouver,54411
67,111530,250vancouver,13861058,10:20,4461,250 Vancouver,54411
68,115310,250vancouver,13924500,10:30,4461,250 Vancouver,54411
76,108166,250vancouver,13860977,10:56,4461,250 Vancouver,54411
79,109962,250vancouver,13861014,11:06,4461,250 Vancouver,54411
86,111674,250vancouver,13861312,11:27,4461,250 Vancouver,54411
95,111698,250vancouver,13861313,11:57,4461,250 Vancouver,54411
104,111722,250vancouver,13861314,12:27,4461,250 Vancouver,54411
112,114734,250vancouver,13924476,12:48,4461,250 Vancouver,54411
113,111746,250vancouver,13861315,12:58,4461,250 Vancouver,54411
121,114758,250vancouver,13924477,13:18,4461,250 Vancouver,54411
122,111770,250vancouver,13861316,13:28,4461,250 Vancouver,54411
124,115166,250vancouver,13924494,13:33,4461,250 Vancouver,54411
130,116570,250vancouver,13924533,13:48,4461,250 Vancouver,54411
131,111302,250vancouver,13861050,13:54,4461,250 Vancouver,54411
133,115142,250vancouver,13924493,14:03,4461,250 Vancouver,54411
139,116546,250vancouver,13924532,14:18,4461,250 Vancouver,54411
141,111818,250vancouver,13861318,14:27,4461,250 Vancouver,54411
142,115118,250vancouver,13924492,14:33,4461,250 Vancouver,54411
150,111842,250vancouver,13861319,14:57,4461,250 Vancouver,54411
152,116306,250vancouver,13924522,15:03,4461,250 Vancouver,54411
161,111866,250vancouver,13861320,15:27,4461,250 Vancouver,54411
162,116498,250vancouver,13924530,15:33,4461,250 Vancouver,54411
172,116282,250vancouver,13924521,15:52,4461,250 Vancouver,54411
176,113030,250vancouver,13861343,16:07,4461,250 Vancouver,54411
181,110498,250vancouver,13861027,16:20,4461,250 Vancouver,54411
184,113714,250vancouver,13861355,16:27,4461,250 Vancouver,54411
194,114662,250vancouver,13861381,16:57,4461,250 Vancouver,54411
197,113798,250vancouver,13861357,17:07,4461,250 Vancouver,54411
203,110438,250vancouver,13861026,17:19,4461,250 Vancouver,54411
204,118390,250vancouver,13924571,17:24,4461,250 Vancouver,54411
208,108654,250vancouver,13860991,17:37,4461,250 Vancouver,54411
214,111578,250vancouver,13861308,17:56,4461,250 Vancouver,54411
217,108918,250vancouver,13860996,18:06,4461,250 Vancouver,54411
223,110558,250vancouver,13861028,18:18,4461,250 Vancouver,54411
225,114086,250vancouver,13861363,18:26,4461,250 Vancouver,54411
228,108834,250vancouver,13860994,18:36,4461,250 Vancouver,54411
233,116426,250vancouver,13924527,18:50,4461,250 Vancouver,54411
234,111914,250vancouver,13861322,18:56,4461,250 Vancouver,54411
236,112574,250vancouver,13861333,19:08,4461,250 Vancouver,54411
240,118414,250vancouver,13924572,19:24,4461,250 Vancouver,54411
243,112214,250vancouver,13861327,19:36,4461,250 Vancouver,54411
248,111026,250vancouver,13861040,20:01,4461,250 Vancouver,54411
249,112718,250vancouver,13861336,20:06,4461,250 Vancouver,54411
252,115622,250vancouver,13924507,20:19,4461,250 Vancouver,54411
254,113942,250vancouver,13861360,20:36,4461,250 Vancouver,54411
258,115598,250vancouver,13924506,20:49,4461,250 Vancouver,54411
259,113690,250vancouver,13861354,21:06,4461,250 Vancouver,54411
263,114614,250vancouver,13861379,21:21,4461,250 Vancouver,54411
265,115454,250vancouver,13924503,21:35,4461,250 Vancouver,54411
268,111098,250vancouver,13861043,21:55,4461,250 Vancouver,54411
269,115394,250vancouver,13924502,22:05,4461,250 Vancouver,54411
272,111074,250vancouver,13861042,22:25,4461,250 Vancouver,54411
