,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,119066,251parkroyal,13723222,07:08,4652,251 Park Royal,54600
2,119105,251parkroyal,13723223,07:43,4652,251 Park Royal,54600
3,119144,251parkroyal,13723224,08:08,4652,251 Park Royal,54600
4,119183,251parkroyal,13723225,08:43,4652,251 Park Royal,54600
5,120236,251parkroyal,13723277,08:58,4652,251 Park Royal,54600
6,119222,251parkroyal,13723226,09:08,4652,251 Park Royal,54600
7,119261,251parkroyal,13723227,09:43,4652,251 Park Royal,54600
8,120275,251parkroyal,13723278,09:58,4652,251 Park Royal,54600
9,119300,251parkroyal,13723228,10:08,4652,251 Park Royal,54600
10,120860,251parkroyal,13723310,10:58,4652,251 Park Royal,54600
12,119339,251parkroyal,13723229,11:08,4652,251 Park Royal,54600
13,120899,251parkroyal,13723311,11:58,4652,251 Park Royal,54600
15,119378,251parkroyal,13723230,12:08,4652,251 Park Royal,54600
16,120431,251parkroyal,13723299,12:58,4652,251 Park Royal,54600
18,119417,251parkroyal,13723231,13:08,4652,251 Park Royal,54600
19,120470,251parkroyal,13723300,13:58,4652,251 Park Royal,54600
21,119456,251parkroyal,13723232,14:08,4652,251 Park Royal,54600
22,120509,251parkroyal,13723301,14:58,4652,251 Park Royal,54600
24,119495,251parkroyal,13723233,15:08,4652,251 Park Royal,54600
25,118949,251parkroyal,13723219,15:38,4652,251 Park Royal,54600
26,120548,251parkroyal,13723302,15:58,4652,251 Park Royal,54600
28,119534,251parkroyal,13723234,16:08,4652,251 Park Royal,54600
29,119573,251parkroyal,13723235,16:38,4652,251 Park Royal,54600
30,120587,251parkroyal,13723303,16:58,4652,251 Park Royal,54600
32,119612,251parkroyal,13723236,17:08,4652,251 Park Royal,54600
33,119651,251parkroyal,13723237,17:38,4652,251 Park Royal,54600
34,120626,251parkroyal,13723304,17:58,4652,251 Park Royal,54600
36,119690,251parkroyal,13723238,18:08,4652,251 Park Royal,54600
37,119729,251parkroyal,13723239,18:38,4652,251 Park Royal,54600
38,120041,251parkroyal,13723272,18:58,4652,251 Park Royal,54600
40,118988,251parkroyal,13723220,19:08,4652,251 Park Royal,54600
41,120080,251parkroyal,13723273,19:57,4652,251 Park Royal,54600
43,118793,251parkroyal,13723215,20:07,4652,251 Park Royal,54600
44,120119,251parkroyal,13723274,20:57,4652,251 Park Royal,54600
46,118832,251parkroyal,13723216,21:07,4652,251 Park Royal,54600
47,120158,251parkroyal,13723275,21:56,4652,251 Park Royal,54600
49,118871,251parkroyal,13723217,22:06,4652,251 Park Royal,54600
50,120197,251parkroyal,13723276,22:56,4652,251 Park Royal,54600
52,118910,251parkroyal,13723218,23:06,4652,251 Park Royal,54600
53,120392,251parkroyal,13723298,23:56,4652,251 Park Royal,54600
56,119032,251parkroyal,13723222,06:50,4674,251 Park Royal,54622
57,119071,251parkroyal,13723223,07:25,4674,251 Park Royal,54622
58,119110,251parkroyal,13723224,07:50,4674,251 Park Royal,54622
59,119149,251parkroyal,13723225,08:25,4674,251 Park Royal,54622
60,120202,251parkroyal,13723277,08:40,4674,251 Park Royal,54622
61,119188,251parkroyal,13723226,08:50,4674,251 Park Royal,54622
62,119227,251parkroyal,13723227,09:25,4674,251 Park Royal,54622
63,120241,251parkroyal,13723278,09:40,4674,251 Park Royal,54622
64,119266,251parkroyal,13723228,09:50,4674,251 Park Royal,54622
65,120826,251parkroyal,13723310,10:40,4674,251 Park Royal,54622
67,119305,251parkroyal,13723229,10:50,4674,251 Park Royal,54622
68,120865,251parkroyal,13723311,11:40,4674,251 Park Royal,54622
70,119344,251parkroyal,13723230,11:50,4674,251 Park Royal,54622
71,120397,251parkroyal,13723299,12:40,4674,251 Park Royal,54622
73,119383,251parkroyal,13723231,12:50,4674,251 Park Royal,54622
74,120436,251parkroyal,13723300,13:40,4674,251 Park Royal,54622
76,119422,251parkroyal,13723232,13:50,4674,251 Park Royal,54622
77,120475,251parkroyal,13723301,14:40,4674,251 Park Royal,54622
79,119461,251parkroyal,13723233,14:50,4674,251 Park Royal,54622
80,118915,251parkroyal,13723219,15:20,4674,251 Park Royal,54622
81,120514,251parkroyal,13723302,15:40,4674,251 Park Royal,54622
83,119500,251parkroyal,13723234,15:50,4674,251 Park Royal,54622
84,119539,251parkroyal,13723235,16:20,4674,251 Park Royal,54622
85,120553,251parkroyal,13723303,16:40,4674,251 Park Royal,54622
87,119578,251parkroyal,13723236,16:50,4674,251 Park Royal,54622
88,119617,251parkroyal,13723237,17:20,4674,251 Park Royal,54622
89,120592,251parkroyal,13723304,17:40,4674,251 Park Royal,54622
91,119656,251parkroyal,13723238,17:50,4674,251 Park Royal,54622
92,119695,251parkroyal,13723239,18:20,4674,251 Park Royal,54622
93,120007,251parkroyal,13723272,18:40,4674,251 Park Royal,54622
95,118954,251parkroyal,13723220,18:50,4674,251 Park Royal,54622
96,120046,251parkroyal,13723273,19:40,4674,251 Park Royal,54622
98,118759,251parkroyal,13723215,19:50,4674,251 Park Royal,54622
99,120085,251parkroyal,13723274,20:40,4674,251 Park Royal,54622
101,118798,251parkroyal,13723216,20:50,4674,251 Park Royal,54622
102,120124,251parkroyal,13723275,21:40,4674,251 Park Royal,54622
104,118837,251parkroyal,13723217,21:50,4674,251 Park Royal,54622
105,120163,251parkroyal,13723276,22:40,4674,251 Park Royal,54622
107,118876,251parkroyal,13723218,22:50,4674,251 Park Royal,54622
108,120358,251parkroyal,13723298,23:40,4674,251 Park Royal,54622
