,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,121033,251queens,13723243,06:45,4491,251 Queens,54441
2,121076,251queens,13723244,07:15,4491,251 Queens,54441
3,121979,251queens,13723281,07:40,4491,251 Queens,54441
4,121119,251queens,13723245,07:45,4491,251 Queens,54441
5,121162,251queens,13723246,08:15,4491,251 Queens,54441
6,122022,251queens,13723282,08:40,4491,251 Queens,54441
7,121205,251queens,13723247,08:45,4491,251 Queens,54441
8,121248,251queens,13723248,09:15,4491,251 Queens,54441
9,122065,251queens,13723283,09:40,4491,251 Queens,54441
11,121291,251queens,13723249,10:05,4491,251 Queens,54441
12,122108,251queens,13723284,10:40,4491,251 Queens,54441
14,121334,251queens,13723250,11:05,4491,251 Queens,54441
15,123011,251queens,13723319,11:40,4491,251 Queens,54441
17,121377,251queens,13723251,12:05,4491,251 Queens,54441
18,123054,251queens,13723320,12:40,4491,251 Queens,54441
20,121420,251queens,13723252,13:05,4491,251 Queens,54441
21,123097,251queens,13723321,13:40,4491,251 Queens,54441
23,121463,251queens,13723253,13:55,4491,251 Queens,54441
24,123140,251queens,13723322,14:40,4491,251 Queens,54441
26,121506,251queens,13723254,14:45,4491,251 Queens,54441
27,121549,251queens,13723255,15:15,4491,251 Queens,54441
28,123183,251queens,13723323,15:40,4491,251 Queens,54441
30,121592,251queens,13723256,15:45,4491,251 Queens,54441
31,121635,251queens,13723257,16:15,4491,251 Queens,54441
32,122366,251queens,13723290,16:40,4491,251 Queens,54441
34,121678,251queens,13723258,16:45,4491,251 Queens,54441
35,121721,251queens,13723259,17:15,4491,251 Queens,54441
36,123269,251queens,13723325,17:40,4491,251 Queens,54441
38,121764,251queens,13723260,17:45,4491,251 Queens,54441
39,120947,251queens,13723241,18:15,4491,251 Queens,54441
40,122882,251queens,13723316,18:40,4491,251 Queens,54441
42,121807,251queens,13723261,19:00,4491,251 Queens,54441
43,122495,251queens,13723293,19:40,4491,251 Queens,54441
45,121850,251queens,13723262,20:00,4491,251 Queens,54441
46,122538,251queens,13723294,20:40,4491,251 Queens,54441
48,121893,251queens,13723263,21:00,4491,251 Queens,54441
49,122796,251queens,13723314,21:40,4491,251 Queens,54441
51,121936,251queens,13723264,22:00,4491,251 Queens,54441
52,122839,251queens,13723315,22:40,4491,251 Queens,54441
54,120904,251queens,13723240,23:00,4491,251 Queens,54441
55,122667,251queens,13723297,23:40,4491,251 Queens,54441
57,121074,251queens,13723243,07:03,4644,251 Queens,54592
58,121117,251queens,13723244,07:35,4644,251 Queens,54592
59,122020,251queens,13723281,08:01,4644,251 Queens,54592
61,121203,251queens,13723246,08:35,4644,251 Queens,54592
62,122063,251queens,13723282,09:01,4644,251 Queens,54592
64,121289,251queens,13723248,09:35,4644,251 Queens,54592
65,122966,251queens,13723317,10:00,4644,251 Queens,54592
67,121332,251queens,13723249,10:25,4644,251 Queens,54592
68,123009,251queens,13723318,11:00,4644,251 Queens,54592
70,121375,251queens,13723250,11:25,4644,251 Queens,54592
71,123052,251queens,13723319,12:00,4644,251 Queens,54592
73,121418,251queens,13723251,12:25,4644,251 Queens,54592
74,123095,251queens,13723320,13:00,4644,251 Queens,54592
76,121461,251queens,13723252,13:25,4644,251 Queens,54592
77,123138,251queens,13723321,14:00,4644,251 Queens,54592
79,121504,251queens,13723253,14:15,4644,251 Queens,54592
80,123181,251queens,13723322,15:00,4644,251 Queens,54592
83,121590,251queens,13723255,15:35,4644,251 Queens,54592
84,123224,251queens,13723323,16:00,4644,251 Queens,54592
87,121676,251queens,13723257,16:35,4644,251 Queens,54592
88,123267,251queens,13723324,17:00,4644,251 Queens,54592
91,121762,251queens,13723259,17:35,4644,251 Queens,54592
92,123310,251queens,13723325,18:00,4644,251 Queens,54592
95,120988,251queens,13723241,18:35,4644,251 Queens,54592
96,122923,251queens,13723316,19:00,4644,251 Queens,54592
98,121848,251queens,13723261,19:21,4644,251 Queens,54592
99,122536,251queens,13723293,20:00,4644,251 Queens,54592
101,121891,251queens,13723262,20:21,4644,251 Queens,54592
102,122579,251queens,13723294,21:00,4644,251 Queens,54592
104,121934,251queens,13723263,21:21,4644,251 Queens,54592
105,122837,251queens,13723314,21:59,4644,251 Queens,54592
107,121977,251queens,13723264,22:18,4644,251 Queens,54592
108,122880,251queens,13723315,22:59,4644,251 Queens,54592
110,120945,251queens,13723240,23:16,4644,251 Queens,54592
111,122708,251queens,13723297,23:59,4644,251 Queens,54592
113,121056,251queens,13723243,06:57,8127,251 Queens,54666
114,121099,251queens,13723244,07:29,8127,251 Queens,54666
115,122002,251queens,13723281,07:54,8127,251 Queens,54666
116,121142,251queens,13723245,07:59,8127,251 Queens,54666
117,121185,251queens,13723246,08:29,8127,251 Queens,54666
118,122045,251queens,13723282,08:54,8127,251 Queens,54666
119,121228,251queens,13723247,08:59,8127,251 Queens,54666
120,121271,251queens,13723248,09:29,8127,251 Queens,54666
121,122088,251queens,13723283,09:54,8127,251 Queens,54666
123,121314,251queens,13723249,10:19,8127,251 Queens,54666
124,122131,251queens,13723284,10:54,8127,251 Queens,54666
126,121357,251queens,13723250,11:19,8127,251 Queens,54666
127,123034,251queens,13723319,11:54,8127,251 Queens,54666
129,121400,251queens,13723251,12:19,8127,251 Queens,54666
130,123077,251queens,13723320,12:54,8127,251 Queens,54666
132,121443,251queens,13723252,13:19,8127,251 Queens,54666
133,123120,251queens,13723321,13:54,8127,251 Queens,54666
135,121486,251queens,13723253,14:09,8127,251 Queens,54666
136,123163,251queens,13723322,14:54,8127,251 Queens,54666
138,121529,251queens,13723254,14:59,8127,251 Queens,54666
139,121572,251queens,13723255,15:29,8127,251 Queens,54666
140,123206,251queens,13723323,15:54,8127,251 Queens,54666
142,121615,251queens,13723256,15:59,8127,251 Queens,54666
143,121658,251queens,13723257,16:29,8127,251 Queens,54666
