,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,123432,252inglewood,13723354,06:30,4491,252 Inglewood,54441
2,123462,252inglewood,13723355,07:05,4491,252 Inglewood,54441
3,123492,252inglewood,13723356,07:30,4491,252 Inglewood,54441
4,123312,252inglewood,13723350,08:05,4491,252 Inglewood,54441
5,124092,252inglewood,13723392,08:10,4491,252 Inglewood,54441
6,123522,252inglewood,13723357,08:30,4491,252 Inglewood,54441
7,123552,252inglewood,13723358,09:05,4491,252 Inglewood,54441
8,124122,252inglewood,13723393,09:10,4491,252 Inglewood,54441
9,123582,252inglewood,13723359,09:30,4491,252 Inglewood,54441
10,124662,252inglewood,13723425,10:10,4491,252 Inglewood,54441
12,123612,252inglewood,13723360,10:30,4491,252 Inglewood,54441
13,124692,252inglewood,13723426,11:10,4491,252 Inglewood,54441
15,123642,252inglewood,13723361,11:30,4491,252 Inglewood,54441
16,124722,252inglewood,13723427,12:10,4491,252 Inglewood,54441
18,123672,252inglewood,13723362,12:30,4491,252 Inglewood,54441
19,124752,252inglewood,13723428,13:10,4491,252 Inglewood,54441
21,123342,252inglewood,13723351,13:30,4491,252 Inglewood,54441
22,124782,252inglewood,13723429,14:10,4491,252 Inglewood,54441
24,123702,252inglewood,13723363,14:30,4491,252 Inglewood,54441
25,123732,252inglewood,13723364,15:00,4491,252 Inglewood,54441
26,124812,252inglewood,13723430,15:10,4491,252 Inglewood,54441
28,123372,252inglewood,13723352,15:30,4491,252 Inglewood,54441
29,123762,252inglewood,13723365,16:00,4491,252 Inglewood,54441
30,124842,252inglewood,13723431,16:10,4491,252 Inglewood,54441
32,123792,252inglewood,13723366,16:30,4491,252 Inglewood,54441
33,123822,252inglewood,13723367,17:00,4491,252 Inglewood,54441
34,124872,252inglewood,13723432,17:10,4491,252 Inglewood,54441
36,123852,252inglewood,13723368,17:30,4491,252 Inglewood,54441
37,123882,252inglewood,13723369,18:00,4491,252 Inglewood,54441
38,124392,252inglewood,13723402,18:10,4491,252 Inglewood,54441
40,123912,252inglewood,13723370,18:30,4491,252 Inglewood,54441
41,124422,252inglewood,13723403,19:10,4491,252 Inglewood,54441
43,123942,252inglewood,13723371,19:30,4491,252 Inglewood,54441
44,124452,252inglewood,13723404,20:10,4491,252 Inglewood,54441
46,123972,252inglewood,13723372,20:30,4491,252 Inglewood,54441
47,124482,252inglewood,13723405,21:10,4491,252 Inglewood,54441
49,124002,252inglewood,13723373,21:30,4491,252 Inglewood,54441
50,124602,252inglewood,13723423,22:10,4491,252 Inglewood,54441
52,124032,252inglewood,13723374,22:30,4491,252 Inglewood,54441
53,124542,252inglewood,13723407,23:10,4491,252 Inglewood,54441
55,124062,252inglewood,13723375,23:30,4491,252 Inglewood,54441
57,123461,252inglewood,13723354,06:48,4644,252 Inglewood,54592
58,123491,252inglewood,13723355,07:23,4644,252 Inglewood,54592
59,123521,252inglewood,13723356,07:48,4644,252 Inglewood,54592
60,123341,252inglewood,13723350,08:24,4644,252 Inglewood,54592
62,123551,252inglewood,13723357,08:49,4644,252 Inglewood,54592
63,123581,252inglewood,13723358,09:24,4644,252 Inglewood,54592
65,123611,252inglewood,13723359,09:48,4644,252 Inglewood,54592
66,124691,252inglewood,13723425,10:27,4644,252 Inglewood,54592
68,123641,252inglewood,13723360,10:48,4644,252 Inglewood,54592
69,124721,252inglewood,13723426,11:27,4644,252 Inglewood,54592
71,123671,252inglewood,13723361,11:49,4644,252 Inglewood,54592
72,124751,252inglewood,13723427,12:27,4644,252 Inglewood,54592
74,123701,252inglewood,13723362,12:49,4644,252 Inglewood,54592
75,124781,252inglewood,13723428,13:27,4644,252 Inglewood,54592
77,123371,252inglewood,13723351,13:49,4644,252 Inglewood,54592
78,124301,252inglewood,13723398,14:27,4644,252 Inglewood,54592
80,123731,252inglewood,13723363,14:49,4644,252 Inglewood,54592
81,123761,252inglewood,13723364,15:19,4644,252 Inglewood,54592
82,124331,252inglewood,13723399,15:27,4644,252 Inglewood,54592
84,123401,252inglewood,13723352,15:48,4644,252 Inglewood,54592
85,123791,252inglewood,13723365,16:18,4644,252 Inglewood,54592
86,124361,252inglewood,13723400,16:27,4644,252 Inglewood,54592
88,123821,252inglewood,13723366,16:48,4644,252 Inglewood,54592
89,123851,252inglewood,13723367,17:18,4644,252 Inglewood,54592
90,124391,252inglewood,13723401,17:27,4644,252 Inglewood,54592
92,123881,252inglewood,13723368,17:48,4644,252 Inglewood,54592
93,123911,252inglewood,13723369,18:18,4644,252 Inglewood,54592
94,124421,252inglewood,13723402,18:27,4644,252 Inglewood,54592
96,123941,252inglewood,13723370,18:48,4644,252 Inglewood,54592
97,124451,252inglewood,13723403,19:27,4644,252 Inglewood,54592
99,123971,252inglewood,13723371,19:46,4644,252 Inglewood,54592
100,124481,252inglewood,13723404,20:27,4644,252 Inglewood,54592
