,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,128226,254britishprop,13861199,08:42,4797,254 British Properties,54745
3,128856,254britishprop,13861502,09:41,4797,254 British Properties,54745
6,128688,254britishprop,13861498,10:41,4797,254 British Properties,54745
9,129024,254britishprop,13861506,11:41,4797,254 British Properties,54745
12,128898,254britishprop,13861503,12:41,4797,254 British Properties,54745
15,128940,254britishprop,13861504,13:41,4797,254 British Properties,54745
18,128730,254britishprop,13861499,14:41,4797,254 British Properties,54745
21,129685,254britishprop,13924773,15:13,4797,254 British Properties,54745
22,128982,254britishprop,13861505,15:41,4797,254 British Properties,54745
24,130070,254britishprop,13924911,15:53,4797,254 British Properties,54745
26,129643,254britishprop,13924772,16:33,4797,254 British Properties,54745
27,128772,254britishprop,13861500,16:41,4797,254 British Properties,54745
29,129820,254britishprop,13924776,16:59,4797,254 British Properties,54745
30,129997,254britishprop,13924780,17:29,4797,254 British Properties,54745
31,129150,254britishprop,13861509,17:41,4797,254 British Properties,54745
34,129192,254britishprop,13861510,18:41,4797,254 British Properties,54745
37,128478,254britishprop,13861205,19:41,4797,254 British Properties,54745
40,128814,254britishprop,13861501,20:41,4797,254 British Properties,54745
42,129506,254britishprop,13924768,21:39,4797,254 British Properties,54745
45,129234,254britishprop,13861511,22:41,4797,254 British Properties,54745
46,129411,254britishprop,13924765,23:09,4797,254 British Properties,54745
49,128249,254britishprop,13861199,08:55,4817,254 British Properties,54765
51,128879,254britishprop,13861502,09:54,4817,254 British Properties,54765
54,128711,254britishprop,13861498,10:54,4817,254 British Properties,54765
57,129047,254britishprop,13861506,11:54,4817,254 British Properties,54765
60,128921,254britishprop,13861503,12:54,4817,254 British Properties,54765
63,128963,254britishprop,13861504,13:54,4817,254 British Properties,54765
66,128753,254britishprop,13861499,14:54,4817,254 British Properties,54765
69,129708,254britishprop,13924773,15:26,4817,254 British Properties,54765
70,129005,254britishprop,13861505,15:54,4817,254 British Properties,54765
72,130093,254britishprop,13924911,16:06,4817,254 British Properties,54765
74,129666,254britishprop,13924772,16:46,4817,254 British Properties,54765
75,128795,254britishprop,13861500,16:54,4817,254 British Properties,54765
77,129843,254britishprop,13924776,17:12,4817,254 British Properties,54765
78,130020,254britishprop,13924780,17:42,4817,254 British Properties,54765
79,129173,254britishprop,13861509,17:54,4817,254 British Properties,54765
82,129215,254britishprop,13861510,18:54,4817,254 British Properties,54765
85,128501,254britishprop,13861205,19:54,4817,254 British Properties,54765
88,128837,254britishprop,13861501,20:54,4817,254 British Properties,54765
90,129529,254britishprop,13924768,21:52,4817,254 British Properties,54765
93,129257,254britishprop,13861511,22:54,4817,254 British Properties,54765
94,129434,254britishprop,13924765,23:22,4817,254 British Properties,54765
97,129342,254britishprop,13924764,08:10,12823,254 British Properties,60577
98,129793,254britishprop,13924776,16:25,12823,254 British Properties,60577
99,129970,254britishprop,13924780,16:55,12823,254 British Properties,60577
101,129487,254britishprop,13924767,07:33,8497,254 British Properties,60955
102,130051,254britishprop,13924783,07:45,8497,254 British Properties,60955
103,130040,254britishprop,13924781,08:05,8497,254 British Properties,60955
105,129477,254britishprop,13924767,07:23,11867,254 British Properties,61782
107,130041,254britishprop,13924783,07:35,11867,254 British Properties,61782
108,130030,254britishprop,13924781,07:55,11867,254 British Properties,61782
109,128208,254britishprop,13861199,08:27,11867,254 British Properties,61782
111,128166,254britishprop,13861198,09:27,11867,254 British Properties,61782
114,129886,254britishprop,13924778,10:27,11867,254 British Properties,61782
117,128082,254britishprop,13861196,11:27,11867,254 British Properties,61782
120,129435,254britishprop,13924766,12:27,11867,254 British Properties,61782
123,128922,254britishprop,13861504,13:27,11867,254 British Properties,61782
126,129709,254britishprop,13924774,14:27,11867,254 British Properties,61782
129,129667,254britishprop,13924773,14:57,11867,254 British Properties,61782
130,128964,254britishprop,13861505,15:27,11867,254 British Properties,61782
132,129928,254britishprop,13924779,15:37,11867,254 British Properties,61782
134,129625,254britishprop,13924772,16:17,11867,254 British Properties,61782
135,128544,254britishprop,13861207,16:27,11867,254 British Properties,61782
137,129802,254britishprop,13924776,16:43,11867,254 British Properties,61782
138,129979,254britishprop,13924780,17:13,11867,254 British Properties,61782
139,129132,254britishprop,13861509,17:27,11867,254 British Properties,61782
142,128376,254britishprop,13861203,18:27,11867,254 British Properties,61782
145,128460,254britishprop,13861205,19:27,11867,254 British Properties,61782
148,128628,254britishprop,13861209,20:27,11867,254 British Properties,61782
150,129488,254britishprop,13924768,21:27,11867,254 British Properties,61782
153,129216,254britishprop,13861511,22:27,11867,254 British Properties,61782
154,128418,254britishprop,13861204,22:57,11867,254 British Properties,61782
