,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,137506,255dundarave,13861295,05:51,11367,255 Dundarave - To 2525th & Marine,54382
3,140770,255dundarave,13924883,06:07,11367,255 Dundarave - To 2525th & Marine,54382
4,137614,255dundarave,13861305,06:21,11367,255 Dundarave - To 2525th & Marine,54382
5,139258,255dundarave,13861601,06:31,11367,255 Dundarave - To 2525th & Marine,54382
6,141403,255dundarave,13924901,06:37,11367,255 Dundarave - To 2525th & Marine,54382
7,139111,255dundarave,13861589,06:51,11367,255 Dundarave - To 2525th & Marine,54382
9,140662,255dundarave,13924881,07:07,11367,255 Dundarave - To 2525th & Marine,54382
10,138787,255dundarave,13861583,07:21,11367,255 Dundarave - To 2525th & Marine,54382
13,138841,255dundarave,13861584,07:51,11367,255 Dundarave - To 2525th & Marine,54382
16,140971,255dundarave,13924892,08:14,11367,255 Dundarave - To 2525th & Marine,54382
17,138895,255dundarave,13861585,08:21,11367,255 Dundarave - To 2525th & Marine,54382
19,139744,255dundarave,13924864,08:34,11367,255 Dundarave - To 2525th & Marine,54382
20,138949,255dundarave,13861586,08:51,11367,255 Dundarave - To 2525th & Marine,54382
23,141025,255dundarave,13924893,09:14,11367,255 Dundarave - To 2525th & Marine,54382
24,139003,255dundarave,13861587,09:22,11367,255 Dundarave - To 2525th & Marine,54382
26,139690,255dundarave,13924863,09:34,11367,255 Dundarave - To 2525th & Marine,54382
27,141079,255dundarave,13924894,09:54,11367,255 Dundarave - To 2525th & Marine,54382
30,141457,255dundarave,13924903,10:14,11367,255 Dundarave - To 2525th & Marine,54382
31,138139,255dundarave,13861571,10:24,11367,255 Dundarave - To 2525th & Marine,54382
33,140176,255dundarave,13924872,10:34,11367,255 Dundarave - To 2525th & Marine,54382
34,141565,255dundarave,13924905,10:54,11367,255 Dundarave - To 2525th & Marine,54382
36,136318,255dundarave,13861271,10:59,11367,255 Dundarave - To 2525th & Marine,54382
37,139582,255dundarave,13924861,11:14,11367,255 Dundarave - To 2525th & Marine,54382
38,137761,255dundarave,13861564,11:25,11367,255 Dundarave - To 2525th & Marine,54382
40,139528,255dundarave,13924860,11:34,11367,255 Dundarave - To 2525th & Marine,54382
41,141619,255dundarave,13924906,11:54,11367,255 Dundarave - To 2525th & Marine,54382
44,139474,255dundarave,13924859,12:14,11367,255 Dundarave - To 2525th & Marine,54382
45,137923,255dundarave,13861567,12:25,11367,255 Dundarave - To 2525th & Marine,54382
47,139312,255dundarave,13924856,12:34,11367,255 Dundarave - To 2525th & Marine,54382
48,139366,255dundarave,13924857,12:54,11367,255 Dundarave - To 2525th & Marine,54382
51,141511,255dundarave,13924904,13:14,11367,255 Dundarave - To 2525th & Marine,54382
52,138031,255dundarave,13861569,13:26,11367,255 Dundarave - To 2525th & Marine,54382
54,139798,255dundarave,13924865,13:34,11367,255 Dundarave - To 2525th & Marine,54382
55,140554,255dundarave,13924879,13:54,11367,255 Dundarave - To 2525th & Marine,54382
58,141241,255dundarave,13924897,14:14,11367,255 Dundarave - To 2525th & Marine,54382
59,138193,255dundarave,13861572,14:26,11367,255 Dundarave - To 2525th & Marine,54382
61,140500,255dundarave,13924878,14:34,11367,255 Dundarave - To 2525th & Marine,54382
62,140230,255dundarave,13924873,14:54,11367,255 Dundarave - To 2525th & Marine,54382
65,141295,255dundarave,13924898,15:14,11367,255 Dundarave - To 2525th & Marine,54382
66,138301,255dundarave,13861574,15:26,11367,255 Dundarave - To 2525th & Marine,54382
68,139636,255dundarave,13924862,15:35,11367,255 Dundarave - To 2525th & Marine,54382
69,138355,255dundarave,13861575,15:54,11367,255 Dundarave - To 2525th & Marine,54382
72,141187,255dundarave,13924896,16:15,11367,255 Dundarave - To 2525th & Marine,54382
73,138409,255dundarave,13861576,16:24,11367,255 Dundarave - To 2525th & Marine,54382
75,140446,255dundarave,13924877,16:35,11367,255 Dundarave - To 2525th & Marine,54382
76,138571,255dundarave,13861579,16:54,11367,255 Dundarave - To 2525th & Marine,54382
79,141349,255dundarave,13924899,17:15,11367,255 Dundarave - To 2525th & Marine,54382
80,138679,255dundarave,13861581,17:24,11367,255 Dundarave - To 2525th & Marine,54382
82,140392,255dundarave,13924876,17:35,11367,255 Dundarave - To 2525th & Marine,54382
83,138625,255dundarave,13861580,17:54,11367,255 Dundarave - To 2525th & Marine,54382
86,141133,255dundarave,13924895,18:15,11367,255 Dundarave - To 2525th & Marine,54382
87,138517,255dundarave,13861578,18:22,11367,255 Dundarave - To 2525th & Marine,54382
89,139906,255dundarave,13924867,18:33,11367,255 Dundarave - To 2525th & Marine,54382
