,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,142292,256whitby,13723907,07:21,4491,256 21Whitby Estates,54441
3,142817,256whitby,13723948,08:21,4491,256 21Whitby Estates,54441
5,142943,256whitby,13723969,09:21,4491,256 21Whitby Estates,54441
8,142964,256whitby,13723970,10:21,4491,256 21Whitby Estates,54441
11,142880,256whitby,13723951,11:21,4491,256 21Whitby Estates,54441
14,142901,256whitby,13723952,12:21,4491,256 21Whitby Estates,54441
17,142439,256whitby,13723914,13:21,4491,256 21Whitby Estates,54441
20,142418,256whitby,13723913,14:21,4491,256 21Whitby Estates,54441
23,143069,256whitby,13723975,15:21,4491,256 21Whitby Estates,54441
26,142670,256whitby,13723941,16:21,4491,256 21Whitby Estates,54441
29,142691,256whitby,13723942,17:21,4491,256 21Whitby Estates,54441
32,142754,256whitby,13723945,18:21,4491,256 21Whitby Estates,54441
35,143174,256whitby,13723980,19:21,4491,256 21Whitby Estates,54441
38,142712,256whitby,13723943,20:21,4491,256 21Whitby Estates,54441
41,142607,256whitby,13723922,21:21,4491,256 21Whitby Estates,54441
44,142298,256whitby,13723907,07:26,4665,256 21Whitby Estates,54613
46,142823,256whitby,13723948,08:26,4665,256 21Whitby Estates,54613
48,142949,256whitby,13723969,09:26,4665,256 21Whitby Estates,54613
51,142970,256whitby,13723970,10:26,4665,256 21Whitby Estates,54613
54,142886,256whitby,13723951,11:26,4665,256 21Whitby Estates,54613
57,142907,256whitby,13723952,12:26,4665,256 21Whitby Estates,54613
60,142445,256whitby,13723914,13:26,4665,256 21Whitby Estates,54613
63,142424,256whitby,13723913,14:26,4665,256 21Whitby Estates,54613
66,143075,256whitby,13723975,15:26,4665,256 21Whitby Estates,54613
69,142676,256whitby,13723941,16:26,4665,256 21Whitby Estates,54613
72,142697,256whitby,13723942,17:26,4665,256 21Whitby Estates,54613
75,142760,256whitby,13723945,18:26,4665,256 21Whitby Estates,54613
78,143180,256whitby,13723980,19:26,4665,256 21Whitby Estates,54613
81,142718,256whitby,13723943,20:26,4665,256 21Whitby Estates,54613
84,142613,256whitby,13723922,21:26,4665,256 21Whitby Estates,54613
87,142308,256whitby,13723907,07:40,10811,256 21Whitby Estates,60995
89,142833,256whitby,13723948,08:40,10811,256 21Whitby Estates,60995
91,142959,256whitby,13723969,09:40,10811,256 21Whitby Estates,60995
94,142980,256whitby,13723970,10:40,10811,256 21Whitby Estates,60995
97,142896,256whitby,13723951,11:40,10811,256 21Whitby Estates,60995
100,142917,256whitby,13723952,12:40,10811,256 21Whitby Estates,60995
103,142455,256whitby,13723914,13:40,10811,256 21Whitby Estates,60995
106,142434,256whitby,13723913,14:40,10811,256 21Whitby Estates,60995
109,143085,256whitby,13723975,15:40,10811,256 21Whitby Estates,60995
112,142686,256whitby,13723941,16:40,10811,256 21Whitby Estates,60995
115,142707,256whitby,13723942,17:40,10811,256 21Whitby Estates,60995
118,142770,256whitby,13723945,18:40,10811,256 21Whitby Estates,60995
121,143190,256whitby,13723980,19:40,10811,256 21Whitby Estates,60995
124,142728,256whitby,13723943,20:40,10811,256 21Whitby Estates,60995
127,142623,256whitby,13723922,21:40,10811,256 21Whitby Estates,60995
130,142291,256whitby,13723907,07:13,11118,256 21Whitby Estates,61260
132,142816,256whitby,13723948,08:13,11118,256 21Whitby Estates,61260
134,142942,256whitby,13723969,09:13,11118,256 21Whitby Estates,61260
137,142963,256whitby,13723970,10:13,11118,256 21Whitby Estates,61260
140,142879,256whitby,13723951,11:13,11118,256 21Whitby Estates,61260
143,142900,256whitby,13723952,12:13,11118,256 21Whitby Estates,61260
146,142921,256whitby,13723953,13:13,11118,256 21Whitby Estates,61260
149,142627,256whitby,13723939,14:13,11118,256 21Whitby Estates,61260
152,143068,256whitby,13723975,15:13,11118,256 21Whitby Estates,61260
155,142669,256whitby,13723941,16:13,11118,256 21Whitby Estates,61260
158,142690,256whitby,13723942,17:13,11118,256 21Whitby Estates,61260
161,143152,256whitby,13723979,18:13,11118,256 21Whitby Estates,61260
164,143173,256whitby,13723980,19:13,11118,256 21Whitby Estates,61260
167,142711,256whitby,13723943,20:13,11118,256 21Whitby Estates,61260
170,142606,256whitby,13723922,21:13,11118,256 21Whitby Estates,61260
173,142288,256whitby,13723907,07:05,11867,256 21Whitby Estates,61782
175,142813,256whitby,13723948,08:05,11867,256 21Whitby Estates,61782
177,142939,256whitby,13723969,09:05,11867,256 21Whitby Estates,61782
180,142960,256whitby,13723970,10:05,11867,256 21Whitby Estates,61782
183,142876,256whitby,13723951,11:05,11867,256 21Whitby Estates,61782
186,142897,256whitby,13723952,12:05,11867,256 21Whitby Estates,61782
189,142435,256whitby,13723914,13:05,11867,256 21Whitby Estates,61782
192,142414,256whitby,13723913,14:05,11867,256 21Whitby Estates,61782
195,143065,256whitby,13723975,15:05,11867,256 21Whitby Estates,61782
198,142666,256whitby,13723941,16:05,11867,256 21Whitby Estates,61782
201,142687,256whitby,13723942,17:05,11867,256 21Whitby Estates,61782
204,142750,256whitby,13723945,18:05,11867,256 21Whitby Estates,61782
207,143170,256whitby,13723980,19:05,11867,256 21Whitby Estates,61782
210,142708,256whitby,13723943,20:05,11867,256 21Whitby Estates,61782
213,142603,256whitby,13723922,21:05,11867,256 21Whitby Estates,61782
