,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,144075,257horseshoebayexp,13690660,05:26,4491,257 Horseshoe Bay  Express,54441
3,143203,257horseshoebayexp,13690437,05:35,4491,257 Horseshoe Bay  Express,54441
4,143619,257horseshoebayexp,13690547,05:46,4491,257 Horseshoe Bay  Express,54441
5,143211,257horseshoebayexp,13690438,06:05,4491,257 Horseshoe Bay  Express,54441
6,143627,257horseshoebayexp,13690548,06:16,4491,257 Horseshoe Bay  Express,54441
8,143219,257horseshoebayexp,13690439,06:31,4491,257 Horseshoe Bay  Express,54441
9,143635,257horseshoebayexp,13690549,06:46,4491,257 Horseshoe Bay  Express,54441
10,144091,257horseshoebayexp,13690662,06:51,4491,257 Horseshoe Bay  Express,54441
12,143643,257horseshoebayexp,13690550,07:11,4491,257 Horseshoe Bay  Express,54441
13,143235,257horseshoebayexp,13690441,07:16,4491,257 Horseshoe Bay  Express,54441
15,143651,257horseshoebayexp,13690551,07:31,4491,257 Horseshoe Bay  Express,54441
17,144107,257horseshoebayexp,13690664,07:46,4491,257 Horseshoe Bay  Express,54441
18,143659,257horseshoebayexp,13690552,07:51,4491,257 Horseshoe Bay  Express,54441
20,143667,257horseshoebayexp,13690553,08:11,4491,257 Horseshoe Bay  Express,54441
22,143259,257horseshoebayexp,13690444,08:18,4491,257 Horseshoe Bay  Express,54441
23,143675,257horseshoebayexp,13690554,08:26,4491,257 Horseshoe Bay  Express,54441
24,144123,257horseshoebayexp,13690666,08:31,4491,257 Horseshoe Bay  Express,54441
26,143683,257horseshoebayexp,13690555,08:41,4491,257 Horseshoe Bay  Express,54441
27,144131,257horseshoebayexp,13690667,08:51,4491,257 Horseshoe Bay  Express,54441
30,143283,257horseshoebayexp,13690447,09:08,4491,257 Horseshoe Bay  Express,54441
33,143707,257horseshoebayexp,13690558,09:26,4491,257 Horseshoe Bay  Express,54441
36,143715,257horseshoebayexp,13690559,09:41,4491,257 Horseshoe Bay  Express,54441
37,144155,257horseshoebayexp,13690670,09:52,4491,257 Horseshoe Bay  Express,54441
40,143731,257horseshoebayexp,13690561,10:11,4491,257 Horseshoe Bay  Express,54441
43,143739,257horseshoebayexp,13690562,10:28,4491,257 Horseshoe Bay  Express,54441
44,144171,257horseshoebayexp,13690672,10:33,4491,257 Horseshoe Bay  Express,54441
46,143747,257horseshoebayexp,13690563,10:43,4491,257 Horseshoe Bay  Express,54441
47,143323,257horseshoebayexp,13690452,10:53,4491,257 Horseshoe Bay  Express,54441
49,143755,257horseshoebayexp,13690564,10:58,4491,257 Horseshoe Bay  Express,54441
50,144187,257horseshoebayexp,13690674,11:13,4491,257 Horseshoe Bay  Express,54441
53,143771,257horseshoebayexp,13690566,11:28,4491,257 Horseshoe Bay  Express,54441
54,143339,257horseshoebayexp,13690454,11:33,4491,257 Horseshoe Bay  Express,54441
56,143779,257horseshoebayexp,13690567,11:43,4491,257 Horseshoe Bay  Express,54441
57,143347,257horseshoebayexp,13690455,11:53,4491,257 Horseshoe Bay  Express,54441
60,143795,257horseshoebayexp,13690569,12:13,4491,257 Horseshoe Bay  Express,54441
63,143363,257horseshoebayexp,13690457,12:28,4491,257 Horseshoe Bay  Express,54441
66,143811,257horseshoebayexp,13690571,12:44,4491,257 Horseshoe Bay  Express,54441
67,143371,257horseshoebayexp,13690458,12:49,4491,257 Horseshoe Bay  Express,54441
68,144227,257horseshoebayexp,13690679,12:54,4491,257 Horseshoe Bay  Express,54441
69,143819,257horseshoebayexp,13690572,12:59,4491,257 Horseshoe Bay  Express,54441
70,143379,257horseshoebayexp,13690459,13:08,4491,257 Horseshoe Bay  Express,54441
71,144235,257horseshoebayexp,13690680,13:14,4491,257 Horseshoe Bay  Express,54441
73,143387,257horseshoebayexp,13690460,13:28,4491,257 Horseshoe Bay  Express,54441
76,143843,257horseshoebayexp,13690575,13:44,4491,257 Horseshoe Bay  Express,54441
79,143851,257horseshoebayexp,13690576,13:59,4491,257 Horseshoe Bay  Express,54441
81,143403,257horseshoebayexp,13690462,14:08,4491,257 Horseshoe Bay  Express,54441
82,143859,257horseshoebayexp,13690577,14:14,4491,257 Horseshoe Bay  Express,54441
84,143411,257horseshoebayexp,13690463,14:28,4491,257 Horseshoe Bay  Express,54441
87,143419,257horseshoebayexp,13690464,14:43,4491,257 Horseshoe Bay  Express,54441
92,143883,257horseshoebayexp,13690580,14:59,4491,257 Horseshoe Bay  Express,54441
94,143435,257horseshoebayexp,13690466,15:08,4491,257 Horseshoe Bay  Express,54441
95,143891,257horseshoebayexp,13690581,15:14,4491,257 Horseshoe Bay  Express,54441
96,144307,257horseshoebayexp,13690689,15:19,4491,257 Horseshoe Bay  Express,54441
97,143443,257horseshoebayexp,13690467,15:28,4491,257 Horseshoe Bay  Express,54441
99,144315,257horseshoebayexp,13690690,15:34,4491,257 Horseshoe Bay  Express,54441
100,143907,257horseshoebayexp,13690583,15:44,4491,257 Horseshoe Bay  Express,54441
103,143915,257horseshoebayexp,13690584,16:01,4491,257 Horseshoe Bay  Express,54441
106,143923,257horseshoebayexp,13690585,16:16,4491,257 Horseshoe Bay  Express,54441
108,143467,257horseshoebayexp,13690470,16:24,4491,257 Horseshoe Bay  Express,54441
110,143931,257horseshoebayexp,13690586,16:31,4491,257 Horseshoe Bay  Express,54441
113,143939,257horseshoebayexp,13690587,16:46,4491,257 Horseshoe Bay  Express,54441
115,143483,257horseshoebayexp,13690472,16:54,4491,257 Horseshoe Bay  Express,54441
116,143947,257horseshoebayexp,13690588,17:01,4491,257 Horseshoe Bay  Express,54441
118,143491,257horseshoebayexp,13690473,17:14,4491,257 Horseshoe Bay  Express,54441
121,143963,257horseshoebayexp,13690590,17:29,4491,257 Horseshoe Bay  Express,54441
124,143971,257horseshoebayexp,13690591,17:44,4491,257 Horseshoe Bay  Express,54441
126,143507,257horseshoebayexp,13690475,17:53,4491,257 Horseshoe Bay  Express,54441
127,143979,257horseshoebayexp,13690592,17:59,4491,257 Horseshoe Bay  Express,54441
129,143515,257horseshoebayexp,13690476,18:13,4491,257 Horseshoe Bay  Express,54441
132,144419,257horseshoebayexp,13690703,18:27,4491,257 Horseshoe Bay  Express,54441
137,144003,257horseshoebayexp,13690595,18:44,4491,257 Horseshoe Bay  Express,54441
139,143539,257horseshoebayexp,13690479,18:52,4491,257 Horseshoe Bay  Express,54441
140,144443,257horseshoebayexp,13690706,19:01,4491,257 Horseshoe Bay  Express,54441
142,143547,257horseshoebayexp,13690480,19:12,4491,257 Horseshoe Bay  Express,54441
143,144451,257horseshoebayexp,13690707,19:21,4491,257 Horseshoe Bay  Express,54441
145,144459,257horseshoebayexp,13690708,19:41,4491,257 Horseshoe Bay  Express,54441
148,144467,257horseshoebayexp,13690709,20:01,4491,257 Horseshoe Bay  Express,54441
150,143563,257horseshoebayexp,13690482,20:12,4491,257 Horseshoe Bay  Express,54441
152,144475,257horseshoebayexp,13690710,20:21,4491,257 Horseshoe Bay  Express,54441
154,144483,257horseshoebayexp,13690711,20:41,4491,257 Horseshoe Bay  Express,54441
156,144051,257horseshoebayexp,13690601,20:47,4491,257 Horseshoe Bay  Express,54441
157,144491,257horseshoebayexp,13690712,21:01,4491,257 Horseshoe Bay  Express,54441
158,144059,257horseshoebayexp,13690602,21:16,4491,257 Horseshoe Bay  Express,54441
159,143587,257horseshoebayexp,13690485,21:21,4491,257 Horseshoe Bay  Express,54441
161,144507,257horseshoebayexp,13690714,21:51,4491,257 Horseshoe Bay  Express,54441
162,144067,257horseshoebayexp,13690603,22:18,4491,257 Horseshoe Bay  Express,54441
165,143603,257horseshoebayexp,13690487,23:21,4491,257 Horseshoe Bay  Express,54441
168,144078,257horseshoebayexp,13690660,05:44,4608,257 Horseshoe Bay  Express,54556
169,143206,257horseshoebayexp,13690437,05:53,4608,257 Horseshoe Bay  Express,54556
171,143214,257horseshoebayexp,13690438,06:23,4608,257 Horseshoe Bay  Express,54556
172,144086,257horseshoebayexp,13690661,06:34,4608,257 Horseshoe Bay  Express,54556
174,143222,257horseshoebayexp,13690439,06:49,4608,257 Horseshoe Bay  Express,54556
175,143638,257horseshoebayexp,13690549,07:05,4608,257 Horseshoe Bay  Express,54556
178,143646,257horseshoebayexp,13690550,07:30,4608,257 Horseshoe Bay  Express,54556
181,143654,257horseshoebayexp,13690551,07:50,4608,257 Horseshoe Bay  Express,54556
183,144110,257horseshoebayexp,13690664,08:04,4608,257 Horseshoe Bay  Express,54556
184,143662,257horseshoebayexp,13690552,08:10,4608,257 Horseshoe Bay  Express,54556
186,144118,257horseshoebayexp,13690665,08:29,4608,257 Horseshoe Bay  Express,54556
