,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
3,144999,257vancouverexp,13690489,06:36,4461,257 Vancouver Express,54411
5,145008,257vancouverexp,13690490,07:06,4461,257 Vancouver Express,54411
8,144549,257vancouverexp,13690387,07:32,4461,257 Vancouver Express,54411
11,144558,257vancouverexp,13690388,07:44,4461,257 Vancouver Express,54411
12,145026,257vancouverexp,13690492,07:58,4461,257 Vancouver Express,54411
14,145539,257vancouverexp,13690607,08:07,4461,257 Vancouver Express,54411
15,145035,257vancouverexp,13690493,08:23,4461,257 Vancouver Express,54411
17,145548,257vancouverexp,13690608,08:37,4461,257 Vancouver Express,54411
20,145557,257vancouverexp,13690609,09:02,4461,257 Vancouver Express,54411
23,145062,257vancouverexp,13690496,09:19,4461,257 Vancouver Express,54411
26,145071,257vancouverexp,13690497,09:34,4461,257 Vancouver Express,54411
27,145575,257vancouverexp,13690611,09:42,4461,257 Vancouver Express,54411
29,145080,257vancouverexp,13690498,09:49,4461,257 Vancouver Express,54411
30,144621,257vancouverexp,13690395,09:59,4461,257 Vancouver Express,54411
33,145098,257vancouverexp,13690500,10:19,4461,257 Vancouver Express,54411
36,145107,257vancouverexp,13690501,10:34,4461,257 Vancouver Express,54411
39,145116,257vancouverexp,13690502,10:49,4461,257 Vancouver Express,54411
40,145611,257vancouverexp,13690615,11:02,4461,257 Vancouver Express,54411
43,145134,257vancouverexp,13690504,11:19,4461,257 Vancouver Express,54411
46,145143,257vancouverexp,13690505,11:34,4461,257 Vancouver Express,54411
47,144666,257vancouverexp,13690400,11:40,4461,257 Vancouver Express,54411
49,145152,257vancouverexp,13690506,11:49,4461,257 Vancouver Express,54411
50,144675,257vancouverexp,13690401,12:00,4461,257 Vancouver Express,54411
53,145170,257vancouverexp,13690508,12:20,4461,257 Vancouver Express,54411
56,145179,257vancouverexp,13690509,12:35,4461,257 Vancouver Express,54411
57,144693,257vancouverexp,13690403,12:40,4461,257 Vancouver Express,54411
59,145188,257vancouverexp,13690510,12:50,4461,257 Vancouver Express,54411
60,144702,257vancouverexp,13690404,13:00,4461,257 Vancouver Express,54411
63,145206,257vancouverexp,13690512,13:20,4461,257 Vancouver Express,54411
66,145215,257vancouverexp,13690513,13:35,4461,257 Vancouver Express,54411
67,144720,257vancouverexp,13690406,13:40,4461,257 Vancouver Express,54411
69,145224,257vancouverexp,13690514,13:49,4461,257 Vancouver Express,54411
70,144729,257vancouverexp,13690407,14:00,4461,257 Vancouver Express,54411
73,145242,257vancouverexp,13690516,14:19,4461,257 Vancouver Express,54411
76,145710,257vancouverexp,13690626,14:34,4461,257 Vancouver Express,54411
78,144747,257vancouverexp,13690409,14:40,4461,257 Vancouver Express,54411
79,145719,257vancouverexp,13690627,14:49,4461,257 Vancouver Express,54411
81,144756,257vancouverexp,13690410,15:00,4461,257 Vancouver Express,54411
84,145278,257vancouverexp,13690520,15:20,4461,257 Vancouver Express,54411
87,145746,257vancouverexp,13690630,15:32,4461,257 Vancouver Express,54411
91,144783,257vancouverexp,13690413,15:45,4461,257 Vancouver Express,54411
94,145305,257vancouverexp,13690523,16:04,4461,257 Vancouver Express,54411
97,145782,257vancouverexp,13690634,16:20,4461,257 Vancouver Express,54411
99,144801,257vancouverexp,13690415,16:25,4461,257 Vancouver Express,54411
100,145323,257vancouverexp,13690525,16:35,4461,257 Vancouver Express,54411
102,144810,257vancouverexp,13690416,16:40,4461,257 Vancouver Express,54411
103,145800,257vancouverexp,13690636,16:50,4461,257 Vancouver Express,54411
105,145341,257vancouverexp,13690527,17:05,4461,257 Vancouver Express,54411
108,145818,257vancouverexp,13690638,17:19,4461,257 Vancouver Express,54411
111,145836,257vancouverexp,13690640,17:31,4461,257 Vancouver Express,54411
116,145845,257vancouverexp,13690641,17:48,4461,257 Vancouver Express,54411
118,144855,257vancouverexp,13690421,17:59,4461,257 Vancouver Express,54411
121,145863,257vancouverexp,13690643,18:17,4461,257 Vancouver Express,54411
124,145872,257vancouverexp,13690644,18:31,4461,257 Vancouver Express,54411
126,144873,257vancouverexp,13690423,18:39,4461,257 Vancouver Express,54411
127,145881,257vancouverexp,13690645,18:46,4461,257 Vancouver Express,54411
129,144882,257vancouverexp,13690424,18:59,4461,257 Vancouver Express,54411
132,145899,257vancouverexp,13690647,19:15,4461,257 Vancouver Express,54411
135,144891,257vancouverexp,13690425,19:23,4461,257 Vancouver Express,54411
136,145917,257vancouverexp,13690649,19:31,4461,257 Vancouver Express,54411
139,144909,257vancouverexp,13690427,19:38,4461,257 Vancouver Express,54411
140,145440,257vancouverexp,13690538,19:48,4461,257 Vancouver Express,54411
142,144918,257vancouverexp,13690428,19:58,4461,257 Vancouver Express,54411
143,145449,257vancouverexp,13690539,20:08,4461,257 Vancouver Express,54411
144,145935,257vancouverexp,13690651,20:16,4461,257 Vancouver Express,54411
145,145458,257vancouverexp,13690540,20:28,4461,257 Vancouver Express,54411
148,145467,257vancouverexp,13690541,20:48,4461,257 Vancouver Express,54411
150,144936,257vancouverexp,13690430,21:03,4461,257 Vancouver Express,54411
151,145476,257vancouverexp,13690542,21:08,4461,257 Vancouver Express,54411
154,145971,257vancouverexp,13690655,21:31,4461,257 Vancouver Express,54411
155,145485,257vancouverexp,13690543,21:38,4461,257 Vancouver Express,54411
157,145980,257vancouverexp,13690656,21:51,4461,257 Vancouver Express,54411
158,145494,257vancouverexp,13690544,22:18,4461,257 Vancouver Express,54411
161,145998,257vancouverexp,13690658,22:53,4461,257 Vancouver Express,54411
162,144972,257vancouverexp,13690434,23:18,4461,257 Vancouver Express,54411
169,144996,257vancouverexp,13690489,06:18,4608,257 Vancouver Express,54556
171,145005,257vancouverexp,13690490,06:48,4608,257 Vancouver Express,54556
174,144546,257vancouverexp,13690387,07:13,4608,257 Vancouver Express,54556
177,144555,257vancouverexp,13690388,07:25,4608,257 Vancouver Express,54556
178,145023,257vancouverexp,13690492,07:40,4608,257 Vancouver Express,54556
180,145536,257vancouverexp,13690607,07:48,4608,257 Vancouver Express,54556
181,144573,257vancouverexp,13690390,08:05,4608,257 Vancouver Express,54556
183,145545,257vancouverexp,13690608,08:18,4608,257 Vancouver Express,54556
185,145041,257vancouverexp,13690494,08:25,4608,257 Vancouver Express,54556
