,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,146206,262caufeild,13724022,08:00,4608,262 Caulfeild,54556
2,146224,262caufeild,13724023,09:00,4608,262 Caulfeild,54556
3,146242,262caufeild,13724024,10:00,4608,262 Caulfeild,54556
5,146607,262caufeild,13724069,11:00,4608,262 Caulfeild,54556
8,146517,262caufeild,13724055,12:00,4608,262 Caulfeild,54556
11,146661,262caufeild,13724072,13:00,4608,262 Caulfeild,54556
14,146116,262caufeild,13724017,13:55,4608,262 Caulfeild,54556
17,146625,262caufeild,13724070,14:55,4608,262 Caulfeild,54556
20,146697,262caufeild,13724074,15:55,4608,262 Caulfeild,54556
23,146715,262caufeild,13724075,16:55,4608,262 Caulfeild,54556
26,146026,262caufeild,13724012,17:53,4608,262 Caulfeild,54556
29,146463,262caufeild,13724052,18:22,4608,262 Caulfeild,54556
30,146188,262caufeild,13724021,18:55,4608,262 Caulfeild,54556
32,146350,262caufeild,13724045,19:30,4608,262 Caulfeild,54556
33,146260,262caufeild,13724025,19:52,4608,262 Caulfeild,54556
34,146368,262caufeild,13724046,20:30,4608,262 Caulfeild,54556
35,146278,262caufeild,13724026,20:45,4608,262 Caulfeild,54556
36,146553,262caufeild,13724057,21:30,4608,262 Caulfeild,54556
37,146296,262caufeild,13724027,21:45,4608,262 Caulfeild,54556
38,146571,262caufeild,13724058,22:30,4608,262 Caulfeild,54556
39,146314,262caufeild,13724028,22:45,4608,262 Caulfeild,54556
40,146589,262caufeild,13724059,23:30,4608,262 Caulfeild,54556
41,146332,262caufeild,13724029,23:46,4608,262 Caulfeild,54556
43,146210,262caufeild,13724022,08:08,10328,262 Caulfeild,60887
44,146228,262caufeild,13724023,09:08,10328,262 Caulfeild,60887
45,146246,262caufeild,13724024,10:08,10328,262 Caulfeild,60887
47,146611,262caufeild,13724069,11:08,10328,262 Caulfeild,60887
50,146521,262caufeild,13724055,12:08,10328,262 Caulfeild,60887
53,146665,262caufeild,13724072,13:08,10328,262 Caulfeild,60887
56,146120,262caufeild,13724017,14:03,10328,262 Caulfeild,60887
59,146629,262caufeild,13724070,15:03,10328,262 Caulfeild,60887
62,146701,262caufeild,13724074,16:03,10328,262 Caulfeild,60887
65,146719,262caufeild,13724075,17:03,10328,262 Caulfeild,60887
68,146030,262caufeild,13724012,18:01,10328,262 Caulfeild,60887
71,146467,262caufeild,13724052,18:30,10328,262 Caulfeild,60887
72,146192,262caufeild,13724021,19:03,10328,262 Caulfeild,60887
74,146354,262caufeild,13724045,19:38,10328,262 Caulfeild,60887
75,146264,262caufeild,13724025,20:00,10328,262 Caulfeild,60887
76,146372,262caufeild,13724046,20:38,10328,262 Caulfeild,60887
