,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,146837,262lionsbaybruns,13724001,07:25,4608,262 Lions Bay- Brunswick,54556
2,146847,262lionsbaybruns,13724002,08:25,4608,262 Lions Bay- Brunswick,54556
3,147047,262lionsbaybruns,13724042,09:25,4608,262 Lions Bay- Brunswick,54556
5,147087,262lionsbaybruns,13724061,10:25,4608,262 Lions Bay- Brunswick,54556
8,147157,262lionsbaybruns,13724068,11:25,4608,262 Lions Bay- Brunswick,54556
11,146967,262lionsbaybruns,13724034,12:25,4608,262 Lions Bay- Brunswick,54556
14,146927,262lionsbaybruns,13724011,13:20,4608,262 Lions Bay- Brunswick,54556
17,146787,262lionsbaybruns,13723996,14:20,4608,262 Lions Bay- Brunswick,54556
20,146997,262lionsbaybruns,13724037,15:20,4608,262 Lions Bay- Brunswick,54556
23,147127,262lionsbaybruns,13724065,16:20,4608,262 Lions Bay- Brunswick,54556
26,146817,262lionsbaybruns,13723999,17:18,4608,262 Lions Bay- Brunswick,54556
29,147077,262lionsbaybruns,13724060,18:20,4608,262 Lions Bay- Brunswick,54556
31,146937,262lionsbaybruns,13724031,18:55,4608,262 Lions Bay- Brunswick,54556
32,146757,262lionsbaybruns,13723993,19:15,4608,262 Lions Bay- Brunswick,54556
33,146947,262lionsbaybruns,13724032,19:55,4608,262 Lions Bay- Brunswick,54556
34,146887,262lionsbaybruns,13724006,20:10,4608,262 Lions Bay- Brunswick,54556
35,146957,262lionsbaybruns,13724033,20:55,4608,262 Lions Bay- Brunswick,54556
36,146897,262lionsbaybruns,13724007,21:10,4608,262 Lions Bay- Brunswick,54556
37,147027,262lionsbaybruns,13724040,21:55,4608,262 Lions Bay- Brunswick,54556
38,146907,262lionsbaybruns,13724008,22:10,4608,262 Lions Bay- Brunswick,54556
39,147037,262lionsbaybruns,13724041,22:55,4608,262 Lions Bay- Brunswick,54556
40,146917,262lionsbaybruns,13724009,23:11,4608,262 Lions Bay- Brunswick,54556
42,146836,262lionsbaybruns,13724001,07:18,10328,262 Lions Bay- Brunswick,60887
43,146846,262lionsbaybruns,13724002,08:18,10328,262 Lions Bay- Brunswick,60887
44,147046,262lionsbaybruns,13724042,09:18,10328,262 Lions Bay- Brunswick,60887
46,147086,262lionsbaybruns,13724061,10:18,10328,262 Lions Bay- Brunswick,60887
49,147156,262lionsbaybruns,13724068,11:18,10328,262 Lions Bay- Brunswick,60887
52,146966,262lionsbaybruns,13724034,12:18,10328,262 Lions Bay- Brunswick,60887
55,146926,262lionsbaybruns,13724011,13:13,10328,262 Lions Bay- Brunswick,60887
58,146786,262lionsbaybruns,13723996,14:13,10328,262 Lions Bay- Brunswick,60887
61,146996,262lionsbaybruns,13724037,15:13,10328,262 Lions Bay- Brunswick,60887
64,147126,262lionsbaybruns,13724065,16:13,10328,262 Lions Bay- Brunswick,60887
67,146816,262lionsbaybruns,13723999,17:11,10328,262 Lions Bay- Brunswick,60887
70,147076,262lionsbaybruns,13724060,18:13,10328,262 Lions Bay- Brunswick,60887
72,146936,262lionsbaybruns,13724031,18:48,10328,262 Lions Bay- Brunswick,60887
73,146756,262lionsbaybruns,13723993,19:08,10328,262 Lions Bay- Brunswick,60887
74,146946,262lionsbaybruns,13724032,19:48,10328,262 Lions Bay- Brunswick,60887
75,146886,262lionsbaybruns,13724006,20:03,10328,262 Lions Bay- Brunswick,60887
76,146956,262lionsbaybruns,13724033,20:48,10328,262 Lions Bay- Brunswick,60887
77,146896,262lionsbaybruns,13724007,21:03,10328,262 Lions Bay- Brunswick,60887
78,147026,262lionsbaybruns,13724040,21:48,10328,262 Lions Bay- Brunswick,60887
79,146906,262lionsbaybruns,13724008,22:03,10328,262 Lions Bay- Brunswick,60887
80,147036,262lionsbaybruns,13724041,22:48,10328,262 Lions Bay- Brunswick,60887
81,146916,262lionsbaybruns,13724009,23:04,10328,262 Lions Bay- Brunswick,60887
83,146844,262lionsbaybruns,13724001,07:40,11549,262 Lions Bay- Brunswick,61530
84,146854,262lionsbaybruns,13724002,08:40,11549,262 Lions Bay- Brunswick,61530
85,147054,262lionsbaybruns,13724042,09:40,11549,262 Lions Bay- Brunswick,61530
87,147094,262lionsbaybruns,13724061,10:40,11549,262 Lions Bay- Brunswick,61530
90,147164,262lionsbaybruns,13724068,11:40,11549,262 Lions Bay- Brunswick,61530
93,146974,262lionsbaybruns,13724034,12:40,11549,262 Lions Bay- Brunswick,61530
96,146934,262lionsbaybruns,13724011,13:35,11549,262 Lions Bay- Brunswick,61530
99,146794,262lionsbaybruns,13723996,14:35,11549,262 Lions Bay- Brunswick,61530
102,147004,262lionsbaybruns,13724037,15:35,11549,262 Lions Bay- Brunswick,61530
105,147134,262lionsbaybruns,13724065,16:35,11549,262 Lions Bay- Brunswick,61530
108,146824,262lionsbaybruns,13723999,17:33,11549,262 Lions Bay- Brunswick,61530
111,147084,262lionsbaybruns,13724060,18:35,11549,262 Lions Bay- Brunswick,61530
113,146944,262lionsbaybruns,13724031,19:10,11549,262 Lions Bay- Brunswick,61530
114,146764,262lionsbaybruns,13723993,19:30,11549,262 Lions Bay- Brunswick,61530
116,146894,262lionsbaybruns,13724006,20:25,11549,262 Lions Bay- Brunswick,61530
118,146904,262lionsbaybruns,13724007,21:25,11549,262 Lions Bay- Brunswick,61530
120,146914,262lionsbaybruns,13724008,22:25,11549,262 Lions Bay- Brunswick,61530
