,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,147173,280bluewater,13690854,06:20,9608,280 Bluewater,58013
4,147180,280bluewater,13690855,07:25,9608,280 Bluewater,58013
6,147187,280bluewater,13690856,08:30,9608,280 Bluewater,58013
8,147195,280bluewater,13690857,09:35,9608,280 Bluewater,58013
10,147468,280bluewater,13690935,09:40,9608,280 Bluewater,58013
14,147421,280bluewater,13690910,11:50,9608,280 Bluewater,58013
17,147303,280bluewater,13690871,12:00,9608,280 Bluewater,58013
20,147311,280bluewater,13690872,13:40,9608,280 Bluewater,58013
26,147319,280bluewater,13690873,14:50,9608,280 Bluewater,58013
28,147227,280bluewater,13690861,15:55,9608,280 Bluewater,58013
34,147235,280bluewater,13690862,17:00,9608,280 Bluewater,58013
35,147335,280bluewater,13690875,17:05,9608,280 Bluewater,58013
36,147532,280bluewater,13690946,18:10,9608,280 Bluewater,58013
42,147547,280bluewater,13690950,19:15,9608,280 Bluewater,58013
45,147374,280bluewater,13690898,19:20,9608,280 Bluewater,58013
48,147359,280bluewater,13690878,20:25,9608,280 Bluewater,58013
49,147259,280bluewater,13690865,20:40,9608,280 Bluewater,58013
52,147179,280bluewater,13690854,06:40,12499,280 Bluewater,60236
54,147186,280bluewater,13690855,07:45,12499,280 Bluewater,60236
56,147194,280bluewater,13690856,08:50,12499,280 Bluewater,60236
58,147202,280bluewater,13690857,09:55,12499,280 Bluewater,60236
60,147475,280bluewater,13690935,10:00,12499,280 Bluewater,60236
64,147428,280bluewater,13690910,12:10,12499,280 Bluewater,60236
67,147310,280bluewater,13690871,12:20,12499,280 Bluewater,60236
70,147318,280bluewater,13690872,14:00,12499,280 Bluewater,60236
76,147326,280bluewater,13690873,15:10,12499,280 Bluewater,60236
78,147234,280bluewater,13690861,16:15,12499,280 Bluewater,60236
84,147242,280bluewater,13690862,17:20,12499,280 Bluewater,60236
85,147342,280bluewater,13690875,17:25,12499,280 Bluewater,60236
86,147539,280bluewater,13690946,18:30,12499,280 Bluewater,60236
92,147553,280bluewater,13690950,19:35,12499,280 Bluewater,60236
95,147380,280bluewater,13690898,19:40,12499,280 Bluewater,60236
98,147365,280bluewater,13690878,20:45,12499,280 Bluewater,60236
99,147265,280bluewater,13690865,21:00,12499,280 Bluewater,60236
104,147470,280bluewater,13690935,09:45,12500,280 Bluewater,60237
108,147205,280bluewater,13690858,11:55,12500,280 Bluewater,60237
111,147478,280bluewater,13690937,12:05,12500,280 Bluewater,60237
114,147399,280bluewater,13690901,13:45,12500,280 Bluewater,60237
120,147221,280bluewater,13690860,14:55,12500,280 Bluewater,60237
122,147510,280bluewater,13690942,16:00,12500,280 Bluewater,60237
129,147337,280bluewater,13690875,17:10,12500,280 Bluewater,60237
130,147534,280bluewater,13690946,18:15,12500,280 Bluewater,60237
137,147353,280bluewater,13690877,19:25,12500,280 Bluewater,60237
