,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,147570,280snugcove,13690815,06:00,8087,280 Snug Cove,58011
4,147581,280snugcove,13690816,07:05,8087,280 Snug Cove,58011
6,147925,280snugcove,13690884,08:10,8087,280 Snug Cove,58011
12,147604,280snugcove,13690818,09:15,8087,280 Snug Cove,58011
14,147913,280snugcove,13690883,10:25,8087,280 Snug Cove,58011
20,147628,280snugcove,13690820,12:40,8087,280 Snug Cove,58011
21,147781,280snugcove,13690833,12:45,8087,280 Snug Cove,58011
26,147973,280snugcove,13690894,14:30,8087,280 Snug Cove,58011
32,147652,280snugcove,13690822,15:35,8087,280 Snug Cove,58011
34,147664,280snugcove,13690823,16:40,8087,280 Snug Cove,58011
37,147877,280snugcove,13690880,16:45,8087,280 Snug Cove,58011
40,147829,280snugcove,13690837,17:50,8087,280 Snug Cove,58011
42,148141,280snugcove,13690932,18:55,8087,280 Snug Cove,58011
45,147865,280snugcove,13690879,19:00,8087,280 Snug Cove,58011
48,147853,280snugcove,13690839,20:05,8087,280 Snug Cove,58011
49,147700,280snugcove,13690826,20:15,8087,280 Snug Cove,58011
52,147575,280snugcove,13690815,06:15,9608,280 Snug Cove,58013
54,147586,280snugcove,13690816,07:20,9608,280 Snug Cove,58013
56,147931,280snugcove,13690884,08:25,9608,280 Snug Cove,58013
62,147610,280snugcove,13690818,09:30,9608,280 Snug Cove,58013
64,147919,280snugcove,13690883,10:40,9608,280 Snug Cove,58013
70,147634,280snugcove,13690820,12:55,9608,280 Snug Cove,58013
71,147787,280snugcove,13690833,13:00,9608,280 Snug Cove,58013
76,147979,280snugcove,13690894,14:45,9608,280 Snug Cove,58013
82,147658,280snugcove,13690822,15:50,9608,280 Snug Cove,58013
84,147670,280snugcove,13690823,16:55,9608,280 Snug Cove,58013
87,147883,280snugcove,13690880,17:00,9608,280 Snug Cove,58013
90,147835,280snugcove,13690837,18:05,9608,280 Snug Cove,58013
92,148147,280snugcove,13690932,19:10,9608,280 Snug Cove,58013
95,147871,280snugcove,13690879,19:15,9608,280 Snug Cove,58013
98,147859,280snugcove,13690839,20:20,9608,280 Snug Cove,58013
99,147706,280snugcove,13690826,20:30,9608,280 Snug Cove,58013
102,147572,280snugcove,13690815,06:05,9603,280 Snug Cove,58015
104,147583,280snugcove,13690816,07:10,9603,280 Snug Cove,58015
106,147927,280snugcove,13690884,08:15,9603,280 Snug Cove,58015
112,147606,280snugcove,13690818,09:20,9603,280 Snug Cove,58015
114,147915,280snugcove,13690883,10:30,9603,280 Snug Cove,58015
121,147783,280snugcove,13690833,12:50,9603,280 Snug Cove,58015
126,147975,280snugcove,13690894,14:35,9603,280 Snug Cove,58015
132,147654,280snugcove,13690822,15:40,9603,280 Snug Cove,58015
137,147879,280snugcove,13690880,16:50,9603,280 Snug Cove,58015
140,147831,280snugcove,13690837,17:55,9603,280 Snug Cove,58015
145,147867,280snugcove,13690879,19:05,9603,280 Snug Cove,58015
148,147855,280snugcove,13690839,20:10,9603,280 Snug Cove,58015
152,147569,280snugcove,13690815,05:55,8092,280 Snug Cove,58016
154,147580,280snugcove,13690816,07:00,8092,280 Snug Cove,58016
156,147924,280snugcove,13690884,08:05,8092,280 Snug Cove,58016
162,147603,280snugcove,13690818,09:10,8092,280 Snug Cove,58016
164,147912,280snugcove,13690883,10:20,8092,280 Snug Cove,58016
170,147627,280snugcove,13690820,12:35,8092,280 Snug Cove,58016
176,147972,280snugcove,13690894,14:25,8092,280 Snug Cove,58016
182,147651,280snugcove,13690822,15:30,8092,280 Snug Cove,58016
184,147663,280snugcove,13690823,16:35,8092,280 Snug Cove,58016
190,147828,280snugcove,13690837,17:45,8092,280 Snug Cove,58016
192,148140,280snugcove,13690932,18:50,8092,280 Snug Cove,58016
198,147852,280snugcove,13690839,20:00,8092,280 Snug Cove,58016
202,147574,280snugcove,13690815,06:12,8582,280 Snug Cove,58766
204,147585,280snugcove,13690816,07:17,8582,280 Snug Cove,58766
206,147930,280snugcove,13690884,08:21,8582,280 Snug Cove,58766
212,147609,280snugcove,13690818,09:26,8582,280 Snug Cove,58766
214,147918,280snugcove,13690883,10:36,8582,280 Snug Cove,58766
220,147633,280snugcove,13690820,12:51,8582,280 Snug Cove,58766
221,147786,280snugcove,13690833,12:56,8582,280 Snug Cove,58766
226,147978,280snugcove,13690894,14:41,8582,280 Snug Cove,58766
232,147657,280snugcove,13690822,15:46,8582,280 Snug Cove,58766
234,147669,280snugcove,13690823,16:51,8582,280 Snug Cove,58766
237,147882,280snugcove,13690880,16:56,8582,280 Snug Cove,58766
