,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,148153,281eaglecliff,13690964,06:20,9608,281 Eaglecliff,58013
4,148158,281eaglecliff,13690965,07:25,9608,281 Eaglecliff,58013
6,148228,281eaglecliff,13690979,08:30,9608,281 Eaglecliff,58013
8,148343,281eaglecliff,13691062,08:35,9608,281 Eaglecliff,58013
12,148233,281eaglecliff,13690980,10:45,9608,281 Eaglecliff,58013
14,148313,281eaglecliff,13691040,10:50,9608,281 Eaglecliff,58013
18,148238,281eaglecliff,13690981,13:05,9608,281 Eaglecliff,58013
24,148243,281eaglecliff,13690982,14:00,9608,281 Eaglecliff,58013
26,148323,281eaglecliff,13691042,14:50,9608,281 Eaglecliff,58013
32,148188,281eaglecliff,13690971,15:55,9608,281 Eaglecliff,58013
34,148378,281eaglecliff,13691072,17:00,9608,281 Eaglecliff,58013
39,148258,281eaglecliff,13690985,17:05,9608,281 Eaglecliff,58013
40,148198,281eaglecliff,13690973,18:10,9608,281 Eaglecliff,58013
42,148393,281eaglecliff,13691077,19:15,9608,281 Eaglecliff,58013
45,148303,281eaglecliff,13691032,19:20,9608,281 Eaglecliff,58013
48,148273,281eaglecliff,13690988,20:25,9608,281 Eaglecliff,58013
49,148208,281eaglecliff,13690975,20:40,9608,281 Eaglecliff,58013
52,148157,281eaglecliff,13690964,06:35,8094,281 Eaglecliff,58018
54,148162,281eaglecliff,13690965,07:40,8094,281 Eaglecliff,58018
56,148232,281eaglecliff,13690979,08:45,8094,281 Eaglecliff,58018
58,148347,281eaglecliff,13691062,08:50,8094,281 Eaglecliff,58018
62,148237,281eaglecliff,13690980,11:00,8094,281 Eaglecliff,58018
64,148317,281eaglecliff,13691040,11:05,8094,281 Eaglecliff,58018
68,148242,281eaglecliff,13690981,13:20,8094,281 Eaglecliff,58018
74,148247,281eaglecliff,13690982,14:15,8094,281 Eaglecliff,58018
76,148327,281eaglecliff,13691042,15:05,8094,281 Eaglecliff,58018
82,148192,281eaglecliff,13690971,16:10,8094,281 Eaglecliff,58018
84,148382,281eaglecliff,13691072,17:15,8094,281 Eaglecliff,58018
89,148262,281eaglecliff,13690985,17:20,8094,281 Eaglecliff,58018
90,148202,281eaglecliff,13690973,18:25,8094,281 Eaglecliff,58018
92,148397,281eaglecliff,13691077,19:30,8094,281 Eaglecliff,58018
95,148307,281eaglecliff,13691032,19:35,8094,281 Eaglecliff,58018
99,148212,281eaglecliff,13690975,20:55,8094,281 Eaglecliff,58018
102,148155,281eaglecliff,13690964,06:27,8096,281 Eaglecliff,58020
104,148160,281eaglecliff,13690965,07:32,8096,281 Eaglecliff,58020
106,148230,281eaglecliff,13690979,08:37,8096,281 Eaglecliff,58020
108,148345,281eaglecliff,13691062,08:42,8096,281 Eaglecliff,58020
112,148235,281eaglecliff,13690980,10:52,8096,281 Eaglecliff,58020
114,148315,281eaglecliff,13691040,10:57,8096,281 Eaglecliff,58020
118,148240,281eaglecliff,13690981,13:12,8096,281 Eaglecliff,58020
124,148245,281eaglecliff,13690982,14:07,8096,281 Eaglecliff,58020
126,148325,281eaglecliff,13691042,14:57,8096,281 Eaglecliff,58020
132,148190,281eaglecliff,13690971,16:02,8096,281 Eaglecliff,58020
134,148380,281eaglecliff,13691072,17:07,8096,281 Eaglecliff,58020
139,148260,281eaglecliff,13690985,17:12,8096,281 Eaglecliff,58020
140,148200,281eaglecliff,13690973,18:17,8096,281 Eaglecliff,58020
142,148395,281eaglecliff,13691077,19:22,8096,281 Eaglecliff,58020
145,148305,281eaglecliff,13691032,19:27,8096,281 Eaglecliff,58020
148,148275,281eaglecliff,13690988,20:32,8096,281 Eaglecliff,58020
149,148210,281eaglecliff,13690975,20:47,8096,281 Eaglecliff,58020
