,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,148817,28joyce,13667714,05:28,1792,28 Joyce Station,51778
2,150935,28joyce,13667785,05:39,1792,28 Joyce Station,51778
3,148841,28joyce,13667715,05:52,1792,28 Joyce Station,51778
4,148896,28joyce,13667717,06:09,1792,28 Joyce Station,51778
6,152175,28joyce,13667874,06:23,1792,28 Joyce Station,51778
7,148927,28joyce,13667718,06:28,1792,28 Joyce Station,51778
8,153196,28joyce,13667956,06:39,1792,28 Joyce Station,51778
11,148989,28joyce,13667720,07:00,1792,28 Joyce Station,51778
12,152980,28joyce,13667949,07:07,1792,28 Joyce Station,51778
15,149051,28joyce,13667722,07:31,1792,28 Joyce Station,51778
16,153010,28joyce,13667950,07:38,1792,28 Joyce Station,51778
18,149082,28joyce,13667723,07:47,1792,28 Joyce Station,51778
19,149113,28joyce,13667724,08:05,1792,28 Joyce Station,51778
20,150997,28joyce,13667836,08:11,1792,28 Joyce Station,51778
23,149175,28joyce,13667726,08:33,1792,28 Joyce Station,51778
24,152144,28joyce,13667873,08:42,1792,28 Joyce Station,51778
27,149237,28joyce,13667728,09:04,1792,28 Joyce Station,51778
28,151028,28joyce,13667837,09:12,1792,28 Joyce Station,51778
31,151183,28joyce,13667842,09:32,1792,28 Joyce Station,51778
33,152516,28joyce,13667934,09:45,1792,28 Joyce Station,51778
35,151214,28joyce,13667843,09:52,1792,28 Joyce Station,51778
36,149361,28joyce,13667732,10:03,1792,28 Joyce Station,51778
37,153661,28joyce,13667972,10:16,1792,28 Joyce Station,51778
40,149423,28joyce,13667734,10:33,1792,28 Joyce Station,51778
42,153134,28joyce,13667954,10:45,1792,28 Joyce Station,51778
44,151307,28joyce,13667846,10:56,1792,28 Joyce Station,51778
45,149485,28joyce,13667736,11:03,1792,28 Joyce Station,51778
46,152795,28joyce,13667943,11:10,1792,28 Joyce Station,51778
47,151338,28joyce,13667847,11:16,1792,28 Joyce Station,51778
49,153227,28joyce,13667957,11:31,1792,28 Joyce Station,51778
51,151369,28joyce,13667848,11:37,1792,28 Joyce Station,51778
52,149578,28joyce,13667739,11:47,1792,28 Joyce Station,51778
54,151400,28joyce,13667849,11:57,1792,28 Joyce Station,51778
55,149609,28joyce,13667740,12:02,1792,28 Joyce Station,51778
56,153320,28joyce,13667960,12:11,1792,28 Joyce Station,51778
57,151431,28joyce,13667850,12:17,1792,28 Joyce Station,51778
59,153351,28joyce,13667961,12:31,1792,28 Joyce Station,51778
61,151462,28joyce,13667851,12:37,1792,28 Joyce Station,51778
62,149702,28joyce,13667743,12:47,1792,28 Joyce Station,51778
64,151493,28joyce,13667852,12:57,1792,28 Joyce Station,51778
65,149733,28joyce,13667744,13:03,1792,28 Joyce Station,51778
66,153413,28joyce,13667963,13:11,1792,28 Joyce Station,51778
67,151524,28joyce,13667853,13:17,1792,28 Joyce Station,51778
69,153444,28joyce,13667964,13:32,1792,28 Joyce Station,51778
72,149826,28joyce,13667747,13:48,1792,28 Joyce Station,51778
74,151586,28joyce,13667855,13:57,1792,28 Joyce Station,51778
75,149857,28joyce,13667748,14:03,1792,28 Joyce Station,51778
76,153506,28joyce,13667966,14:12,1792,28 Joyce Station,51778
77,151617,28joyce,13667856,14:17,1792,28 Joyce Station,51778
79,153537,28joyce,13667967,14:32,1792,28 Joyce Station,51778
82,149950,28joyce,13667751,14:48,1792,28 Joyce Station,51778
84,151679,28joyce,13667858,14:57,1792,28 Joyce Station,51778
85,149981,28joyce,13667752,15:03,1792,28 Joyce Station,51778
86,153599,28joyce,13667969,15:12,1792,28 Joyce Station,51778
87,151710,28joyce,13667859,15:17,1792,28 Joyce Station,51778
89,152578,28joyce,13667936,15:32,1792,28 Joyce Station,51778
92,150074,28joyce,13667755,15:49,1792,28 Joyce Station,51778
94,151772,28joyce,13667861,15:57,1792,28 Joyce Station,51778
95,150105,28joyce,13667756,16:03,1792,28 Joyce Station,51778
96,152640,28joyce,13667938,16:11,1792,28 Joyce Station,51778
97,151803,28joyce,13667862,16:17,1792,28 Joyce Station,51778
99,152671,28joyce,13667939,16:31,1792,28 Joyce Station,51778
100,151834,28joyce,13667863,16:36,1792,28 Joyce Station,51778
102,152702,28joyce,13667940,16:51,1792,28 Joyce Station,51778
105,150229,28joyce,13667760,17:08,1792,28 Joyce Station,51778
107,151896,28joyce,13667865,17:16,1792,28 Joyce Station,51778
108,150260,28joyce,13667761,17:23,1792,28 Joyce Station,51778
109,153258,28joyce,13667958,17:31,1792,28 Joyce Station,51778
110,151927,28joyce,13667866,17:36,1792,28 Joyce Station,51778
112,153103,28joyce,13667953,17:53,1792,28 Joyce Station,51778
115,150353,28joyce,13667764,18:11,1792,28 Joyce Station,51778
116,151989,28joyce,13667868,18:16,1792,28 Joyce Station,51778
117,152888,28joyce,13667946,18:21,1792,28 Joyce Station,51778
119,152020,28joyce,13667869,18:35,1792,28 Joyce Station,51778
