,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,160618,N24downtown,13687953,21:10,10882,240 Downtown,59526
2,163592,N24downtown,13688092,21:20,10882,240 Downtown,59526
3,158117,N24downtown,13687809,21:25,10882,240 Downtown,59526
4,161360,N24downtown,13687972,21:30,10882,240 Downtown,59526
5,164842,N24downtown,13688124,21:40,10882,240 Downtown,59526
6,158077,N24downtown,13687808,21:45,10882,240 Downtown,59526
7,161989,N24downtown,13687988,21:50,10882,240 Downtown,59526
8,163474,N24downtown,13688089,22:00,10882,240 Downtown,59526
9,161675,N24downtown,13687980,22:10,10882,240 Downtown,59526
11,164646,N24downtown,13688119,22:23,10882,240 Downtown,59526
12,161557,N24downtown,13687977,22:30,10882,240 Downtown,59526
13,159213,N24downtown,13687838,22:40,10882,240 Downtown,59526
14,161949,N24downtown,13687987,22:50,10882,240 Downtown,59526
15,159173,N24downtown,13687837,23:10,10882,240 Downtown,59526
17,158391,N24downtown,13687816,23:40,10882,240 Downtown,59526
22,156944,N24downtown,13687778,06:03,12596,240 Downtown,60348
23,158273,N24downtown,13687812,06:18,12596,240 Downtown,60348
24,160891,N24downtown,13687959,06:28,12596,240 Downtown,60348
27,159681,N24downtown,13687849,06:44,12596,240 Downtown,60348
29,159015,N24downtown,13687832,06:56,12596,240 Downtown,60348
31,160735,N24downtown,13687955,07:08,12596,240 Downtown,60348
33,164255,N24downtown,13688108,07:18,12596,240 Downtown,60348
35,160852,N24downtown,13687958,07:28,12596,240 Downtown,60348
37,164177,N24downtown,13688106,07:39,12596,240 Downtown,60348
39,157451,N24downtown,13687791,07:47,12596,240 Downtown,60348
41,158508,N24downtown,13687818,07:56,12596,240 Downtown,60348
43,159291,N24downtown,13687839,08:05,12596,240 Downtown,60348
45,159798,N24downtown,13687852,08:14,12596,240 Downtown,60348
46,163865,N24downtown,13688098,08:19,12596,240 Downtown,60348
49,159054,N24downtown,13687833,08:33,12596,240 Downtown,60348
53,157958,N24downtown,13687804,08:48,12596,240 Downtown,60348
54,161359,N24downtown,13687971,08:56,12596,240 Downtown,60348
57,160696,N24downtown,13687954,09:11,12596,240 Downtown,60348
60,159720,N24downtown,13687850,09:22,12596,240 Downtown,60348
63,157724,N24downtown,13687798,09:39,12596,240 Downtown,60348
66,157373,N24downtown,13687789,09:55,12596,240 Downtown,60348
69,157568,N24downtown,13687794,10:10,12596,240 Downtown,60348
72,158351,N24downtown,13687814,10:25,12596,240 Downtown,60348
75,157256,N24downtown,13687786,10:40,12596,240 Downtown,60348
78,157061,N24downtown,13687781,10:56,12596,240 Downtown,60348
81,157217,N24downtown,13687785,11:11,12596,240 Downtown,60348
82,161320,N24downtown,13687970,11:16,12596,240 Downtown,60348
84,157100,N24downtown,13687782,11:27,12596,240 Downtown,60348
87,158469,N24downtown,13687817,11:42,12596,240 Downtown,60348
88,161674,N24downtown,13687979,11:50,12596,240 Downtown,60348
90,157334,N24downtown,13687788,11:57,12596,240 Downtown,60348
91,163161,N24downtown,13688017,12:05,12596,240 Downtown,60348
