,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
1,166650,N24lynnvalley,13687714,06:06,4463,240 Lynn Valley,54413
2,172511,N24lynnvalley,13688042,06:13,4463,240 Lynn Valley,54413
3,167874,N24lynnvalley,13687750,06:18,4463,240 Lynn Valley,54413
6,172475,N24lynnvalley,13688041,06:33,4463,240 Lynn Valley,54413
8,165894,N24lynnvalley,13687693,06:42,4463,240 Lynn Valley,54413
10,165966,N24lynnvalley,13687695,06:51,4463,240 Lynn Valley,54413
12,171359,N24lynnvalley,13687931,07:00,4463,240 Lynn Valley,54413
14,166938,N24lynnvalley,13687722,07:09,4463,240 Lynn Valley,54413
16,165930,N24lynnvalley,13687694,07:18,4463,240 Lynn Valley,54413
18,166506,N24lynnvalley,13687710,07:27,4463,240 Lynn Valley,54413
19,172331,N24lynnvalley,13688037,07:33,4463,240 Lynn Valley,54413
21,171323,N24lynnvalley,13687930,07:41,4463,240 Lynn Valley,54413
23,172295,N24lynnvalley,13688036,07:53,4463,240 Lynn Valley,54413
26,167046,N24lynnvalley,13687725,08:03,4463,240 Lynn Valley,54413
27,171935,N24lynnvalley,13688026,08:11,4463,240 Lynn Valley,54413
30,168630,N24lynnvalley,13687771,08:20,4463,240 Lynn Valley,54413
31,171899,N24lynnvalley,13688025,08:26,4463,240 Lynn Valley,54413
34,173303,N24lynnvalley,13688064,08:41,4463,240 Lynn Valley,54413
37,166362,N24lynnvalley,13687706,08:51,4463,240 Lynn Valley,54413
38,171863,N24lynnvalley,13688024,08:58,4463,240 Lynn Valley,54413
41,166434,N24lynnvalley,13687708,09:10,4463,240 Lynn Valley,54413
44,167658,N24lynnvalley,13687744,09:22,4463,240 Lynn Valley,54413
45,171827,N24lynnvalley,13688023,09:28,4463,240 Lynn Valley,54413
47,166218,N24lynnvalley,13687702,09:36,4463,240 Lynn Valley,54413
48,171647,N24lynnvalley,13688018,09:43,4463,240 Lynn Valley,54413
51,173375,N24lynnvalley,13688066,09:58,4463,240 Lynn Valley,54413
54,172259,N24lynnvalley,13688035,10:13,4463,240 Lynn Valley,54413
57,173555,N24lynnvalley,13688071,10:29,4463,240 Lynn Valley,54413
60,172223,N24lynnvalley,13688034,10:44,4463,240 Lynn Valley,54413
63,172547,N24lynnvalley,13688043,10:58,4463,240 Lynn Valley,54413
66,172187,N24lynnvalley,13688033,11:13,4463,240 Lynn Valley,54413
68,167226,N24lynnvalley,13687731,11:20,4463,240 Lynn Valley,54413
69,172871,N24lynnvalley,13688052,11:28,4463,240 Lynn Valley,54413
71,167370,N24lynnvalley,13687736,11:35,4463,240 Lynn Valley,54413
72,172151,N24lynnvalley,13688032,11:43,4463,240 Lynn Valley,54413
74,167154,N24lynnvalley,13687729,11:51,4463,240 Lynn Valley,54413
75,173123,N24lynnvalley,13688059,12:00,4463,240 Lynn Valley,54413
78,171755,N24lynnvalley,13688021,12:15,4463,240 Lynn Valley,54413
81,170855,N24lynnvalley,13687917,12:31,4463,240 Lynn Valley,54413
84,169847,N24lynnvalley,13687889,12:46,4463,240 Lynn Valley,54413
87,168911,N24lynnvalley,13687863,13:01,4463,240 Lynn Valley,54413
90,168803,N24lynnvalley,13687860,13:16,4463,240 Lynn Valley,54413
93,169019,N24lynnvalley,13687866,13:28,4463,240 Lynn Valley,54413
96,170819,N24lynnvalley,13687916,13:40,4463,240 Lynn Valley,54413
97,173051,N24lynnvalley,13688057,13:47,4463,240 Lynn Valley,54413
100,173483,N24lynnvalley,13688069,14:02,4463,240 Lynn Valley,54413
103,169631,N24lynnvalley,13687883,14:14,4463,240 Lynn Valley,54413
106,168947,N24lynnvalley,13687864,14:24,4463,240 Lynn Valley,54413
107,166722,N24lynnvalley,13687716,14:30,4463,240 Lynn Valley,54413
110,170783,N24lynnvalley,13687915,14:44,4463,240 Lynn Valley,54413
113,168983,N24lynnvalley,13687865,14:54,4463,240 Lynn Valley,54413
114,173339,N24lynnvalley,13688065,15:01,4463,240 Lynn Valley,54413
117,169451,N24lynnvalley,13687878,15:14,4463,240 Lynn Valley,54413
120,169379,N24lynnvalley,13687876,15:25,4463,240 Lynn Valley,54413
121,173159,N24lynnvalley,13688060,15:31,4463,240 Lynn Valley,54413
125,169415,N24lynnvalley,13687877,15:45,4463,240 Lynn Valley,54413
