,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,176363,R2parkroyal,13715803,05:35,11367,R2Park Royal,54382
3,174846,R2parkroyal,13715483,05:41,11367,R2Park Royal,54382
5,174857,R2parkroyal,13715484,05:53,11367,R2Park Royal,54382
8,174868,R2parkroyal,13715485,06:05,11367,R2Park Royal,54382
9,175160,R2parkroyal,13715600,06:14,11367,R2Park Royal,54382
12,174890,R2parkroyal,13715487,06:28,11367,R2Park Royal,54382
16,175385,R2parkroyal,13715620,06:44,11367,R2Park Royal,54382
19,174925,R2parkroyal,13715490,06:58,11367,R2Park Royal,54382
22,174937,R2parkroyal,13715491,07:10,11367,R2Park Royal,54382
25,174949,R2parkroyal,13715492,07:22,11367,R2Park Royal,54382
27,175421,R2parkroyal,13715623,07:31,11367,R2Park Royal,54382
29,176172,R2parkroyal,13715787,07:38,11367,R2Park Royal,54382
34,175433,R2parkroyal,13715624,08:01,11367,R2Park Royal,54382
37,176456,R2parkroyal,13715811,08:12,11367,R2Park Royal,54382
40,175019,R2parkroyal,13715498,08:22,11367,R2Park Royal,54382
42,175457,R2parkroyal,13715626,08:31,11367,R2Park Royal,54382
45,175043,R2parkroyal,13715500,08:42,11367,R2Park Royal,54382
49,176504,R2parkroyal,13715815,09:00,11367,R2Park Royal,54382
52,176516,R2parkroyal,13715816,09:12,11367,R2Park Royal,54382
55,175091,R2parkroyal,13715504,09:25,11367,R2Park Royal,54382
57,175505,R2parkroyal,13715630,09:32,11367,R2Park Royal,54382
58,176540,R2parkroyal,13715818,09:38,11367,R2Park Royal,54382
60,175517,R2parkroyal,13715631,09:47,11367,R2Park Royal,54382
63,175127,R2parkroyal,13715507,10:01,11367,R2Park Royal,54382
66,176576,R2parkroyal,13715821,10:14,11367,R2Park Royal,54382
68,174023,R2parkroyal,13715413,10:23,11367,R2Park Royal,54382
71,174035,R2parkroyal,13715414,10:36,11367,R2Park Royal,54382
74,174047,R2parkroyal,13715415,10:50,11367,R2Park Royal,54382
77,176623,R2parkroyal,13715825,11:03,11367,R2Park Royal,54382
80,176635,R2parkroyal,13715826,11:15,11367,R2Park Royal,54382
83,176647,R2parkroyal,13715827,11:27,11367,R2Park Royal,54382
85,174275,R2parkroyal,13715434,11:36,11367,R2Park Royal,54382
88,176671,R2parkroyal,13715829,11:51,11367,R2Park Royal,54382
91,176683,R2parkroyal,13715830,12:03,11367,R2Park Royal,54382
94,176695,R2parkroyal,13715831,12:14,11367,R2Park Royal,54382
