,Unnamed: 0,Name,trip_id,arrival_time,stop_id,trip_headsign,stop_code
2,179510,R2phibbs,13715705,06:00,4456,R2Phibbs Exchange,54407
4,178528,R2phibbs,13715524,06:11,4456,R2Phibbs Exchange,54407
7,178368,R2phibbs,13715509,06:26,4456,R2Phibbs Exchange,54407
9,179350,R2phibbs,13715690,06:40,4456,R2Phibbs Exchange,54407
12,178162,R2phibbs,13715393,06:53,4456,R2Phibbs Exchange,54407
16,178571,R2phibbs,13715528,07:11,4456,R2Phibbs Exchange,54407
19,178582,R2phibbs,13715529,07:26,4456,R2Phibbs Exchange,54407
22,178206,R2phibbs,13715397,07:38,4456,R2Phibbs Exchange,54407
26,179575,R2phibbs,13715711,07:56,4456,R2Phibbs Exchange,54407
29,178239,R2phibbs,13715400,08:09,4456,R2Phibbs Exchange,54407
32,178250,R2phibbs,13715401,08:19,4456,R2Phibbs Exchange,54407
34,178626,R2phibbs,13715533,08:26,4456,R2Phibbs Exchange,54407
37,178271,R2phibbs,13715403,08:39,4456,R2Phibbs Exchange,54407
41,178648,R2phibbs,13715535,08:56,4456,R2Phibbs Exchange,54407
44,178304,R2phibbs,13715406,09:09,4456,R2Phibbs Exchange,54407
47,178315,R2phibbs,13715407,09:19,4456,R2Phibbs Exchange,54407
49,178670,R2phibbs,13715537,09:27,4456,R2Phibbs Exchange,54407
52,178336,R2phibbs,13715409,09:40,4456,R2Phibbs Exchange,54407
55,178347,R2phibbs,13715410,09:53,4456,R2Phibbs Exchange,54407
58,177865,R2phibbs,13715366,10:07,4456,R2Phibbs Exchange,54407
61,177876,R2phibbs,13715367,10:20,4456,R2Phibbs Exchange,54407
63,178714,R2phibbs,13715541,10:28,4456,R2Phibbs Exchange,54407
64,179718,R2phibbs,13715724,10:34,4456,R2Phibbs Exchange,54407
66,178725,R2phibbs,13715542,10:43,4456,R2Phibbs Exchange,54407
69,178736,R2phibbs,13715543,10:57,4456,R2Phibbs Exchange,54407
71,177909,R2phibbs,13715370,11:04,4456,R2Phibbs Exchange,54407
72,178747,R2phibbs,13715544,11:10,4456,R2Phibbs Exchange,54407
74,177920,R2phibbs,13715371,11:19,4456,R2Phibbs Exchange,54407
77,178769,R2phibbs,13715546,11:34,4456,R2Phibbs Exchange,54407
80,178780,R2phibbs,13715547,11:46,4456,R2Phibbs Exchange,54407
83,178791,R2phibbs,13715548,11:58,4456,R2Phibbs Exchange,54407
85,177953,R2phibbs,13715374,12:04,4456,R2Phibbs Exchange,54407
86,178802,R2phibbs,13715549,12:10,4456,R2Phibbs Exchange,54407
88,177964,R2phibbs,13715375,12:19,4456,R2Phibbs Exchange,54407
91,177975,R2phibbs,13715376,12:33,4456,R2Phibbs Exchange,54407
94,178835,R2phibbs,13715552,12:46,4456,R2Phibbs Exchange,54407
