File Name,Second Row Values
130metro,"60691,58143,51382,51389,52804"
130phibbs,"52736,60329,60586,51470,60253"
209burrard,"53989,54002,60278,60689,50043"
209upperlynn,"50043,60689,60691,54002,53989"
210burrard,"53989,54002,60691,60689,51842"
210upperlynn,"50405,60278,60256,53977,53989"
211burrard,"54053,54066,60278,60689,51842"
212deepcove,"60279,54085,59513"
212phibbs,"59518,54092,60278"
214blueridge,"50405,60278,60279,54111"
214phibbs,"54111,60278,60689,53312"
215indianriver,"60278,54127"
215phibbs,"54127,60278"
222metrotown,"60691,51389,51999"
222phibbs,"52646,60329,60278"
227lynnvalley,"60278,59526"
227phibbs,"59526,60278"
228lonsdalequay,"53989,54182,54020,53961,60473"
229lonsdalequay,"59526,54248,54254,60473"
229lynnvalley,"54421,54197,54203,59526"
230lonsdalequay,"54272,54254,60473"
230upperlonsdale,"54516,54197,54257,54272"
231harbourside,"60473,58736"
231lonsdalequay,"58736,60473"
232grouse,"60256,54343,54197,54290"
232phibbs,"54290,54307,54254,60278"
236grouse,"54134,54390,54389,54304,54290"
236lonsdalequay,"54290,54397,54390,60473"
240downtown,"59526,60479,54464,54440,60348"
240lynnvalley,"54444,54607,54197,59526,60479"
241downtown,"54444,54607,54197,54257,54275"
241upperlons,"54276,54254,54378,54440,60348"
245capilano,"60254,61070"
245phibbs,"61070,60278"
246downtown,"54527,58111,54440,60348"
246highland,"54444,61510,54307,54499"
247downtown,"54290,54553,54297,54440,60348"
247grouse,"54444,61510,54548,54298,54290"
249delbrook,"50980,54517,54527"
249lonsdalequay,"54499,58328,60473"
250dundarave,"60577,54441,54622,54556"
250vancouver,"54556,54592,54411,54444"
251parkroyal,"54622,54600,54608"
251queens,"54441,54666,54592"
252inglewood,"54441,54694,54592"
252parkroyal,"54592,54600,54608"
253caufeild,"60577,54608,60887"
253parkroyal,"54704,54604,60348"
254britishprop,"60577,61782,54745,60955,54765,54602,54411,60348"
255capilano,"54592,54411,54407,61071"
255dundarave,"61071,54778,54382,54441,54592"
256parkroyal,"60995,60470,54600,61772"
256whitby,"61782,61260,54441,54613,60995"
257horseshoebayexp,"59558,54441,54556"
257vancouverexp,"54556,54411,60302"
262caufeild,"61445,61531,54556,60887"
262lionsbaybruns,"60887,54556,61530"
280bluewater,"58013,60237,58015,58016,60236"
280snugcove,"60236,58016,58011,58015,58766,58013"
281eaglecliff,"58013,58020,58018"
281snugcove,"58018,61159,60240,58013"
28joyce,"60691,58143,58345,51778,59664"
28phibbs,"51671,51732,52724,51470,60256"
N24downtown,"59526,54254,54421,58321,60348"
N24lynnvalley,"59832,54413,54516,54197,59526"
R2parkroyal,"60255,58724,54382,61772"
R2phibbs,"54411,54407,54410,60278"
