130 Metrotown Station MONDAY TO FRIDAY
Phibbs Exchange Bay 7,Hastings at Kootenay Bay 8,Willingdon at Pender #51382,Brentwood Station Bay 7 (E),Metrotown Station (E)
-,-,-,5.26,5.31
-,-,-,5.42,5.47
-,-,-,5.58,6.03
-,-,-,6.12,6.18
-,-,-,6.36,6.51
-,-,-,6.27,6.33
-,-,-,6.43,6.58
6.35,6.43,6.50,6.54,7.09
-,-,-,6.57,7.12
-,-,-,7.05,7.21
-,-,-,7.06,7.22
-,-,-,7.13,7.29
-,-,-,7.19,7.35
7.06,7.14,7.22,7.27,7.43
-,-,-,7.29,7.46
-,-,-,7.36,7.53
-,-,-,7.44,8.02
-,-,-,7.47,8.05
7.28,7.37,7.45,7.50,8.08
-,-,7.43,7.50,7.55,8.13
7.42,7.51,7.59,8.04,8.23
-,-,7.57,8.04,8.09,8.28
-,-,-,8.17,8.35
7.59,8.08,8.16,8.21,8.40
-,-,8.12,8.19,8.24,8.43
8.12,8.21,8.29,8.34,8.53
-,-,8.27,8.34,8.39,8.58
8.27,8.36,8.44,8.49,9.08
-,-,8.42,8.49,8.54,9.13
8.46,8.55,9.03,9.08,9.27
-,-,9.00,9.07,9.12,9.30
9.01,9.10,9.18,9.23,9.41
-,-,9.17,9.24,9.29,9.47
9.19,9.28,9.36,9.41,9.59
-,-,9.37,9.44,9.49,10.07
9.39,9.48,9.56,10.01,10.19
-,-,9.57,10.04,10.09,10.27
9.58,10.07,10.15,10.20,10.38
-,-,10.17,10.24,10.29,10.47
-,-,10.25,10.32,10.37,10.55
10.28,10.37,10.46,10.50,11.07
-,-,10.45,10.53,10.57,11.15
-,-,10.55,11.03,11.07,11.25
10.56,11.05,11.15,11.19,11.38
-,-,11.15,11.23,11.27,11.46
-,-,11.25,11.33,11.37,11.56
11.21,11.30,11.40,11.45,12.06
-,-,11.40,11.48,11.53,12.14
11.42,11.51,12.01,12.06,12.27
-,-,12.03,12.11,12.16,12.37
12.01,12.10,12.20,12.25,12.46
-,-,12.22,12.30,12.35,12.56
12.21,12.30,12.40,12.45,1.06
-,-,12.40,12.48,12.53,1.14
-,-,12.49,12.57,1.02,1.23
12.48,12.57,1.07,1.12,1.33
-,-,1.05,1.13,1.18,1.39
-,-,1.13,1.21,1.26,1.47
1.10,1.19,1.29,1.34,1.55
-,-,1.28,1.36,1.40,2.01
-,-,1.36,1.44,1.48,2.09
1.34,1.43,1.53,1.57,2.18
-,-,-,2.02,2.23
-,-,1.52,2.00,2.04,2.25
-,-,1.59,2.08,2.12,2.33
1.56,2.05,2.15,2.19,2.40
-,-,2.14,2.23,2.27,2.48
-,-,-,2.31,2.52
-,-,2.21,2.30,2.34,2.55
2.17,2.26,2.36,2.40,3.01
-,-,2.37,2.46,2.50,3.11
-,-,2.44,2.53,2.57,3.19
-,-,-,2.59,3.20
2.36,2.46,2.56,3.00,3.22
-,-,3.00,3.09,3.14,3.36
-,-,3.06,3.15,3.20,3.42
3.02,3.12,3.22,3.27,3.49
-,-,3.22,3.31,3.36,3.58
-,-,3.30,3.39,3.44,4.05
3.24,3.35,3.45,3.50,4.11
-,-,3.43,3.52,3.57,4.18
-,-,3.50,3.59,4.04,4.25
3.47,3.58,4.08,4.13,4.34
-,-,4.06,4.14,4.19,4.40
-,-,4.14,4.22,4.27,4.48
4.12,4.23,4.33,4.38,4.59
-,-,4.27,4.35,4.40,5.01
-,-,4.35,4.43,4.48,5.09
4.30,4.41,4.51,4.56,5.17
-,-,4.51,4.59,5.04,5.25
-,-,4.59,5.07,5.12,5.33
4.56,5.06,5.16,5.21,5.42
-,-,5.17,5.25,5.30,5.51
-,-,5.23,5.31,5.36,5.57
5.20,5.30,5.40,5.45,6.05
-,-,5.40,5.48,5.53,6.13
-,-,5.52,6.00,6.05,6.25
5.53,6.03,6.13,6.18,6.38
-,-,6.11,6.20,6.25,6.45
-,-,6.25,6.34,6.39,6.59
6.32,6.41,6.51,6.55,7.14
-,-,6.55,7.04,7.08,7.27
7.02,7.10,7.19,7.23,7.42
-,-,7.26,7.34,7.38,7.57
7.36,7.44,7.51,7.55,8.13
-,-,7.59,8.06,8.10,8.28
8.18,8.26,8.33,8.37,8.54
-,-,8.32,8.38,8.42,8.59
8.48,8.56,9.03,9.07,9.24
-,-,9.03,9.09,9.13,9.30
-,-,9.31,9.37,9.41,9.58
-,-,10.04,10.10,10.14,10.30
-,-,10.36,10.42,10.45,11.00
-,-,11.11,11.17,11.20,11.35
-,-,11.38,11.44,11.47,12.00
-,-,12.08,12.14,12.17,12.30
-,-,12.35,12.41,12.44,12.57
-,-,1.01,1.07,1.10,1.23
