209 Burrard Station MONDAY TO FRIDAY
Underwood at Evelyn #53989,Mountain at Lynn Valley # 54002,Phibbs Exchange (E),Phibbs Exchange Bay 6,Burrard Station (E)
7.28,7.35,7.48,7.49,8.14
7.57,8.04,8.16,8.17,8.42
8.27,8.34,8.46,8.47,9.12
8.57,9.04,9.16,9.17,9.43
9.27,9.34,9.46,9.47,10.13
9.58,10.05,10.16,10.17,10.42
10.28,10.35,10.46,10.47,11.12
10.55,11.02,11.12,11.13,11.38
11.29,11.36,11.46,11.47,12.12
11.59,12.06,12.16,12.17,12.40
12.30,12.37,12.47,-,-
12.41,12.48,12.58,-,-
-,-,-,1.35,1.57
1.40,1.47,1.56,-,-
