211 Phibbs Exchange/ Burrard Station Monday To Friday
Panorama at Naughton #54053, Seymour Pkwy at Mt Seymour (E) #54066, Phibbs Exchange (E), Phibbs Exchange Bay 6, Burrard Station (E)
5:18,5:27,5:40,-,-
5:53,6:02,6:15,-,-
6:22,6:32,6:46,6:47,7:10
6:35,6:45,6:59,7:00,7:23
6:50,7:00,7:15,7:16,7:40
6:57,7:07,7:22,7:23,7:47
7:09,7:20,7:36,7:37,8:03
7:28,7:39,7:55,7:56,8:23
7:42,7:53,8:10,8:11,8:38
8:00,8:11,8:28,8:29,8:57
8:16,8:27,8:43,-,-
8:32,8:43,9:00,9:01,9:28
8:45,8:56,9:13,-,-
9:04,9:14,9:30,9:31,9:58
9:15,9:25,9:41,9:42,10:09
9:42,9:52,10:08,10:09,10:35
10:08,10:18,10:33,10:34,11:00
10:36,10:46,11:01,11:02,11:28
11:06,11:16,11:31,11:32,11:58
11:36,11:46,12:01,12:02,12:28
12:06,12:16,12:31,12:32,12:58
12:35,12:45,1:01,1:02,1:28
1:05,1:15,1:31,1:32,1:59
1:35,1:45,2:01,2:02,2:29
2:04,2:15,2:31,2:32,2:59
2:33,2:44,3:00,3:01,3:28
3:05,3:18,3:37,3:38,4:06
3:36,3:47,4:03,4:04,4:33
3:41,3:51,4:07,-,-
3:58,4:09,4:25,4:26,4:55
4:31,4:42,4:59,5:00,5:28
5:05,5:15,5:31,5:32,6:01
5:15,5:25,5:41,5:42,6:11
5:40,5:50,6:06,6:07,6:35
5:54,6:03,6:17,-,-
6:18,6:28,6:44,-,-
6:32,6:42,6:58,-,-
7:18,7:27,7:41,-,-
8:19,8:28,8:41,-,-
9:17,9:26,9:39,-,-
10:19,10:27,10:39,-,-
11:21,11:28,11:40,-,-
12:23,12:30,12:41,-,-
12:53,1:00,1:11,-,-
1:41,1:48,1:59,-,-
