212 Deep Cove Monday to Friday
Phibbs Exchange Bay 9,Dollarton at Ravenwoods (E) #54085,Banbury at Gallant (E)
6:18,6:26,6:35
6:48,6:57,7:06
7:17,7:26,7:36
7:49,7:58,8:08
8:19,8:28,8:38
8:50,8:59,9:09
9:22,9:31,9:41
9:51,10:00,10:10
10:21,10:30,10:39
10:51,11:00,11:09
11:21,11:30,11:39
11:51,12:00,12:09
12:21,12:30,12:39
12:51,1:00,1:09
1:21,1:30,1:40
1:51,2:00,2:10
2:21,2:30,2:40
2:51,3:00,3:10
3:26,3:35,3:45
3:46,3:55,4:05
4:19,4:28,4:38
4:49,4:58,5:08
5:20,5:29,5:39
5:50,5:59,6:08
6:20,6:29,6:38
6:52,7:01,7:10
7:52,8:01,8:10
8:56,9:04,9:12*
9:56,10:04,10:12*
10:56,11:04,11:12*
11:56,12:04,12:12*
