212 Phibbs Exchange Monday to Friday
Banbury at Gallant #59518,Dollarton at Raven Woods (E) #54092,Phibbs Exchange (E)
6:27,6:34,6:43
6:54,7:02,7:12
7:22,7:30,7:40
7:51,8:00,8:11
8:22,8:31,8:41
8:51,9:01,9:12
9:22,9:31,9:41
9:52,10:01,10:11
10:23,10:31,10:41
10:53,11:01,11:11
11:23,11:31,11:41
11:53,12:01,12:11
12:23,12:31,12:41
12:53,1:01,1:11
1:22,1:31,1:41
1:52,2:01,2:11
2:22,2:31,2:41
2:52,3:01,3:11
3:17,3:26,3:36
3:51,4:02,4:14
4:24,4:33,4:44
4:52,5:02,5:14
5:22,5:32,5:44
5:54,6:03,6:14
6:13,6:22,6:33
6:25,6:34,6:45
6:55,7:04,7:15
7:19,7:28,7:39
7:55,8:04,8:15
8:55,9:04,9:15
9:56*,10:05,10:15
11:00*,11:09,11:18
11:59*,12:08,12:17
