214 Blueridge Monday to Friday
Burrard Station Bay 2,Phibbs Exchange (E),Phibbs Exchange Bay 9,Sechelt at Hyannis (E)
-,-,5:47,6:01
-,-,6:17,6:31
-,-,6:39,6:53
-,-,7:02,7:17
-,-,7:31,7:46
-,-,7:46,8:01
-,-,8:16,8:34
-,-,8:45,9:01
-,-,9:20,9:34
-,-,9:43,9:56
-,-,10:17,10:30
-,-,10:42,10:55
-,-,11:10,11:23
-,-,11:45,11:58
-,-,12:16,12:29
-,-,12:45,12:58
-,-,1:10,1:23
-,-,1:45,1:58
-,-,2:19,2:32
-,-,2:43,2:56
-,-,3:18,3:36
-,-,3:56,4:12
-,-,4:19,4:35
-,-,4:54,5:10
4:44,5:13,5:15,5:31
-,-,5:28,5:44
5:15,5:43,5:45,6:00
-,-,6:18,6:33
-,-,6:48,7:02
-,-,7:15,7:28
-,-,7:46,7:59
-,-,8:16,8:29
-,-,8:40,8:53
-,-,9:16,9:29
-,-,9:50,10:03
-,-,10:17,10:30
-,-,10:47,11:00
