214 Phibbs Exchange/ Burrard Station Monday to Friday
Sechelt at Hyannis #54111,Phibbs Exchange (E),Phibbs Exchange Bay 6,Burrard Station (E)
6:01,6:12,-,-
6:31,6:43,-,-
6:53,-,7:07,7:28
7:05,7:20,-,-
7:17,-,7:35,8:00
7:46,-,8:04,8:30
8:01,-,8:19,8:45
8:34,-,8:52,9:19
9:01,9:16,-,-
9:34,9:49,-,-
9:56,10:07,-,-
10:30,10:42,-,-
10:55,11:07,-,-
11:23,11:35,-,-
11:58,12:10,-,-
12:29,12:41,-,-
12:58,1:10,-,-
1:23,1:35,-,-
1:58,2:10,-,-
2:32,2:44,-,-
2:56,3:08,-,-
3:36,3:50,-,-
4:12,4:25,-,-
4:35,4:48,-,-
5:10,5:23,-,-
5:31,5:44,-,-
5:44,5:56,-,-
6:00,6:12,-,-
6:33,6:44,-,-
7:02,7:13,-,-
7:28,7:38,-,-
7:59,8:09,-,-
8:29,8:39,-,-
8:53,9:03,-,-
9:29,9:39,-,-
10:03,10:13,-,-
10:30,10:40,-,-
11:04,11:14,-,-
